ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,collection
REACTOME_DNA_REPLICATION,REACTOME_DNA_REPLICATION,29/623,148/9144,0.19594594594594594,2.875970673723483,6.221215993695749,1.7702806914843964e-7,3.2374678706388886e-6,3.0718746289234824e-6,H3-3B/PSMA2/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H2BC15/H2AC20/H4C8/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H2AC19/H3C6/H4C1/H3C1/H4C5/H4C14/H4C11/H4C15/H4C4/ANAPC2/POLD3,29,Reactome
REACTOME_SIGNALING_BY_WNT,REACTOME_SIGNALING_BY_WNT,40/623,249/9144,0.1606425702811245,2.3578100524086714,5.8736601888206375,2.645181575845319e-7,4.765274868724328e-6,4.521535827996397e-6,H3-3B/PSMA2/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/TLE5/H2BC15/H2AC20/H4C8/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H2AC19/H3C6/ROR1/ROR2/H4C1/H3C1/H4C5/RNF43/VANGL2/H4C14/H4C11/H4C15/PPP3R1/PPP2R5A/GNG10/SFRP2/H4C4/AXIN2/FZD8/NFATC1/GNG5,40,Reactome
REACTOME_CHROMATIN_ORGANIZATION,REACTOME_CHROMATIN_ORGANIZATION,39/623,240/9144,0.1625,2.385072231139647,5.879339892816278,2.753624407081234e-7,4.887683322569191e-6,4.63768321192629e-6,H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H2BC15/H2AC20/H4C8/H2BC11/H2AC8/H4C16/H2BC18/H2AC25/H2BC12/H3C10/H2AC19/H2AC11/H3C6/H4C1/H3C1/H2AC12/H4C5/H4C14/H4C11/H4C15/H2AC21/H2AC15/CCND1/BCL7A/KMT2A/H4C4/TAF6L/KDM6B/JMJD6/JAK2/MECOM/ATXN7,39,Reactome
REACTOME_SIGNALING_BY_NOTCH,REACTOME_SIGNALING_BY_NOTCH,32/623,180/9144,0.17777777777777778,2.6093097913322634,5.896144015695307,4.2628911751889123e-7,7.456970505004373e-6,7.075553926171681e-6,H3-3B/PSMA2/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/PSEN2/H2BC15/H2AC20/H4C8/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H2AC19/H3C6/H4C1/H3C1/H4C5/H4C14/H4C11/H4C15/ELF3/TACC3/HDAC9/CCND1/H4C4,32,Reactome
REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE,REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE,16/623,57/9144,0.2807017543859649,4.119962828419363,6.388805756867282,7.420925875191908e-7,1.279579647336662e-5,1.2141304289035785e-5,H4C3/H2AX/H2BC5/H2BC21/H2BC15/H4C8/H2BC11/H4C16/H2BC12/H4C1/H4C5/H4C14/H4C11/H4C15/RAD50/H4C4,16,Reactome
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1,30/623,169/9144,0.17751479289940827,2.6054498656054403,5.69594742981077,1.0127646439892824e-6,1.7216998947817802e-5,1.633636668139866e-5,H3-3B/PSMA2/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H2BC15/H2AC20/H4C8/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H2AC19/H3C6/H4C1/H3C1/H4C5/H4C14/H4C11/H4C15/CCND1/KMT2A/H4C4/CBFB,30,Reactome
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT,REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT,18/623,74/9144,0.24324324324324326,3.570170491518806,6.002293807554419,1.5436482401908143e-6,2.5877547582087678e-5,2.455393691999424e-5,H4C3/H2AX/H2BC5/H2BC21/H2BC15/H4C8/H2BC11/H4C16/H2BC12/BLM/H4C1/H4C5/H4C14/H4C11/H4C15/RAD50/H4C4/RAD9A,18,Reactome
REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS,REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS,18/623,76/9144,0.23684210526315788,3.4762186364788374,5.8611539506501025,2.339814659257632e-6,3.8687072516766596e-5,3.670826747328484e-5,H4C3/H2AX/H2BC5/H2BC21/H2BC15/H4C8/H2BC11/H4C16/H2BC12/BLM/H4C1/H4C5/H4C14/H4C11/H4C15/RAD50/H4C4/RAD9A,18,Reactome
REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES,REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES,14/623,53/9144,0.2641509433962264,3.877040491838032,5.679644859680675,8.023664540719124e-6,1.3087247433308085e-4,1.2417847824043254e-4,H4C3/H4C8/H4C16/H3C10/H3C6/H4C1/H3C1/H4C5/H4C14/H4C11/H4C15/KMT2A/H4C4/MECOM,14,Reactome
HALLMARK_GLYCOLYSIS,HALLMARK_GLYCOLYSIS,28/623,176/9144,0.1590909090909091,2.335035750766088,4.83553499282134,2.015293899995173e-5,3.243279649725565e-4,3.077389141325963e-4,SRD5A3/GFUS/RARS1/STMN1/SDC3/SLC16A3/PGK1/PDK3/ELF3/FAM162A/RRAGD/VEGFA/ENO1/EGLN3/ABCB6/UGP2/PKM/LDHA/P4HA2/GALK1/MET/NDUFV3/PGAM2/AURKA/CTH/ANGPTL4/NOL3/TPST1,28,Hallmarks
