ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,collection
REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR,REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR,144,-0.7591880282380239,-1.6582042624049587,1.0836359906737047e-5,0.00022532155254353236,2.1063051651752047e-4,862,"tags=16%, list=6%, signal=15%",BAP1/RHNO1/H2BC9/H2BC26/RAD9A/H4C4/H4C2/RAD50/H4C15/BLM/H4C11/H4C1/H4C14/H4C5/H2BC12/H4C16/H2BC11/H2BC15/H4C8/H2BC21/H2BC5/H2AX/H4C3,Reactome
REACTOME_CHROMATIN_ORGANIZATION,REACTOME_CHROMATIN_ORGANIZATION,243,-0.7438481750646053,-1.6566739421877692,8.615547440768972e-8,2.21959350814243e-6,2.074875313974463e-6,861,"tags=16%, list=6%, signal=15%",KDM7A/SMARCC1/TAF6L/DNMT3A/SUV39H2/H2BC9/H2BC26/H4C4/H4C2/H4C15/BCL7A/H2AC21/H2AC15/H2AC12/H4C11/H3C1/H4C1/H3C6/H4C14/H2AC19/H4C5/H2AC11/H3C10/H2BC12/H2BC18/H4C16/H2AC8/H2AC25/H2BC11/H2AC20/H2BC15/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ,Reactome
REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES,REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES,55,-0.7996783340123577,-1.652071900795046,0.0012108981463223262,0.02147563477154008,0.020075416636396462,1166,"tags=29%, list=8%, signal=27%",WDR5/KMT2A/SUV39H2/H4C4/H4C2/H4C15/H4C11/H3C1/H4C1/H3C6/H4C14/H4C5/H3C10/H4C16/H4C8/H4C3,Reactome
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_INITIATION,REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_INITIATION,47,-0.8022719686986554,-1.6441673282207014,0.002633149198995363,0.041783920184058,0.03905959545878164,445,"tags=9%, list=3%, signal=8%",GTF2H4/POLR1G/POLR1F/POLR1H,Reactome
REACTOME_APOPTOTIC_EXECUTION_PHASE,REACTOME_APOPTOTIC_EXECUTION_PHASE,48,-0.7952537760149461,-1.6323094185335232,0.002501813528937502,0.04077279886349497,0.038114399566032214,934,"tags=17%, list=6%, signal=16%",KPNA1/PAK2/HMGB2/H1-3/H1-1/H1-4/H1-0/H1-2,Reactome
REACTOME_SUMOYLATION_OF_CHROMATIN_ORGANIZATION_PROTEINS,REACTOME_SUMOYLATION_OF_CHROMATIN_ORGANIZATION_PROTEINS,65,-0.7767829997002429,-1.620629002948207,0.0016463274959769294,0.028774941451422856,0.026898806227174547,676,"tags=18%, list=5%, signal=18%",NUP42/H4C4/H4C2/H4C15/SEH1L/H4C11/H4C1/H4C14/H4C5/H4C16/H4C8/H4C3,Reactome
REACTOME_DNA_REPAIR,REACTOME_DNA_REPAIR,300,-0.7015423448740018,-1.5682913155390379,9.53570472615811e-7,2.1698226225937134e-5,2.02834950580245e-5,892,"tags=11%, list=6%, signal=11%",ERCC5/BAP1/RHNO1/H2BC9/H2BC26/RAD9A/H4C4/TERF2/H4C2/RAD50/GTF2H4/H4C15/BLM/H4C11/H4C1/H4C14/H2AC19/H4C5/H2BC12/H4C16/H2AC8/H2BC11/H2AC20/H2BC15/H4C8/ADPRS/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ,Reactome
REACTOME_UCH_PROTEINASES,REACTOME_UCH_PROTEINASES,80,-0.7384314990921569,-1.5572751240610647,0.0027886789919945873,0.04367723200448666,0.040829462753604974,277,"tags=31%, list=2%, signal=31%",PSMD3/PSMD11/INO80C/PSMA3/PSMB2/PSMD12/PSMD6/ASXL1/PSMD7/PSMA4/UCHL3/INO80B/BAP1/PSMA6/H2AC21/UCHL1/H2AC15/H2AC12/H2AC19/H2AC11/H2AC8/H2AC25/H2AC20/H2AC6/PSMA2,Reactome
REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES,REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES,160,-0.6800920883218053,-1.491676179753937,0.00221757473496405,0.03766753704741753,0.03521160179609337,277,"tags=12%, list=2%, signal=12%",PSMA6/H2BC9/TAF9B/H2BC26/H2AC21/H2AC15/H2AC12/H2AC19/H2AC11/H2BC12/H2BC18/H2AC8/H2AC25/H2BC11/H2AC20/H2BC15/H2BC21/H2BC5/H2AC6/PSMA2,Reactome
REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE,REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE,273,-0.6659735057553695,-1.488180522488016,1.925459013029825e-4,0.0038701726161899483,0.0036178361455349874,551,"tags=5%, list=4%, signal=5%",IFT88/DMAC2L/BBS1/LZTFL1/DYNLT2/SEPTIN2/MICOS13/CEP43/MICOS10/DYNLT2B/DYNC2I2/PRKAG1/DYNC2I1/ATP5MJ/ATP5MK,Reactome
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,288,-0.6334602299605756,-1.415142547701543,0.002249638081591661,0.03768143786666032,0.03522459627755364,1056,"tags=8%, list=7%, signal=8%",IL4I1/SLC25A21/DIO3/RPS26/PSMA6/SLC3A2/DMGDH/BCKDHA/RIMKLB/SERINC1/ASRGL1/SERINC5/TSTD1/MTRR/CTH/MARS1/KARS1/RARS1/IARS1/LARS1/EPRS1/DARS1/SARS1/PSMA2,Reactome
REACTOME_DEUBIQUITINATION,REACTOME_DEUBIQUITINATION,234,-0.6342753597340876,-1.409115098724505,0.002594708376623996,0.041722910696113856,0.03900256380862176,2737,"tags=31%, list=19%, signal=26%",PSMA1/RCE1/WDR48/TNKS/IDE/OGT/USP3/SIAH2/TADA2B/OTUD7A/PSMB4/USP28/PSMC2/TNKS2/PSMC4/PSMB5/UIMC1/PTRH2/FOXK1/USP44/USP5/PSMB1/USP30/USP15/USP49/TAF10/USP16/PSMD3/PSMD11/OTUD7B/INO80C/MDM4/NOD2/PSMA3/PSMB2/TRAF3/PSMD12/PSMD6/ASXL1/CCNA1/PSMD7/PSMA4/MUL1/CYLD/UCHL3/TRIM4/INO80B/RAD23B/USP13/SMAD4/BAP1/PSMA6/H2BC9/CDK1/TAF9B/H2BC26/H2AC21/UCHL1/H2AC15/H2AC12/H2AC19/H2AC11/H2BC12/H2BC18/H2AC8/H2AC25/H2BC11/H2AC20/H2BC15/H2BC21/H2BC5/H2AC6/PSMA2,Reactome
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,172,0.4435642802218086,1.5290342845109621,0.0012089683387333224,0.02147563477154008,0.020075416636396462,948,"tags=20%, list=7%, signal=19%",PTGER2/IL10/RGS16/PHLDA1/CASP3/CAPN3/LRIG1/CTSZ/PRKCH/NFKBIZ/MUC1/TNFSF10/IKZF2/MYC/CD83/NT5E/LRRC8C/NDRG1/CCND2/NFIL3/AHNAK/TNFRSF9/MAP3K8/PIM1/TNFRSF8/PENK/CCNE1/MYO1C/P4HA1/LIF/PLAGL1/ECM1/RORA/TNFSF11,Hallmarks
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,193,0.44313193991105604,1.567743766806488,6.503964199801487e-4,0.01206735511532399,0.011280559770020071,1315,"tags=34%, list=9%, signal=31%",TPM1/GAS1/COMP/FN1/COL8A2/CDH11/FOXC2/TGFBI/SNTB1/SPOCK1/LRP1/CAP2/VEGFC/PLAUR/CRLF1/TNFAIP3/FZD8/MXRA5/HTRA1/FUCA1/NT5E/VIM/PLOD2/LRRC15/PMEPA1/IL6/COL6A3/MSX1/ID2/FMOD/SCG2/FSTL3/FERMT2/VEGFA/COL12A1/LOX/THBS2/THBS1/GLIPR1/INHBA/NOTCH2/NNMT/DAB2/JUN/EFEMP2/FAP/ITGB1/SGCD/ECM1/GPX7/GEM/PCOLCE/ENO2/PRRX1/COL3A1/SFRP4/DCN/VCAM1/NID2/THY1/COL5A1/LGALS1/FSTL1/ANPEP/IGFBP4,Hallmarks
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,63,0.5897038035252049,1.6855807344606621,0.002369335589956884,0.03914272221216441,0.03659060442456846,1176,"tags=30%, list=8%, signal=28%",ICAM4/COL13A1/COMP/FN1/ITGA11/COL8A2/ICAM1/ICAM5/HSPG2/ITGB2/COL6A3/COL8A1/THBS1/ITGB1/ITGA10/COL3A1/ICAM3/VCAM1/COL5A1,Reactome
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,146,0.52632389488539,1.7441046201738297,6.72439307412301e-5,0.0013745115334563307,0.0012848929495781882,1318,"tags=22%, list=9%, signal=20%",BDKRB1/PTGER2/ICAM4/IL10/RGS16/P2RY2/NFKBIA/IRF1/ICAM1/PLAUR/TNFSF10/TNFAIP6/MYC/IL7R/IL6/TNFRSF9/OSMR/INHBA/PTGIR/LIF/NFKB1/CD14/TNFSF9/PTGER4/KIF1B/CCL5/IL1B/SLC4A4/HBEGF/STAB1/BTG2/CCL7,Hallmarks
REACTOME_O_LINKED_GLYCOSYLATION,REACTOME_O_LINKED_GLYCOSYLATION,82,0.5777486591139065,1.7591402187656964,3.3942931896951804e-4,0.006517314726228417,0.006092383758218238,1587,"tags=33%, list=11%, signal=29%",POMK/ADAMTS4/GALNT16/GALNT18/GALNT10/ADAMTS5/ADAMTSL5/ADAMTS6/FUT11/MUC1/FUT10/ADAMTS2/THBS2/POMT2/THBS1/ADAMTS1/SBSPON/C1GALT1/B3GNT9/B4GAT1/ADAMTSL3/C1GALT1C1/GALNT17/ADAMTSL2/GALNT5/ADAMTSL4/ADAMTS7,Reactome
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,57,0.6113329052548173,1.7707053749315624,0.00213478842518894,0.03677935486825516,0.03438132937409556,1372,"tags=33%, list=9%, signal=30%",ICAM4/ICAM1/CD300A/ICAM5/ITGB2/TREM1/MICB/ULBP3/KLRG1/ITGB1/CD300E/COL3A1/ICAM3/VCAM1/CD300C/HLA-A/CD1D/IGLC2/HLA-C,Reactome
REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS,REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS,13,0.8647887174360909,1.9186723813214475,5.866552039040887e-4,0.01105478399856767,0.01033400860824472,917,"tags=38%, list=6%, signal=36%",LOXL3/PXDN/LOXL4/LOX/PCOLCE,Reactome
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,190,0.5519685936187356,1.97593509269227,3.4375031065429976e-7,7.972362974020875e-6,7.452562403051722e-6,1490,"tags=40%, list=10%, signal=36%",BCL2A1/RCAN1/PHLDA1/NFKBIA/TRIB1/CCND1/IER3/TNFAIP2/DNAJB4/IRF1/BIRC3/DUSP5/KDM6B/ICAM1/TNF/BCL3/PLAUR/IER2/EHD1/TNFAIP3/TNFAIP8/MAP2K3/TNFAIP6/MYC/BTG1/DUSP4/CD83/IL7R/PMEPA1/IL6/JUNB/NFIL3/FUT4/ID2/CXCL2/EGR3/PLK2/SOCS3/NR4A2/TNFRSF9/VEGFA/MAP3K8/EGR2/REL/IER5/ZC3H12A/NR4A3/INHBA/DUSP1/ACKR3/MSC/JUN/PLPP3/LIF/NFKB1/MCL1/PTGS2/GEM/FOS/TNFSF9/PTGER4/CCL5/SMAD3/TIPARP/IL1B/SGK1/NFKBIE/HBEGF/CCNL1/BTG2/KLF2/KLF4/PPP1R15A/CXCL1/TUBB2A/LITAF,Hallmarks
