category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,hsa04150,mTOR signaling pathway,4/158,140/5698,0.02857142857142857,1.030379746835443,0.06145902523388392,0.5478195949849203,0.9889765024379151,0.9889765024379151,81929/8326/58528/3479,4
Human Diseases,Cancer: overview,hsa05206,MicroRNAs in cancer,4/158,140/5698,0.02857142857142857,1.030379746835443,0.06145902523388392,0.5478195949849203,0.9889765024379151,0.9889765024379151,1942/5336/3162/595,4
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,2/158,66/5698,0.030303030303030304,1.0928270042194095,0.12808897500737132,0.550883725770577,0.9889765024379151,0.9889765024379151,527/7097,2
Metabolism,Metabolism of cofactors and vitamins,hsa00760,Nicotinate and nicotinamide metabolism,1/158,29/5698,0.034482758620689655,1.2435617634220864,0.22205044662869777,0.5584837046213365,0.9889765024379151,0.9889765024379151,10135,1
Metabolism,Carbohydrate metabolism,hsa00562,Inositol phosphate metabolism,2/158,67/5698,0.029850746268656716,1.0765161534101644,0.10638846375583352,0.559093245715616,0.9889765024379151,0.9889765024379151,5336/80271,2
Organismal Systems,Endocrine system,hsa04919,Thyroid hormone signaling pathway,3/158,105/5698,0.02857142857142857,1.030379746835443,0.05305827925020697,0.5615844586158152,0.9889765024379151,0.9889765024379151,5336/1827/595,3
Metabolism,Global and overview maps,hsa01232,Nucleotide metabolism,2/158,68/5698,0.029411764705882353,1.0606850335070737,0.08501168529580519,0.5671962715892671,0.9889765024379151,0.9889765024379151,4831/978,2
Cellular Processes,Transport and catabolism,hsa04136,Autophagy - other,1/158,30/5698,0.03333333333333333,1.2021097046413503,0.1874259172008851,0.5707891508499181,0.9889765024379151,0.9889765024379151,79065,1
Organismal Systems,Environmental adaptation,hsa04710,Circadian rhythm,1/158,30/5698,0.03333333333333333,1.2021097046413503,0.1874259172008851,0.5707891508499181,0.9889765024379151,0.9889765024379151,5571,1
Human Diseases,Infectious disease: bacterial,hsa05150,Staphylococcus aureus infection,1/158,30/5698,0.03333333333333333,1.2021097046413503,0.1874259172008851,0.5707891508499181,0.9889765024379151,0.9889765024379151,3426,1
Metabolism,Metabolism of cofactors and vitamins,hsa00670,One carbon pool by folate,1/158,31/5698,0.03225806451612903,1.1633319722335647,0.1539828018192135,0.5827537440337065,0.9889765024379151,0.9889765024379151,10840,1
Cellular Processes,Cell growth and death,hsa04215,Apoptosis - multiple species,1/158,31/5698,0.03225806451612903,1.1633319722335647,0.1539828018192135,0.5827537440337065,0.9889765024379151,0.9889765024379151,5414,1
Organismal Systems,Nervous system,hsa04722,Neurotrophin signaling pathway,3/158,109/5698,0.027522935779816515,0.9925676460341424,-0.013230289573226478,0.5871904367464781,0.9889765024379151,0.9889765024379151,5664/5336/91860,3
Human Diseases,Cancer: overview,hsa05208,Chemical carcinogenesis - reactive oxygen species,5/158,185/5698,0.02702702702702703,0.9746835443037974,-0.059114162783080224,0.5878623629994589,0.9889765024379151,0.9889765024379151,653689/27/3162/4259/1728,5
Genetic Information Processing,Translation,hsa03008,Ribosome biogenesis in eukaryotes,2/158,71/5698,0.028169014084507043,1.0158673560349438,0.022719148709818077,0.5908625000172913,0.9889765024379151,0.9889765024379151,6023/9724,2
Environmental Information Processing,Signal transduction,hsa04072,Phospholipase D signaling pathway,3/158,110/5698,0.02727272727272727,0.9835443037974684,-0.029429384266920062,0.5934425097107778,0.9889765024379151,0.9889765024379151,5336/113/9162,3
Cellular Processes,Transport and catabolism,hsa04144,Endocytosis,6/158,224/5698,0.026785714285714284,0.9659810126582279,-0.08771821087493546,0.594003006251812,0.9889765024379151,0.9889765024379151,8729/128866/84612/3305/729092/116984,6
Human Diseases,Infectious disease: parasitic,hsa05146,Amoebiasis,2/158,72/5698,0.027777777777777776,1.0017580872011251,0.002535149454864328,0.5985361709036772,0.9889765024379151,0.9889765024379151,7097/3918,2
Human Diseases,Substance dependence,hsa05030,Cocaine addiction,1/158,33/5698,0.030303030303030304,1.0928270042194095,0.09030839388053746,0.6056976463134593,0.9889765024379151,0.9889765024379151,84152,1
Cellular Processes,Transport and catabolism,hsa04145,Phagosome,3/158,112/5698,0.026785714285714284,0.9659810126582279,-0.06140117726994566,0.6057636366961768,0.9889765024379151,0.9889765024379151,527/7097/3688,3
Human Diseases,Drug resistance: antineoplastic,hsa01521,EGFR tyrosine kinase inhibitor resistance,2/158,73/5698,0.0273972602739726,0.9880353736778221,-0.01737385036788857,0.6061021461341067,0.9889765024379151,0.9889765024379151,5336/3479,2
Organismal Systems,Immune system,hsa04613,Neutrophil extracellular trap formation,2/158,73/5698,0.0273972602739726,0.9880353736778221,-0.01737385036788857,0.6061021461341067,0.9889765024379151,0.9889765024379151,5336/7097,2
Organismal Systems,Nervous system,hsa04725,Cholinergic synapse,2/158,73/5698,0.0273972602739726,0.9880353736778221,-0.01737385036788857,0.6061021461341067,0.9889765024379151,0.9889765024379151,2790/113,2
