ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,collection
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,36/508,57/8670,0.631578947368421,10.779113137173642,18.478969015038007,8.96252739867655e-31,9.71537970016538e-28,8.953093159309522e-28,H3-3B/H3-3A/H2AZ1/H2AJ/H2AZ2/MACROH2A1/H4C3/H2AC6/H2AX/H2BC5/H2BC21/MACROH2A2/H4C8/H2BC11/H2BC15/H2AC20/H2AC25/H4C16/H2BC18/H2AC8/H2AC19/H2BC12/H3C6/H2AC11/H3C1/H3C10/H2AC12/H4C5/IL10/H2AC15/RO60/H4C14/HLA-DOA/ACTN1/H3-5/H4C11,36,KEGG
REACTOME_DNA_METHYLATION,REACTOME_DNA_METHYLATION,23/508,25/8670,0.92,15.701574803149608,18.364090566729992,7.632787466309565e-27,4.136970806739784e-24,3.812376476593566e-24,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC11/H2BC15/H2AC20/H4C16/H2AC8/H2AC19/H2BC12/H3C6/H3C1/H3C10/H4C5/H4C14/H4C11,23,Reactome
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,23/508,28/8670,0.8214285714285714,14.019263217097862,17.21378421501011,2.1185549853065497e-24,7.655045346907666e-22,7.054416424757599e-22,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC11/H2BC15/H2AC20/H4C16/H2AC8/H2AC19/H2BC12/H3C6/H3C1/H3C10/H4C5/H4C14/H4C11,23,Reactome
REACTOME_CHROMATIN_MODIFICATIONS_DURING_THE_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT,REACTOME_CHROMATIN_MODIFICATIONS_DURING_THE_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT,23/508,30/8670,0.7666666666666667,13.084645669291339,16.54077064014152,3.929315347653955e-23,8.518755673713775e-21,7.850358452470743e-21,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC11/H2BC15/H2AC20/H4C16/H2AC8/H2AC19/H2BC12/H3C6/H3C1/H3C10/H4C5/H4C14/H4C11,23,Reactome
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION,REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION,23/508,30/8670,0.7666666666666667,13.084645669291339,16.54077064014152,3.929315347653955e-23,8.518755673713775e-21,7.850358452470743e-21,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC11/H2BC15/H2AC20/H4C16/H2AC8/H2AC19/H2BC12/H3C6/H3C1/H3C10/H4C5/H4C14/H4C11,23,Reactome
REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_THE_HUMAN_SILENCING_HUB_HUSH_COMPLEX,REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_THE_HUMAN_SILENCING_HUB_HUSH_COMPLEX,24/508,34/8670,0.7058823529411765,12.047244094488189,16.10108542428314,1.202834909673606e-22,2.1731217368103147e-20,2.0026146127723718e-20,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC11/H2BC15/H2AC20/H4C16/H2AC8/H2AC19/H2BC12/H3C6/H3C1/H3C10/H4C5/H4C14/H4C11/TASOR,24,Reactome
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,23/508,31/8670,0.7419354838709677,12.662560325120651,16.22785339190675,1.4407606415732613e-22,2.2311207649505934e-20,2.0560629306060524e-20,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC11/H2BC15/H2AC20/H4C16/H2AC8/H2AC19/H2BC12/H3C6/H3C1/H3C10/H4C5/H4C14/H4C11,23,Reactome
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,23/508,35/8670,0.6571428571428571,11.215410573678291,15.106948195300518,1.2217918262536815e-20,1.4715803773988785e-18,1.3561174773271856e-18,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC11/H2BC15/H2AC20/H4C16/H2AC8/H2AC19/H2BC12/H3C6/H3C1/H3C10/H4C5/H4C14/H4C11,23,Reactome
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA,REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA,23/508,35/8670,0.6571428571428571,11.215410573678291,15.106948195300518,1.2217918262536815e-20,1.4715803773988785e-18,1.3561174773271856e-18,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC11/H2BC15/H2AC20/H4C16/H2AC8/H2AC19/H2BC12/H3C6/H3C1/H3C10/H4C5/H4C14/H4C11,23,Reactome
REACTOME_MEIOTIC_RECOMBINATION,REACTOME_MEIOTIC_RECOMBINATION,25/508,44/8670,0.5681818181818182,9.697118826055835,14.428297132535471,4.401209462320164e-20,4.7709110571550586e-18,4.3965766102545644e-18,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC11/H2BC15/H2AC20/H4C16/H2AC8/H2AC19/H2BC12/H3C6/H3C1/H3C10/H4C5/BLM/H4C14/RAD50/H4C11,25,Reactome
