ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,collection
REACTOME_EPIGENETIC_REGULATION_BY_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES,REACTOME_EPIGENETIC_REGULATION_BY_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES,115,-0.8762090315391484,-1.74244629694548,2.815318224123086e-9,1.4729233072571236e-7,1.3847593944490587e-7,301,"tags=20%, list=2%, signal=20%",ACSL1/H4C14/H3C6/H3C1/H4C1/H2AC19/H4C5/H4C16/H3C10/H2AC20/H2AC8/H2BC11/H2BC15/H4C8/H2BC5/H2BC21/H2AC6/H2AX/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,155,-0.8635667481185023,-1.7423122641967104,1.210426789086474e-11,1.3367998996212548e-9,1.256783846367598e-9,210,"tags=15%, list=2%, signal=15%",H4C14/H3C6/H3C1/H4C1/H2AC19/H4C5/H4C16/H3C10/H2AC20/H2AC8/H2BC11/H2BC15/H4C8/H2BC5/H2BC21/H2AC6/H2AX/H4C3/H2AZ2/H2AJ/H3-3A/PSMA2/H3-3B,Reactome
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE,REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE,26,-0.9539445147649084,-1.742222114381538,1.1362094681054091e-5,2.7825044633815444e-4,2.615953713801479e-4,210,"tags=65%, list=2%, signal=64%",H4C14/H4C1/H2AC19/H4C5/H4C16/H2AC20/H2AC8/H2BC11/H2BC15/H4C8/H2BC5/H2BC21/H2AC6/H2AX/H4C3/H2AZ2/H2AJ,Reactome
REACTOME_HCMV_INFECTION,REACTOME_HCMV_INFECTION,109,-0.8644426634514336,-1.7165028422389914,1.8775580792201492e-7,5.402673372955979e-6,5.079288698521877e-6,296,"tags=20%, list=2%, signal=20%",CHMP4B/H2AC12/H4C14/H3C6/H3C1/H4C1/H2AC19/H4C5/H2AC11/H4C16/H3C10/H2BC18/H2AC25/H2AC20/H2AC8/H2BC11/H2BC15/H4C8/H2BC5/H2BC21/H2AC6/H4C3,Reactome
REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS,REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS,67,-0.8725246644430392,-1.7062226843957824,9.774322787285692e-6,2.4457055496012673e-4,2.2993143765056504e-4,210,"tags=16%, list=2%, signal=16%",H4C14/H4C1/H4C5/H4C16/H2BC11/H2BC15/H4C8/H2BC5/H2BC21/H2AX/H4C3,Reactome
REACTOME_CRISTAE_FORMATION,REACTOME_CRISTAE_FORMATION,31,-0.9253000031710324,-1.7053426366452726,8.356875347308409e-5,0.0018497622162984575,0.0017390420763224788,438,"tags=16%, list=4%, signal=16%",DMAC2L/MICOS10/MICOS13/ATP5MJ/ATP5MK,Reactome
REACTOME_SIGNALING_BY_NOTCH,REACTOME_SIGNALING_BY_NOTCH,169,-0.8426817822546736,-1.7030021394936503,5.301008899347235e-9,2.5422755179786113e-7,2.3901040125127004e-7,317,"tags=17%, list=3%, signal=17%",NOTCH2NLA/ST3GAL6/TACC3/PSEN2/NOTCH4/ELF3/H4C14/H3C6/H3C1/H4C1/H2AC19/H4C5/H4C16/H3C10/H2AC20/H2AC8/H2BC11/H2BC15/H4C8/H2BC5/H2BC21/H2AC6/H2AX/H4C3/H2AZ2/H2AJ/H3-3A/PSMA2/H3-3B,Reactome
REACTOME_METALLOPROTEASE_DUBS,REACTOME_METALLOPROTEASE_DUBS,26,-0.923215026451516,-1.6860997788844727,5.913089980679703e-4,0.01097736543187474,0.01032029966067697,226,"tags=27%, list=2%, signal=26%",H2AC12/H2AC19/H2AC11/H2AC25/H2AC20/H2AC8/H2AC6,Reactome
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,25,-0.9262731065503959,-1.6845581787756096,5.850776939858302e-4,0.01097736543187474,0.01032029966067697,2,"tags=8%, list=0%, signal=8%",CCT6B/PFDN5,Reactome
REACTOME_HDMS_DEMETHYLATE_HISTONES,REACTOME_HDMS_DEMETHYLATE_HISTONES,32,-0.910934073278812,-1.681969688433635,3.316963487385197e-4,0.006582456851690279,0.0061884545644863564,210,"tags=28%, list=2%, signal=28%",H4C14/H3C6/H3C1/H4C1/H4C5/H4C16/H3C10/H4C8/H4C3,Reactome
REACTOME_ESR_MEDIATED_SIGNALING,REACTOME_ESR_MEDIATED_SIGNALING,159,-0.8306761142919771,-1.6746081657074097,2.883951216387824e-8,1.0373212031444955e-6,9.752308718574617e-7,341,"tags=17%, list=3%, signal=17%",GTF2F2/GNAI1/AREG/GNG5/GNG10/H4C14/H3C6/H3C1/H4C1/H2AC19/H4C5/H4C16/H3C10/H2AC20/H2AC8/H2BC11/H2BC15/H4C8/H2BC5/H2BC21/H2AC6/H2AX/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING,REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING,18,-0.9544642159203218,-1.6698810265401052,7.415444375438627e-5,0.0016735640149274237,0.001573390468101323,438,"tags=17%, list=4%, signal=16%",DMAC2L/ATP5MJ/ATP5MK,Reactome
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_TERMINATION,REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_TERMINATION,31,-0.9049790901696186,-1.6678908704741826,5.077460140657232e-4,0.009740261036494124,0.009157243902799359,104,"tags=16%, list=1%, signal=16%",GTF2H4/TAF1D/POLR1G/POLR1F/POLR1H,Reactome
