ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,collection
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION,REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION,17/349,33/7889,0.5151515151515151,11.644785968568204,13.182678411721858,3.969722296372794e-15,1.044257504073621e-13,9.576084486864194e-14,H2AJ/H2AZ2/H4C3/H2AX/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H4C16/H4C5/H2AC19/H4C1/H4C14,17,Reactome
REACTOME_AMYLOID_FIBER_FORMATION,REACTOME_AMYLOID_FIBER_FORMATION,21/349,57/7889,0.3684210526315789,8.328004825818127,11.945307297348894,1.0011234490890708e-14,2.5623348818577024e-13,2.3497207553299673e-13,H3-3B/H3-3A/H2AZ1/H4C3/H2AX/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H3C10/H4C16/H4C5/H2AC19/H4C1/H3C1/H3C6/H4C14,21,Reactome
REACTOME_MEIOSIS,REACTOME_MEIOSIS,22/349,66/7889,0.3333333333333333,7.534861509073543,11.469175077877804,2.578899845639026e-14,6.376419366205265e-13,5.847325045428047e-13,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AX/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H3C10/H4C16/H4C5/H2AC19/H4C1/H3C1/H3C6/H4C14,22,Reactome
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS,REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS,23/349,73/7889,0.3150684931506849,7.121992385288691,11.305048537211126,2.6259805204013235e-14,6.376419366205265e-13,5.847325045428047e-13,H3-3B/PSMA2/H3-3A/H2AJ/H2AZ2/H4C3/H2AX/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H3C10/H4C16/H4C5/H2AC19/H4C1/H3C1/H3C6/H4C14,23,Reactome
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP,REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP,22/349,67/7889,0.3283582089552239,7.422400889535132,11.357595519847274,3.686786220849927e-14,8.728466377862202e-13,8.004206926845234e-13,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AX/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H3C10/H4C16/H4C5/H2AC19/H4C1/H3C1/H3C6/H4C14,22,Reactome
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS,22/349,68/7889,0.3235294117647059,7.313247935277263,11.24829377167088,5.23298746374281e-14,1.20869247028401e-12,1.1083991418710703e-12,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AX/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H3C10/H4C16/H4C5/H2AC19/H4C1/H3C1/H3C6/H4C14,22,Reactome
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,23/349,79/7889,0.2911392405063291,6.581081571216132,10.72548377621062,1.7618426361577865e-13,3.9725356581938664e-12,3.642907706341288e-12,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AX/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H3C10/H4C16/H4C5/H2AC19/H4C1/H3C1/H3C6/H4C14/RARB,23,Reactome
REACTOME_HCMV_LATE_EVENTS,REACTOME_HCMV_LATE_EVENTS,22/349,73/7889,0.3013698630136986,6.812340542450053,10.733236471364755,2.730742111911956e-13,6.013983209257261e-12,5.514962649516191e-12,H4C3/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H2AC25/H2BC18/H3C10/H4C16/H2AC11/H4C5/H2AC19/H4C1/H3C1/H3C6/H4C14/H2AC12/CHMP4B,22,Reactome
REACTOME_GENE_SILENCING_BY_RNA,REACTOME_GENE_SILENCING_BY_RNA,24/349,89/7889,0.2696629213483146,6.095618299475226,10.400520684864574,3.366369587953334e-13,7.24534545407229e-12,6.644150502539474e-12,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AX/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H3C10/H4C16/H4C5/H2AC19/H4C1/H3C1/H3C6/H4C14/TSNAX/PLD6,24,Reactome
REACTOME_MEIOTIC_SYNAPSIS,REACTOME_MEIOTIC_SYNAPSIS,17/349,41/7889,0.4146341463414634,9.372632608847578,11.563384250715615,3.7259315601554315e-13,7.841015972149319e-12,7.1903942388964465e-12,H2AJ/H2AZ2/H4C3/H2AX/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H4C16/H4C5/H2AC19/H4C1/H4C14,17,Reactome
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION_BY_MLL3_AND_MLL4_COMPLEXES,REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION_BY_MLL3_AND_MLL4_COMPLEXES,23/349,84/7889,0.27380952380952384,6.189350525310411,10.286714532044307,7.461949776590439e-13,1.5361883561806836e-11,1.4087204955805749e-11,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AX/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H3C10/H4C16/H4C5/H2AC19/H4C1/H3C1/H3C6/H4C14/ACSL1,23,Reactome
REACTOME_REPRODUCTION,REACTOME_REPRODUCTION,22/349,79/7889,0.27848101265822783,6.294947589858909,10.175603733120564,1.6390020195426744e-12,3.3024147074615164e-11,3.028391189524538e-11,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AX/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H3C10/H4C16/H4C5/H2AC19/H4C1/H3C1/H3C6/H4C14,22,Reactome
REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE,REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE,22/349,81/7889,0.2716049382716049,6.139516785171035,10.00242692862987,2.8613010570980168e-12,5.6451085438996295e-11,5.176695991460228e-11,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AX/H2AC6/H2BC21/H2BC5/H4C8/H2BC15/H2BC11/H2AC8/H2AC20/H3C10/H4C16/H4C5/H2AC19/H4C1/H3C1/H3C6/H4C14,22,Reactome
