ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,collection
REACTOME_MITOTIC_PROPHASE,REACTOME_MITOTIC_PROPHASE,32/562,109/8976,0.29357798165137616,4.688889614417708,10.01393313005963,5.26157430600671e-14,1.250720058990345e-12,1.1815465108225595e-12,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2AC20/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H4C5/H2AC19/H4C14/H3C6/H4C1/H3C1/H4C11/SEH1L/H4C15/GORASP2/SET/H4C2/H4C4/H2BC26/NUP42,32,Reactome
REACTOME_BASE_EXCISION_REPAIR,REACTOME_BASE_EXCISION_REPAIR,25/562,68/8976,0.36764705882352944,5.871886120996442,10.421869073581911,1.0195732162016182e-13,2.374149060583768e-12,2.2428420480998007e-12,H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/ADPRS/H4C8/H2BC15/H2AC20/H2BC11/H2AC8/H4C16/H2BC12/H4C5/H2AC19/H4C14/H4C1/H4C11/H4C15/H4C2/TERF2/H4C4/H2BC26,25,Reactome
REACTOME_HCMV_INFECTION,REACTOME_HCMV_INFECTION,33/562,120/8976,0.275,4.392170818505338,9.667933743453116,1.6709376594693214e-13,3.813079738908992e-12,3.602189817466495e-12,H4C3/H2AC6/H2BC5/H2BC21/H4C8/H2BC15/H2AC20/H2BC11/H2AC25/H2AC8/H4C16/H2BC18/H2BC12/H3C10/H2AC11/H4C5/H2AC19/H4C14/H3C6/H4C1/H3C1/H4C11/H2AC12/H2AC15/H2AC21/SEH1L/H4C15/H4C2/DYNC1I1/H4C4/CHMP4B/H2BC26/NUP42,33,Reactome
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,19/562,40/8976,0.475,7.586476868327401,10.789360869625789,3.8779250647750616e-13,8.675906860604598e-12,8.196068661155137e-12,SARS1/GARS1/DARS1/EPRS1/NARS1/LARS1/TARS1/IARS1/RARS1/TARS3/CARS1/KARS1/YARS1/HARS1/AARS1/WARS1/MARS1/VARS1/VARS2,19,KEGG
REACTOME_GENE_SILENCING_BY_RNA,REACTOME_GENE_SILENCING_BY_RNA,30/562,103/8976,0.2912621359223301,4.651902014303976,9.633555870480253,4.1541814834743753e-13,9.115232832008197e-12,8.611096840238383e-12,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2AC20/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H4C5/H2AC19/H4C14/H3C6/H4C1/H3C1/H4C11/SEH1L/H4C15/H4C2/H4C4/H2BC26/NUP42,30,Reactome
REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS,REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS,30/562,107/8976,0.2803738317757009,4.477999135264576,9.35337105903514,1.2490095645648014e-12,2.6889054965442233e-11,2.5401902564336777e-11,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2AC20/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H4C5/H2AC19/H4C14/H3C6/H4C1/H3C1/H4C11/BCL7A/H4C15/H4C2/H4C4/TASOR/H2BC26,30,Reactome
REACTOME_CHROMOSOME_MAINTENANCE,REACTOME_CHROMOSOME_MAINTENANCE,31/562,114/8976,0.2719298245614035,4.3431354186177185,9.283776018630903,1.2834217925007927e-12,2.711822713413712e-11,2.5618399912686393e-11,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2AC20/H2BC11/H2AC8/H4C16/H2BC12/H4C5/H2AC19/H4C14/H4C1/H4C11/CENPW/BLM/H4C15/TEN1/H4C2/CHTF8/TERF2/H4C4/CENPP/H2BC26,31,Reactome
REACTOME_HATS_ACETYLATE_HISTONES,REACTOME_HATS_ACETYLATE_HISTONES,30/562,108/8976,0.2777777777777778,4.436536180308423,9.28547422219139,1.6296143239923684e-12,3.380708988500532e-11,3.1937321871161443e-11,H4C3/H2AC6/H2BC5/H2BC21/H4C8/H2BC15/H2AC20/H2BC11/H2AC25/H2AC8/H4C16/H2BC18/H2BC12/H3C10/H2AC11/H4C5/H2AC19/H4C14/H3C6/H4C1/H3C1/H4C11/H2AC12/H2AC15/H2AC21/H4C15/H4C2/H4C4/H2BC26/ATXN7,30,Reactome
REACTOME_CELLULAR_SENESCENCE,REACTOME_CELLULAR_SENESCENCE,36/562,156/8976,0.23076923076923078,3.68573774979469,8.745320751247064,4.045352381826521e-12,8.242405477971536e-11,7.786542930433003e-11,H3-3B/H3-3A/H1-2/H2AJ/H2AZ2/H4C3/H1-0/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H1-4/H2AC20/H2BC11/H2AC8/H4C16/H1-1/H2BC12/H3C10/H1-3/H4C5/H2AC19/H4C14/H3C6/H4C1/H3C1/H4C11/H4C15/RAD50/H4C2/TERF2/KDM6B/H4C4/H2BC26,36,Reactome
REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION,REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION,30/562,112/8976,0.26785714285714285,4.278088459583121,9.021919321261679,4.562295296662675e-12,9.132594620161602e-11,8.627498400337174e-11,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC5/H2BC21/H4C8/H2BC15/H2AC20/H2BC11/H2AC8/H4C16/H2BC12/H3C10/H4C5/H2AC19/H4C14/H3C6/H4C1/H3C1/H4C11/H4C15/CCND1/CITED1/H4C2/H4C4/H2BC26,30,Reactome
