ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,collection
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,163,-0.8780920310755774,-1.5977044444026278,2.9051833458439347e-9,2.0007682604436923e-7,1.8599532726029578e-7,240,"tags=13%, list=2%, signal=13%",H4C11/H4C5/H2AC19/H3C10/H2BC12/H2AC8/H4C16/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/PSMA2/H3-3B,Reactome
REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES,REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES,47,-0.8831417077701695,-1.5917861932686725,0.0013339167004604911,0.023159887060169106,0.021529883586379858,512,"tags=17%, list=4%, signal=16%",KMT5A/KMT2A/H4C11/H4C5/H3C10/H4C16/H4C8/H4C3,Reactome
REACTOME_FORMATION_OF_SENESCENCE_ASSOCIATED_HETEROCHROMATIN_FOCI_SAHF,REACTOME_FORMATION_OF_SENESCENCE_ASSOCIATED_HETEROCHROMATIN_FOCI_SAHF,16,-0.9534812498749987,-1.5912835892178563,0.0018257340050836543,0.030378185251253027,0.028240154640036645,166,"tags=38%, list=1%, signal=37%",HMGA1/H1-3/H1-1/H1-4/H1-0/H1-2,Reactome
REACTOME_ESR_MEDIATED_SIGNALING,REACTOME_ESR_MEDIATED_SIGNALING,165,-0.8693822966072692,-1.5858128897438735,8.423502068952427e-9,4.204731449418753e-7,3.90880052147003e-7,552,"tags=15%, list=4%, signal=14%",SPHK1/GNG5/CITED1/GNG10/H4C11/H4C5/H2AC19/H3C10/H2BC12/H2AC8/H4C16/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_MITOCHONDRIAL_BIOGENESIS,REACTOME_MITOCHONDRIAL_BIOGENESIS,90,-0.872172769445832,-1.58269305478234,2.6351537087814282e-5,6.190027731608139e-4,5.754370740744584e-4,320,"tags=7%, list=2%, signal=7%",DMAC2L/MICOS10/MICOS13/ATP5MJ/ATP5MK/PRKAG1,Reactome
REACTOME_SELENOAMINO_ACID_METABOLISM,REACTOME_SELENOAMINO_ACID_METABOLISM,111,-0.869879928705547,-1.5824271490766593,2.996114691513397e-6,8.157603182802385e-5,7.583467329237259e-5,97,"tags=9%, list=1%, signal=9%",RPS26/CTH/MARS1/KARS1/IARS1/RARS1/EPRS1/LARS1/DARS1/SARS1,Reactome
REACTOME_HCMV_INFECTION,REACTOME_HCMV_INFECTION,108,-0.870741385810884,-1.5820325007527498,7.6788007477408e-6,1.9572772969773356e-4,1.8195232230928927e-4,384,"tags=20%, list=3%, signal=20%",NUP42/CHMP4B/H4C11/H2AC12/H4C5/SEH1L/H2AC19/H3C10/H2AC11/H2BC12/H2AC8/H4C16/H2BC18/H2AC25/H2BC11/H2AC20/H4C8/H2BC21/H2BC5/H2BC15/H2AC6/H4C3,Reactome
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_INITIATION,REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_INITIATION,47,-0.8763584151990351,-1.5795598978003085,0.0022237915468030283,0.036001382068513894,0.033467588286167915,232,"tags=11%, list=2%, signal=10%",CCNH/GTF2H4/POLR1G/POLR1F/POLR1H,Reactome
REACTOME_G2_M_CHECKPOINTS,REACTOME_G2_M_CHECKPOINTS,122,-0.8638991245307637,-1.57080945389797,3.573118049717261e-6,9.51243427458062e-5,8.842944787370438e-5,561,"tags=16%, list=4%, signal=16%",PIAS4/YWHAE/PSMA6/BLM/RAD50/ORC3/WEE1/H4C11/H4C5/SFN/H2BC12/H4C16/H2BC11/H4C8/H2BC21/H2BC5/H2BC15/H2AX/H4C3/PSMA2,Reactome
REACTOME_NUCLEOTIDE_BIOSYNTHESIS,REACTOME_NUCLEOTIDE_BIOSYNTHESIS,14,-0.9537145021662239,-1.5614198018487797,0.002482397788579049,0.03965216734290268,0.036861429618479075,118,"tags=21%, list=1%, signal=21%",PPAT/ADSS1/ADSS2,Reactome
