category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Endocrine system,hsa04913,Ovarian steroidogenesis,4/332,31/5974,0.12903225806451613,2.3218033424018656,1.7897550059985368,0.09046165432677182,0.9089715241325015,0.9089715241325015,3292/3479/1588/5321,4
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,14/332,171/5974,0.08187134502923976,1.4731910096526455,1.5228495977510441,0.0927586260444539,0.9089715241325015,0.9089715241325015,22801/56924/7422/3479/595/2534/399694/1311/3909/2335/4233/3918/330/5063,14
Organismal Systems,Endocrine system,hsa04922,Glucagon signaling pathway,8/332,84/5974,0.09523809523809523,1.7137119908204246,1.5979152708168414,0.0935617947494537,0.9089715241325015,0.9089715241325015,5571/51422/5534/5315/3939/817/5224/150094,8
Metabolism,Glycan biosynthesis and metabolism,hsa00515,Mannose type O-glycan biosynthesis,3/332,20/5974,0.15,2.699096385542169,1.8461940927013205,0.09628629232434638,0.9089715241325015,0.9089715241325015,84197/29954/2218,3
Organismal Systems,Immune system,hsa04625,C-type lectin receptor signaling pathway,8/332,85/5974,0.09411764705882353,1.6935506732813608,1.5621244923011746,0.09857998673469769,0.9089715241325015,0.9089715241325015,3586/1959/5336/5534/7124/1960/4772/4046,8
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,13/332,158/5974,0.08227848101265822,1.4805170047277716,1.4848201894890964,0.09973006825142493,0.9089715241325015,0.9089715241325015,4803/2246/623/5336/490/5534/7422/51196/153/817/4233/219931/4772,13
Metabolism,Carbohydrate metabolism,hsa00010,Glycolysis / Gluconeogenesis,5/332,46/5974,0.10869565217391304,1.9558669460450497,1.5785960820993723,0.10990800068936406,0.9089715241325015,0.9089715241325015,5230/2023/5315/3939/5224,5
Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,5/332,46/5974,0.10869565217391304,1.9558669460450497,1.5785960820993723,0.10990800068936406,0.9089715241325015,0.9089715241325015,3586/8743/7124/2826/6352,5
Human Diseases,Cancer: overview,hsa05206,MicroRNAs in cancer,12/332,146/5974,0.0821917808219178,1.47895692358475,1.4212218320373033,0.1113638298477685,0.9089715241325015,0.9089715241325015,5336/3925/836/7422/6935/595/399694/7168/4233/1943/1942/994,12
Cellular Processes,Cellular community - eukaryotes,hsa04520,Adherens junction,8/332,88/5974,0.09090909090909091,1.6358159912376782,1.4575095600453674,0.1145266603274087,0.9089715241325015,0.9089715241325015,2534/54922/57493/889/4233/7046/8936/5795,8
