ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,collection
REACTOME_AMYLOID_FIBER_FORMATION,REACTOME_AMYLOID_FIBER_FORMATION,65,-0.9087382913383003,-1.85236752597927,2.9586712181675643e-9,8.994360503229395e-8,8.06627205795157e-8,285,"tags=37%, list=2%, signal=36%",H4C15/H4C11/H4C14/H4C5/H3C1/H4C1/H3C6/H2AC19/H3C10/H2BC12/H4C16/H2AC8/H2BC11/H4C8/H2AC20/H2BC15/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ1/H3-3A/H3-3B,Reactome
REACTOME_HCMV_INFECTION,REACTOME_HCMV_INFECTION,118,-0.8716715798293956,-1.849880095772424,3.228102982114359e-11,1.96268661312553e-9,1.7601656260370924e-9,534,"tags=26%, list=4%, signal=26%",CHMP4B/NUP42/H4C4/NUP160/SEH1L/H2AC15/H2AC21/H4C15/H4C11/H4C14/H4C5/H2AC12/H3C1/H4C1/H3C6/H2AC11/H2AC19/H3C10/H2BC12/H2AC25/H2BC18/H4C16/H2AC8/H2BC11/H4C8/H2AC20/H2BC15/H2BC21/H2BC5/H2AC6/H4C3,Reactome
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE,REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE,30,-0.9606082327433028,-1.844446148354653,6.492168953055368e-9,1.8796374873607924e-7,1.6856859737757799e-7,285,"tags=70%, list=2%, signal=69%",H4C4/H4C15/H4C11/H4C14/H4C5/H4C1/H2AC19/H2BC12/H4C16/H2AC8/H2BC11/H4C8/H2AC20/H2BC15/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ,Reactome
REACTOME_RMTS_METHYLATE_HISTONE_ARGININES,REACTOME_RMTS_METHYLATE_HISTONE_ARGININES,53,-0.9119661134218225,-1.8440114339866283,1.4658521929708512e-7,3.792502695005436e-6,3.4011710457285593e-6,298,"tags=45%, list=2%, signal=45%",H4C4/H2AC15/H2AC21/H4C15/H4C11/H4C14/H4C5/H2AC12/H3C1/H4C1/H3C6/H2AC11/H2AC19/H3C10/H2AC25/H4C16/H2AC8/H4C8/H2AC20/H2AX/H2AC6/H4C3/H2AZ2/H2AJ,Reactome
REACTOME_SELENOAMINO_ACID_METABOLISM,REACTOME_SELENOAMINO_ACID_METABOLISM,112,-0.8699077327315206,-1.843248504868131,9.077412663849102e-10,3.344889030072881e-8,2.999744663396386e-8,134,"tags=8%, list=1%, signal=8%",CTH/MARS1/KARS1/IARS1/RARS1/LARS1/EPRS1/DARS1/SARS1,Reactome
REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION,REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION,110,-0.8708389119046336,-1.84245160966206,4.708903322713897e-10,1.8471053033613223e-8,1.6565106425574185e-8,285,"tags=25%, list=2%, signal=24%",CBFB/H4C4/H4C15/H4C11/H4C14/H4C5/H3C1/H4C1/H3C6/H2AC19/H3C10/H2BC12/H4C16/H2AC8/H2BC11/H4C8/H2AC20/H2BC15/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION_BY_MLL3_AND_MLL4_COMPLEXES,REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION_BY_MLL3_AND_MLL4_COMPLEXES,96,-0.8791477633343273,-1.8406082009567402,3.660664807241221e-9,1.08569961112325e-7,9.736710501416958e-8,503,"tags=28%, list=3%, signal=27%",H4C4/ACSL1/H4C15/H4C11/H4C14/H4C5/H3C1/H4C1/H3C6/H2AC19/H3C10/H2BC12/H4C16/H2AC8/H2BC11/H4C8/H2AC20/H2BC15/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,88,-0.8860645124275954,-1.84056148448385,1.4582304657581732e-9,4.666337490426154e-8,4.184838677355866e-8,285,"tags=28%, list=2%, signal=28%",H4C15/H4C11/H4C14/H4C5/H3C1/H4C1/H3C6/H2AC19/H3C10/H2BC12/H4C16/H2AC8/H2BC11/H4C8/H2AC20/H2BC15/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_HATS_ACETYLATE_HISTONES,REACTOME_HATS_ACETYLATE_HISTONES,105,-0.8698141635411869,-1.8356702825078588,1.0237068331632616e-9,3.6612573797839005e-8,3.28346835652365e-8,514,"tags=27%, list=3%, signal=26%",TAF6L/H4C4/H2AC15/H2AC21/H4C15/H4C11/H4C14/H4C5/H2AC12/H3C1/H4C1/H3C6/H2AC11/H2AC19/H3C10/H2BC12/H2AC25/H2BC18/H4C16/H2AC8/H2BC11/H4C8/H2AC20/H2BC15/H2BC21/H2BC5/H2AC6/H4C3,Reactome
REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ,REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ,49,-0.9117988230978079,-1.8275209836140516,1.8819348992942913e-7,4.6702710970242e-6,4.188366392414362e-6,503,"tags=33%, list=3%, signal=32%",H4C4/RAD50/H4C15/H4C11/H4C14/H4C5/H4C1/H2BC12/H4C16/H2BC11/H4C8/H2BC15/H2BC21/H2BC5/H2AX/H4C3,Reactome
