ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,collection
REACTOME_CELLULAR_SENESCENCE,REACTOME_CELLULAR_SENESCENCE,26/341,148/8748,0.17567567567567569,4.506776571292701,8.665147454871816,7.570219999987424e-11,1.2842337499978667e-9,1.182491131576983e-9,H3-3B/H3-3A/H2AJ/H2AZ2/H1-2/H1-0/H4C3/H2AC6/H2AX/H1-4/H2BC15/H2BC5/H2BC21/H4C8/H2AC20/H2BC11/H1-1/H4C16/H2AC8/H2BC12/H1-3/H3C10/H2AC19/H4C5/H4C11/TERF2,26,Reactome
REACTOME_HATS_ACETYLATE_HISTONES,REACTOME_HATS_ACETYLATE_HISTONES,21/341,97/8748,0.21649484536082475,5.553949874535175,9.082955494291586,9.276230955459568e-11,1.5460384925765949e-9,1.4235545565996125e-9,H4C3/H2AC6/H2BC15/H2BC5/H2BC21/H4C8/H2AC20/H2BC11/H2AC25/H2BC18/H4C16/H2AC8/H2BC12/H2AC11/H3C10/H2AC19/KAT7/H4C5/H2AC12/H4C11/TAF6L,21,Reactome
REACTOME_DNA_REPLICATION_PRE_INITIATION,REACTOME_DNA_REPLICATION_PRE_INITIATION,22/341,107/8748,0.205607476635514,5.2746457642447995,8.95975731181245,9.587445700234182e-11,1.570357485383185e-9,1.4459468923583676e-9,H3-3B/PSMA2/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC15/H2BC5/H2BC21/H4C8/H2AC20/H2BC11/H4C16/H2AC8/H2BC12/H3C10/H2AC19/H4C5/H4C11/ORC3,22,Reactome
REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION,REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION,21/341,103/8748,0.20388349514563106,5.230418813882641,8.697725705900508,3.057558740185299e-10,4.9231878019932786e-9,4.533151316849213e-9,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC15/H2BC5/H2BC21/H4C8/H2AC20/H2BC11/H4C16/H2AC8/H2BC12/H3C10/H2AC19/H4C5/H4C11/CCND1,21,Reactome
REACTOME_EPIGENETIC_REGULATION_BY_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES,REACTOME_EPIGENETIC_REGULATION_BY_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES,22/341,119/8748,0.18487394957983194,4.742748712388181,8.278852496427989,8.315461890786699e-10,1.3166147993745607e-8,1.212306812498903e-8,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC15/H2BC5/H2BC21/H4C8/H2AC20/H2BC11/H4C16/H2AC8/H2BC12/H3C10/H2AC19/H4C5/H4C11/ACSL1/KMT2A,22,Reactome
REACTOME_SIGNALING_BY_NOTCH,REACTOME_SIGNALING_BY_NOTCH,25/341,170/8748,0.14705882352941177,3.7726410212178716,7.352098436195687,8.285619768066e-9,1.2903834065020818e-7,1.1881535853775402e-7,H3-3B/PSMA2/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC15/H2BC5/H2BC21/H4C8/H2AC20/H2BC11/PSEN2/H4C16/H2AC8/H2BC12/ELF3/H3C10/H2AC19/H4C5/H4C11/NOTCH2NLA/CCND1,25,Reactome
REACTOME_DNA_REPLICATION,REACTOME_DNA_REPLICATION,22/341,139/8748,0.15827338129496402,4.060338825713623,7.324648483949063,1.7018269256088464e-8,2.607638031174845e-7,2.401049533414179e-7,H3-3B/PSMA2/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC15/H2BC5/H2BC21/H4C8/H2AC20/H2BC11/H4C16/H2AC8/H2BC12/H3C10/H2AC19/H4C5/H4C11/ORC3,22,Reactome
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1,23/341,160/8748,0.14375,3.687756598240469,6.910192393891082,5.158899801240806e-8,7.779293351077406e-7,7.162983683928337e-7,H3-3B/PSMA2/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC15/H2BC5/H2BC21/H4C8/H2AC20/H2BC11/H4C16/H2AC8/H2BC12/H3C10/H2AC19/H4C5/H4C11/KMT2A/CCND1,23,Reactome
REACTOME_CHROMATIN_ORGANIZATION,REACTOME_CHROMATIN_ORGANIZATION,27/341,231/8748,0.11688311688311688,2.9985146817991395,6.199493920700543,2.861292491927893e-7,4.247231042705466e-6,3.910746810513288e-6,H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC15/H2BC5/H2BC21/H4C8/H2AC20/H2BC11/H2AC25/H2BC18/H4C16/H2AC8/H2BC12/H2AC11/H3C10/H2AC19/KAT7/H4C5/H2AC12/H4C11/BCL7A/TAF6L/KMT2A/CCND1,27,Reactome
REACTOME_ESR_MEDIATED_SIGNALING,REACTOME_ESR_MEDIATED_SIGNALING,22/341,165/8748,0.13333333333333333,3.420527859237537,6.321479449724234,3.9072632328735763e-7,5.710615494199842e-6,5.258195540919744e-6,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC15/H2BC5/H2BC21/H4C8/H2AC20/H2BC11/H4C16/H2AC8/H2BC12/H3C10/H2AC19/H4C5/H4C11/GNG10/CCND1,22,Reactome
