category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,hsa04071,Sphingolipid signaling pathway,4/159,102/5123,0.0392156862745098,1.2635343445554323,0.48111030556281725,0.3907135102198718,0.9988044984545578,0.9988044984545578,5170/253782/2534/165679,4
Organismal Systems,Development and regeneration,hsa04360,Axon guidance,5/159,133/5123,0.03759398496240601,1.2112829242918617,0.4418169870103451,0.39674888914874673,0.9988044984545578,0.9988044984545578,5336/64218/5170/2534/6092,5
Human Diseases,Cardiovascular disease,hsa05416,Viral myocarditis,2/159,44/5123,0.045454545454545456,1.464551172098342,0.5538258909305751,0.39874827960482384,0.9988044984545578,0.9988044984545578,6645/2534,2
Human Diseases,Cancer: specific types,hsa05225,Hepatocellular carcinoma,5/159,134/5123,0.03731343283582089,1.2022434994837132,0.42454397455489884,0.4029764347798561,0.9988044984545578,0.9988044984545578,5336/399694/653689/8325/1452,5
Human Diseases,Drug resistance: antineoplastic,hsa01522,Endocrine resistance,3/159,74/5123,0.04054054054054054,1.306221315655278,0.4748441100527323,0.40483645287571446,0.9988044984545578,0.9988044984545578,399694/4855/2099,3
Organismal Systems,Circulatory system,hsa04260,Cardiac muscle contraction,2/159,45/5123,0.044444444444444446,1.4320055904961566,0.520896858697543,0.4097286772414367,0.9988044984545578,0.9988044984545578,482/7168,2
Metabolism,Lipid metabolism,hsa00140,Steroid hormone biosynthesis,1/159,17/5123,0.058823529411764705,1.8953015168331484,0.6616919308118457,0.41540379278479933,0.9988044984545578,0.9988044984545578,79644,1
Human Diseases,Endocrine and metabolic disease,hsa04940,Type I diabetes mellitus,1/159,17/5123,0.058823529411764705,1.8953015168331484,0.6616919308118457,0.41540379278479933,0.9988044984545578,0.9988044984545578,1363,1
Organismal Systems,Excretory system,hsa04966,Collecting duct acid secretion,1/159,17/5123,0.058823529411764705,1.8953015168331484,0.6616919308118457,0.41540379278479933,0.9988044984545578,0.9988044984545578,527,1
Organismal Systems,Environmental adaptation,hsa04713,Circadian entrainment,2/159,46/5123,0.043478260869565216,1.4008750341810225,0.48875004109323644,0.42061142525711814,0.9988044984545578,0.9988044984545578,2790/2787,2
Human Diseases,Cancer: specific types,hsa05217,Basal cell carcinoma,2/159,46/5123,0.043478260869565216,1.4008750341810225,0.48875004109323644,0.42061142525711814,0.9988044984545578,0.9988044984545578,2737/8325,2
Metabolism,Glycan biosynthesis and metabolism,hsa00515,Mannose type O-glycan biosynthesis,1/159,18/5123,0.05555555555555555,1.7900069881201954,0.6008578992842952,0.4336080225041915,0.9988044984545578,0.9988044984545578,84197,1
Human Diseases,Infectious disease: parasitic,hsa05145,Toxoplasmosis,3/159,79/5123,0.0379746835443038,1.2235490804872224,0.3583450067928271,0.44648584054108476,0.9988044984545578,0.9988044984545578,3717/3918/5170,3
Organismal Systems,Immune system,hsa04672,Intestinal immune network for IgA production,1/159,19/5123,0.05263157894736842,1.695796094008606,0.543758322172648,0.4512488304222786,0.9988044984545578,0.9988044984545578,2826,1
Metabolism,Glycan biosynthesis and metabolism,hsa00532,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,1/159,20/5123,0.05,1.6110062893081762,0.48994841505161796,0.4683435474996408,0.9988044984545578,0.9988044984545578,79586,1
Metabolism,Xenobiotics biodegradation and metabolism,hsa00982,Drug metabolism - cytochrome P450,1/159,20/5123,0.05,1.6110062893081762,0.48994841505161796,0.4683435474996408,0.9988044984545578,0.9988044984545578,653689,1
Organismal Systems,Nervous system,hsa04728,Dopaminergic synapse,3/159,82/5123,0.036585365853658534,1.1787850897376897,0.2920668973235263,0.47092778430230753,0.9988044984545578,0.9988044984545578,84152/2790/2787,3
Environmental Information Processing,Signal transduction,hsa04330,Notch signaling pathway,2/159,51/5123,0.0392156862745098,1.2635343445554323,0.33848166619767595,0.4734146231028761,0.9988044984545578,0.9988044984545578,4855/5664,2
Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,3/159,83/5123,0.03614457831325301,1.16458285974085,0.27052714236483766,0.4789692612453198,0.9988044984545578,0.9988044984545578,5336/5230/1977,3
Organismal Systems,Endocrine system,hsa04915,Estrogen signaling pathway,3/159,83/5123,0.03614457831325301,1.16458285974085,0.27052714236483766,0.4789692612453198,0.9988044984545578,0.9988044984545578,399694/3880/2099,3
Metabolism,Carbohydrate metabolism,hsa00052,Galactose metabolism,1/159,21/5123,0.047619047619047616,1.5342917041030248,0.43905640192730544,0.4849089748850135,0.9988044984545578,0.9988044984545578,2584,1
Genetic Information Processing,Translation,hsa00970,Aminoacyl-tRNA biosynthesis,1/159,21/5123,0.047619047619047616,1.5342917041030248,0.43905640192730544,0.4849089748850135,0.9988044984545578,0.9988044984545578,57176,1
Organismal Systems,Digestive system,hsa04973,Carbohydrate digestion and absorption,1/159,21/5123,0.047619047619047616,1.5342917041030248,0.43905640192730544,0.4849089748850135,0.9988044984545578,0.9988044984545578,482,1
Organismal Systems,Endocrine system,hsa04926,Relaxin signaling pathway,3/159,84/5123,0.03571428571428571,1.1507187780772685,0.2492512191159864,0.4869542445672458,0.9988044984545578,0.9988044984545578,399694/2790/2787,3
Metabolism,Global and overview maps,hsa01230,Biosynthesis of amino acids,2/159,53/5123,0.03773584905660377,1.2158538032514536,0.28268067722189516,0.49372079720650563,0.9988044984545578,0.9988044984545578,5230/1491,2
Genetic Information Processing,Information processing in viruses,hsa03250,Viral life cycle - HIV-1,2/159,53/5123,0.03773584905660377,1.2158538032514536,0.28268067722189516,0.49372079720650563,0.9988044984545578,0.9988044984545578,6827/128866,2
Organismal Systems,Endocrine system,hsa04935,"Growth hormone synthesis, secretion and action",3/159,85/5123,0.03529411764705882,1.137180910099889,0.22823199362014354,0.4948807509373655,0.9988044984545578,0.9988044984545578,5336/399694/3717,3
Metabolism,Amino acid metabolism,hsa00260,"Glycine, serine and threonine metabolism",1/159,22/5123,0.045454545454545456,1.464551172098342,0.39076863840328013,0.5009614000110981,0.9988044984545578,0.9988044984545578,1491,1
Human Diseases,Cancer: overview,hsa05204,Chemical carcinogenesis - DNA adducts,1/159,22/5123,0.045454545454545456,1.464551172098342,0.39076863840328013,0.5009614000110981,0.9988044984545578,0.9988044984545578,653689,1
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,1/159,22/5123,0.045454545454545456,1.464551172098342,0.39076863840328013,0.5009614000110981,0.9988044984545578,0.9988044984545578,717,1
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,4/159,118/5123,0.03389830508474576,1.092207653768255,0.18134617387180527,0.5017183452632795,0.9988044984545578,0.9988044984545578,623/2246/5336/490,4
Organismal Systems,Endocrine system,hsa04925,Aldosterone synthesis and secretion,2/159,54/5123,0.037037037037037035,1.1933379920801304,0.25559679336945895,0.5036883589960977,0.9988044984545578,0.9988044984545578,490/482,2
Environmental Information Processing,Signal transduction,hsa04390,Hippo signaling pathway,4/159,119/5123,0.03361344537815126,1.0830294381903705,0.1640020936655335,0.5083955693538345,0.9988044984545578,0.9988044984545578,2246/374/8325/25937,4
Organismal Systems,Nervous system,hsa04724,Glutamatergic synapse,2/159,55/5123,0.03636363636363636,1.1716409376786734,0.2290268410214145,0.5135294419738938,0.9988044984545578,0.9988044984545578,2790/2787,2
Metabolism,Glycan biosynthesis and metabolism,hsa00512,Mucin type O-glycan biosynthesis,1/159,23/5123,0.043478260869565216,1.4008750341810225,0.34481829709946815,0.5165166122044396,0.9988044984545578,0.9988044984545578,55568,1
Human Diseases,Infectious disease: bacterial,hsa05120,Epithelial cell signaling in Helicobacter pylori infection,2/159,56/5123,0.03571428571428571,1.1507187780772685,0.20294968831585952,0.5232422577450269,0.9988044984545578,0.9988044984545578,5336/527,2
Metabolism,Xenobiotics biodegradation and metabolism,hsa00980,Metabolism of xenobiotics by cytochrome P450,1/159,24/5123,0.041666666666666664,1.3425052410901466,0.30097664669624263,0.5315899178239483,0.9988044984545578,0.9988044984545578,653689,1
Genetic Information Processing,Replication and repair,hsa03420,Nucleotide excision repair,2/159,58/5123,0.034482758620689655,1.1110388202125352,0.15219541651225593,0.542277075402368,0.9988044984545578,0.9988044984545578,548644/1161,2
Metabolism,Carbohydrate metabolism,hsa00051,Fructose and mannose metabolism,1/159,25/5123,0.04,1.288805031446541,0.2590462481557874,0.5461961549422054,0.9988044984545578,0.9988044984545578,57103,1
Cellular Processes,Transport and catabolism,hsa04137,Mitophagy - animal,3/159,92/5123,0.03260869565217391,1.050656275635767,0.08774097864665624,0.5485837085769321,0.9988044984545578,0.9988044984545578,57154/27342/64786,3
Human Diseases,Cancer: specific types,hsa05214,Glioma,2/159,59/5123,0.03389830508474576,1.092207653768255,0.12748191879335,0.5515966050484435,0.9988044984545578,0.9988044984545578,5336/399694,2
Cellular Processes,Cell growth and death,hsa04217,Necroptosis,3/159,93/5123,0.03225806451612903,1.0393588963278555,0.06854927348963771,0.5559830547149519,0.9988044984545578,0.9988044984545578,3717/8743/128866,3
Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,5/159,160/5123,0.03125,1.00687893081761,0.015820174088396744,0.5588524883945177,0.9988044984545578,0.9988044984545578,6385/5336/5170/8325/2099,5
Metabolism,Metabolism of cofactors and vitamins,hsa00670,One carbon pool by folate,1/159,26/5123,0.038461538461538464,1.2392356071601356,0.2188555877264554,0.560349707583278,0.9988044984545578,0.9988044984545578,1491,1
Metabolism,Glycan biosynthesis and metabolism,hsa00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,1/159,27/5123,0.037037037037037035,1.1933379920801304,0.18025480031733748,0.5740645195303566,0.9988044984545578,0.9988044984545578,54965,1
Organismal Systems,Digestive system,hsa04976,Bile secretion,1/159,27/5123,0.037037037037037035,1.1933379920801304,0.18025480031733748,0.5740645195303566,0.9988044984545578,0.9988044984545578,482,1
Environmental Information Processing,Signal transduction,hsa04072,Phospholipase D signaling pathway,3/159,96/5123,0.03125,1.00687893081761,0.012175998289850413,0.5777455798567839,0.9988044984545578,0.9988044984545578,5336/399694/2534,3
Genetic Information Processing,"Folding, sorting and degradation",hsa04120,Ubiquitin mediated proteolysis,4/159,130/5123,0.03076923076923077,0.9913884857281083,-0.01779806881554501,0.5789918441313964,0.9988044984545578,0.9988044984545578,57154/23327/7328/1161,4
Cellular Processes,Cell growth and death,hsa04215,Apoptosis - multiple species,1/159,28/5123,0.03571428571428571,1.1507187780772685,0.1431122299319754,0.5873541077161245,0.9988044984545578,0.9988044984545578,4804,1
Genetic Information Processing,Transcription,hsa03020,RNA polymerase,1/159,29/5123,0.034482758620689655,1.1110388202125352,0.10731163954053054,0.6002315752083984,0.9988044984545578,0.9988044984545578,548644,1
Genetic Information Processing,"Folding, sorting and degradation",hsa03060,Protein export,1/159,29/5123,0.034482758620689655,1.1110388202125352,0.10731163954053054,0.6002315752083984,0.9988044984545578,0.9988044984545578,58477,1
Organismal Systems,Digestive system,hsa04979,Cholesterol metabolism,1/159,29/5123,0.034482758620689655,1.1110388202125352,0.10731163954053054,0.6002315752083984,0.9988044984545578,0.9988044984545578,1593,1
Human Diseases,Substance dependence,hsa05030,Cocaine addiction,1/159,29/5123,0.034482758620689655,1.1110388202125352,0.10731163954053054,0.6002315752083984,0.9988044984545578,0.9988044984545578,84152,1
Metabolism,Lipid metabolism,hsa00071,Fatty acid degradation,1/159,30/5123,0.03333333333333333,1.0740041928721173,0.07274992977430048,0.6127096238031894,0.9988044984545578,0.9988044984545578,2180,1
Organismal Systems,Environmental adaptation,hsa04710,Circadian rhythm,1/159,30/5123,0.03333333333333333,1.0740041928721173,0.07274992977430048,0.6127096238031894,0.9988044984545578,0.9988044984545578,5571,1
Organismal Systems,Endocrine system,hsa04923,Regulation of lipolysis in adipocytes,1/159,30/5123,0.03333333333333333,1.0740041928721173,0.07274992977430048,0.6127096238031894,0.9988044984545578,0.9988044984545578,5742,1
Metabolism,Amino acid metabolism,hsa00330,Arginine and proline metabolism,1/159,31/5123,0.03225806451612903,1.0393588963278555,0.03933525989862684,0.6248005662369793,0.9988044984545578,0.9988044984545578,1152,1
Organismal Systems,Immune system,hsa04670,Leukocyte transendothelial migration,2/159,68/5123,0.029411764705882353,0.9476507584165742,-0.07776903917862214,0.6294204373894758,0.9988044984545578,0.9988044984545578,5336/5010,2
Environmental Information Processing,Signal transduction,hsa04068,FoxO signaling pathway,3/159,104/5123,0.028846153846153848,0.9294267053701016,-0.13012205908367525,0.6324388777257963,0.9988044984545578,0.9988044984545578,5571/8743/5170,3
Metabolism,Carbohydrate metabolism,hsa00520,Amino sugar and nucleotide sugar metabolism,1/159,32/5123,0.03125,1.00687893081761,0.0069854895156070676,0.6365163380296582,0.9988044984545578,0.9988044984545578,2584,1
Metabolism,Global and overview maps,hsa01250,Biosynthesis of nucleotide sugars,1/159,32/5123,0.03125,1.00687893081761,0.0069854895156070676,0.6365163380296582,0.9988044984545578,0.9988044984545578,2584,1
Human Diseases,Cancer: specific types,hsa05216,Thyroid cancer,1/159,33/5123,0.030303030303030304,0.9763674480655613,-0.024373122010411242,0.6478685089692153,0.9988044984545578,0.9988044984545578,7849,1
Organismal Systems,Immune system,hsa04666,Fc gamma R-mediated phagocytosis,2/159,71/5123,0.028169014084507043,0.9076091770750288,-0.140290673969334,0.6529352771444674,0.9988044984545578,0.9988044984545578,5336/4651,2
Human Diseases,Infectious disease: viral,hsa05167,Kaposi sarcoma-associated herpesvirus infection,4/159,143/5123,0.027972027972027972,0.9012622597528258,-0.21430830120993363,0.6545599200809888,0.9988044984545578,0.9988044984545578,5336/3717/2790/2787,4
Cellular Processes,Transport and catabolism,hsa04148,Efferocytosis,3/159,108/5123,0.027777777777777776,0.8950034940600977,-0.19735753801085273,0.6578976680557795,0.9988044984545578,0.9988044984545578,5031/5732/3717,3
