ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,collection
REACTOME_DNA_METHYLATION,REACTOME_DNA_METHYLATION,22/261,26/8171,0.8461538461538461,26.49012673150604,23.645917202437975,6.888802772265079e-30,6.3376985504838726e-27,5.772091586024214e-27,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC21/H2BC5/H4C8/H2BC15/H2AC20/H2BC11/H4C16/H2AC8/H3C6/H2AC19/H3C10/H4C5/H2BC12/H4C1/H3C1,22,Reactome
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,29/261,56/8171,0.5178571428571429,16.21230158730159,20.74854841006623,3.0694327146504533e-29,1.4119390487392085e-26,1.2859307583482953e-26,H3-3B/H3-3A/H2AZ1/H2AJ/H2AZ2/MACROH2A1/H4C3/H2AC6/H2AX/H2BC21/H2BC5/H4C8/H2BC15/H2AC20/MACROH2A2/H2AC25/H2BC11/H4C16/H2AC8/H2BC18/H3C6/H2AC19/C2/H3C10/H4C5/H2BC12/H2AC11/H4C1/H3C1,29,KEGG
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,22/261,29/8171,0.7586206896551724,23.749768793764034,22.29222805715089,6.603276069184382e-28,2.025004661216544e-25,1.8442834214283398e-25,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC21/H2BC5/H4C8/H2BC15/H2AC20/H2BC11/H4C16/H2AC8/H3C6/H2AC19/H3C10/H4C5/H2BC12/H4C1/H3C1,22,Reactome
REACTOME_CHROMATIN_MODIFICATIONS_DURING_THE_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT,REACTOME_CHROMATIN_MODIFICATIONS_DURING_THE_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT,22/261,31/8171,0.7096774193548387,22.21752564577926,21.498413925847125,8.057175453269405e-27,1.4825202834015705e-24,1.3502129812215677e-24,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC21/H2BC5/H4C8/H2BC15/H2AC20/H2BC11/H4C16/H2AC8/H3C6/H2AC19/H3C10/H4C5/H2BC12/H4C1/H3C1,22,Reactome
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION,REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION,22/261,31/8171,0.7096774193548387,22.21752564577926,21.498413925847125,8.057175453269405e-27,1.4825202834015705e-24,1.3502129812215677e-24,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC21/H2BC5/H4C8/H2BC15/H2AC20/H2BC11/H4C16/H2AC8/H3C6/H2AC19/H3C10/H4C5/H2BC12/H4C1/H3C1,22,Reactome
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,22/261,32/8171,0.6875,21.52322796934866,21.128962599403497,2.50592514930704e-26,3.842418562270795e-24,3.499502489207726e-24,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC21/H2BC5/H4C8/H2BC15/H2AC20/H2BC11/H4C16/H2AC8/H3C6/H2AC19/H3C10/H4C5/H2BC12/H4C1/H3C1,22,Reactome
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,22/261,35/8171,0.6285714285714286,19.678379857690203,20.114571984278886,5.265176960593567e-25,6.054953504682602e-23,5.514580079779579e-23,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC21/H2BC5/H4C8/H2BC15/H2AC20/H2BC11/H4C16/H2AC8/H3C6/H2AC19/H3C10/H4C5/H2BC12/H4C1/H3C1,22,Reactome
REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_THE_HUMAN_SILENCING_HUB_HUSH_COMPLEX,REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_THE_HUMAN_SILENCING_HUB_HUSH_COMPLEX,22/261,35/8171,0.6285714285714286,19.678379857690203,20.114571984278886,5.265176960593567e-25,6.054953504682602e-23,5.514580079779579e-23,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC21/H2BC5/H4C8/H2BC15/H2AC20/H2BC11/H4C16/H2AC8/H3C6/H2AC19/H3C10/H4C5/H2BC12/H4C1/H3C1,22,Reactome
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA,REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA,22/261,36/8171,0.6111111111111112,19.131758194976587,19.80411459188176,1.3158902046712976e-24,1.3451322092195487e-22,1.2250860852846234e-22,H3-3B/H3-3A/H2AJ/H2AZ2/H4C3/H2AC6/H2AX/H2BC21/H2BC5/H4C8/H2BC15/H2AC20/H2BC11/H4C16/H2AC8/H3C6/H2AC19/H3C10/H4C5/H2BC12/H4C1/H3C1,22,Reactome
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION,REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION,25/261,55/8171,0.45454545454545453,14.230233368164402,17.882196816206577,1.6997408267370634e-23,1.421601418725544e-21,1.2947308115623949e-21,H3-3B/H3-3A/H2AJ/H2AZ2/POLR1H/POLR1F/H4C3/H2AC6/H2AX/H2BC21/H2BC5/H4C8/H2BC15/H2AC20/POLR1G/H2BC11/H4C16/H2AC8/H3C6/H2AC19/H3C10/H4C5/H2BC12/H4C1/H3C1,25,Reactome
