ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,collection
REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE,REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE,83,-0.88938561001464,-1.7957854348191193,7.668622926565597e-9,5.254931708194926e-7,4.907582864112575e-7,284,"tags=27%, list=2%, signal=26%",H4C14/H4C5/H3C10/H3C1/H3C6/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING,REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING,72,-0.8983488366086968,-1.7951715146719291,7.962017739689282e-9,5.254931708194926e-7,4.907582864112575e-7,668,"tags=38%, list=5%, signal=36%",NOTCH2NLA/H4C11/KAT2B/H4C14/H4C5/ST3GAL6/ELF3/H3C10/H3C1/H3C6/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA,REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA,35,-0.9458962349016443,-1.7914283005227993,1.2493681339606012e-7,4.38374544232234e-6,4.093981655332045e-6,284,"tags=63%, list=2%, signal=62%",H4C14/H4C5/H3C10/H3C1/H3C6/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_CELLULAR_SENESCENCE,REACTOME_CELLULAR_SENESCENCE,150,-0.861600689152266,-1.7846690136425873,5.4998983062695125e-11,2.1779597292827268e-8,2.033997478880023e-8,761,"tags=22%, list=6%, signal=21%",TERF2/RPS6KA1/CCNA1/H4C11/RAD50/H4C14/HMGA1/H4C5/H3C10/H3C1/H1-3/H3C6/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H1-1/H2BC11/H4C8/H1-4/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H1-0/H2AZ2/H1-2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,35,-0.9422011227959282,-1.7844301455925466,2.662993064818209e-7,8.550366921632519e-6,7.985191153110648e-6,284,"tags=63%, list=2%, signal=62%",H4C14/H4C5/H3C10/H3C1/H3C6/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION_BY_MLL3_AND_MLL4_COMPLEXES,REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION_BY_MLL3_AND_MLL4_COMPLEXES,91,-0.8803288871662007,-1.7826838551040338,2.52164464841049e-8,1.198285536924665e-6,1.1190793513366975e-6,622,"tags=30%, list=5%, signal=29%",H4C11/PPARG/PNPLA2/H4C14/LPL/ACSL1/H4C5/H3C10/H3C1/H3C6/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_AMYLOID_FIBER_FORMATION,REACTOME_AMYLOID_FIBER_FORMATION,61,-0.8967411230245607,-1.7814558630779271,3.9361918849697987e-7,1.2305778840379266e-5,1.1492371874676365e-5,622,"tags=39%, list=5%, signal=38%",H4C11/SORL1/H4C14/SAA1/H4C5/H3C10/H3C1/H3C6/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ1/H3-3A/H3-3B,Reactome
REACTOME_GENE_SILENCING_BY_RNA,REACTOME_GENE_SILENCING_BY_RNA,95,-0.8759189805648115,-1.77711066322014,1.9432653055358306e-8,1.0037387752072029e-6,9.373920512744921e-7,622,"tags=31%, list=5%, signal=29%",AGO4/HENMT1/TDRD1/FKBP6/H4C11/NUP42/H4C14/SEH1L/H4C5/H3C10/H3C1/H3C6/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,31,-0.9495211756831018,-1.776324444321824,6.155394676119556e-7,1.8750279167256493e-5,1.7510893356626214e-5,284,"tags=77%, list=2%, signal=76%",ORC3/H4C11/H4C14/H4C5/H3C10/H3C1/H3C6/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION,REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION,34,-0.9370843819276703,-1.77455295486045,6.812118291209933e-7,2.02319913248935e-5,1.88946649445665e-5,438,"tags=50%, list=3%, signal=49%",H4C14/H4C5/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ,Reactome
REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION,REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION,106,-0.8653691855858245,-1.7708780868118952,2.4240452405113544e-8,1.198285536924665e-6,1.1190793513366975e-6,284,"tags=23%, list=2%, signal=22%",H4C11/KAT2B/H4C14/H4C5/H3C10/H3C1/H3C6/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_HCMV_INFECTION,REACTOME_HCMV_INFECTION,112,-0.8621524611553195,-1.7684313644814156,6.364676934791422e-9,5.077905490522157e-7,4.742258007274813e-7,622,"tags=24%, list=5%, signal=23%",H4C11/NUP42/CHMP4B/H4C14/SEH1L/H2AC15/H4C5/H2AC12/DYNC1I1/H3C10/H3C1/H2AC11/H3C6/H2BC12/H2AC19/H2AC8/H2BC18/H4C16/H2AC25/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AC6/H4C3,Reactome
REACTOME_RMTS_METHYLATE_HISTONE_ARGININES,REACTOME_RMTS_METHYLATE_HISTONE_ARGININES,49,-0.8994335827026703,-1.7645294079739309,2.203931950412795e-6,6.187104602365015e-5,5.778139509917354e-5,438,"tags=41%, list=3%, signal=40%",H4C11/H4C14/H2AC15/H4C5/H2AC12/H3C10/H3C1/H2AC11/H3C6/H2AC19/H2AC8/H4C16/H2AC25/H2AC20/H4C8/H2AX/H2AC6/H4C3/H2AZ2/H2AJ,Reactome
REACTOME_DNA_METHYLATION,REACTOME_DNA_METHYLATION,25,-0.9578098847313304,-1.7584048136420922,2.5996464021415172e-6,6.863066501653605e-5,6.409420603174642e-5,284,"tags=88%, list=2%, signal=86%",H4C14/H4C5/H3C10/H3C1/H3C6/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE,REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE,42,-0.9124545505272683,-1.7557956402029722,8.949036009820058e-6,2.2148864124304645e-4,2.0684833233224433e-4,438,"tags=40%, list=3%, signal=39%",H4C14/H4C5/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ,Reactome
REACTOME_EPIGENETIC_REGULATION_BY_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES,REACTOME_EPIGENETIC_REGULATION_BY_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES,122,-0.8531088145680591,-1.754289073787748,1.736951733176989e-8,9.37953935915574e-7,8.759555630471514e-7,622,"tags=23%, list=5%, signal=22%",H4C11/PPARG/PNPLA2/KAT2B/H4C14/LPL/ACSL1/H4C5/H3C10/H3C1/H3C6/H2BC12/H2AC19/H2AC8/H4C16/H2AC20/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H2AC6/H4C3/H2AZ2/H2AJ/H3-3A/H3-3B,Reactome
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT,REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT,70,-0.8718080732039534,-1.7447809638260636,2.2394402180277413e-6,6.187104602365015e-5,5.778139509917354e-5,695,"tags=24%, list=5%, signal=23%",CCNA1/H4C11/RAD50/H4C14/WEE1/SFN/BLM/H4C5/H2BC12/H4C16/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H4C3,Reactome
REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE,REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE,54,-0.8865668971348633,-1.7434660062396155,3.2141379316993133e-6,8.30086057143214e-5,7.752177070963562e-5,622,"tags=24%, list=5%, signal=23%",H4C11/RAD50/H4C14/H4C5/H2BC12/H4C16/H2BC15/H2BC11/H4C8/H2BC21/H2BC5/H2AX/H4C3,Reactome
