gene	rho	pvalue	padj	program
UFC1	0.273113050689728	0.0	0.0	late_up
ATP6V0E1	0.27278317578421585	0.0	0.0	late_up
LPIN2	0.27269604346927956	0.0	0.0	late_up
TMEM243	0.27241581905403517	0.0	0.0	late_up
MLF1	0.2721090747707046	0.0	0.0	late_up
CCT4	0.2718981759200897	0.0	0.0	late_up
RPS29	-0.27188130024606494	0.0	0.0	late_down
NOP53	0.2718803975629756	0.0	0.0	late_up
SIVA1	0.2709808653155628	0.0	0.0	late_up
PITHD1	0.2700886165614255	0.0	0.0	late_up
CDKN1A	0.2693594546084562	0.0	0.0	late_up
PSMB1	0.2684515490348056	0.0	0.0	late_up
BARX1	0.2684006478908667	0.0	0.0	late_up
HSPH1	0.2661259297359047	0.0	0.0	late_up
SMDT1	0.2660511964621805	0.0	0.0	late_up
SOD3	0.2658448262656631	0.0	0.0	late_up
PNN	0.26570687149829086	0.0	0.0	late_up
PEBP1	0.265104706576769	0.0	0.0	late_up
CITED4	0.26452707209465404	0.0	0.0	late_up
NMB	0.2642885130625649	0.0	0.0	late_up
PDCD6	0.2642818735310145	0.0	0.0	late_up
LRRFIP2	0.263989915375794	0.0	0.0	late_up
RBM8A	0.26387489519665436	0.0	0.0	late_up
HSPA1A	0.2637749509410692	0.0	0.0	late_up
TCEAL2	0.2637249561731419	0.0	0.0	late_up
CAMTA1	0.2633556250035827	0.0	0.0	late_up
RPL36AL	0.26311273896418547	0.0	0.0	late_up
ASXL1	0.26309275748256034	0.0	0.0	late_up
PRDX6	0.26306253812554803	0.0	0.0	late_up
PIM3	0.2629226640565845	0.0	0.0	late_up
BOD1	0.26291337660619807	0.0	0.0	late_up
IFT57	0.26260066873846527	0.0	0.0	late_up
CUTA	0.2625092553476477	0.0	0.0	late_up
UQCRFS1	0.2624207067787536	0.0	0.0	late_up
CCNB1IP1	0.2614943008958623	0.0	0.0	late_up
GEM	0.26140569203308056	0.0	0.0	late_up
AL118516.1	0.2609198507212047	0.0	0.0	late_up
CLEC3A	0.2607439339853963	0.0	0.0	late_up
HMGN2	0.2604995715126305	0.0	0.0	late_up
CLIC1	0.2601129845478131	0.0	0.0	late_up
SQSTM1	0.2596163197606615	0.0	0.0	late_up
BUD31	0.2596090314635428	0.0	0.0	late_up
NDRG2	0.2591941613525424	0.0	0.0	late_up
RGS10	0.2589552054537868	0.0	0.0	late_up
TAGLN2	0.2589050109986879	0.0	0.0	late_up
CRTAC1	-0.25876640062051276	0.0	0.0	late_down
RNF7	0.258301799311073	0.0	0.0	late_up
TMEM106C	0.25780286743180153	0.0	0.0	late_up
PPP1R15A	0.25721667992268193	0.0	0.0	late_up
GTF2A2	0.2569391458303972	0.0	0.0	late_up
PCSK1N	0.2567996759066658	0.0	0.0	late_up
HSP90AB1	0.2566241083581648	0.0	0.0	late_up
TUBA1A	0.2564575422901444	0.0	0.0	late_up
UBXN1	0.25608134667814025	0.0	0.0	late_up
CIRBP	0.25577975610496356	0.0	0.0	late_up
TSPAN13	0.2555180555893641	0.0	0.0	late_up
TAX1BP1	0.2553450393648746	0.0	0.0	late_up
MAP1LC3A	0.25523517048166267	0.0	0.0	late_up
TMEM219	0.25506764572601043	0.0	0.0	late_up
ELF1	0.25498672891782037	0.0	0.0	late_up
NUDC	0.254730449205184	0.0	0.0	late_up
CHID1	0.254728401862588	0.0	0.0	late_up
FCGRT	0.25444156444170174	0.0	0.0	late_up
ATP6V0B	0.2541182802361383	0.0	0.0	late_up
MORN2	0.25399292387660266	0.0	0.0	late_up
RTRAF	0.2537789365428901	0.0	0.0	late_up
CDC37L1	0.25300219368074567	0.0	0.0	late_up
EIF1B	0.25247287017613074	0.0	0.0	late_up
MATN3	0.2524625785158191	0.0	0.0	late_up
SNRPB	0.25241556377059027	0.0	0.0	late_up
TAF1D	0.25239405406673016	0.0	0.0	late_up
EIF3H	0.25229971260223927	0.0	0.0	late_up
PLIN2	0.25215849735152024	0.0	0.0	late_up
SLC5A3	0.25204094855662507	0.0	0.0	late_up
UBE2R2	0.25177869396838065	0.0	0.0	late_up
ISCA1	0.25164872716669856	0.0	0.0	late_up
LCN2	0.2515776639096283	0.0	0.0	late_up
SPAG9	0.2514449190891277	0.0	0.0	late_up
DDIT4L	0.2513877002796269	0.0	0.0	late_up
GAS6	0.25118188838726313	0.0	0.0	late_up
BGN	-0.25102839946392014	0.0	0.0	late_down
AC044849.1	0.2509325122412693	0.0	0.0	late_up
SELENOW	0.25051596781565116	0.0	0.0	late_up
SLC25A33	0.25044417287969256	0.0	0.0	late_up
EPC1	0.2503756619454458	0.0	0.0	late_up
EIF3K	0.25026052257905285	0.0	0.0	late_up
GNG5	0.2500100314206723	0.0	0.0	late_up
RAMP1	0.2500010260681638	0.0	0.0	late_up
LRPAP1	0.24907557640143332	0.0	0.0	late_up
RPS3A	0.24887830786043538	0.0	0.0	late_up
CST3	0.24863525706938275	0.0	0.0	late_up
ERP29	0.24862126553263858	0.0	0.0	late_up
ATP1B3	0.24859612436621817	0.0	0.0	late_up
TAF9	0.24830963067663442	0.0	0.0	late_up
ZNF487	0.24818927841956018	0.0	0.0	late_up
HIST1H1C	0.2480644876036406	0.0	0.0	late_up
MPLKIP	0.2480153915518231	0.0	0.0	late_up
CCNI	0.2479867458423526	0.0	0.0	late_up
EZR	0.24756358588346972	0.0	0.0	late_up
LDLR	0.246719143343716	0.0	0.0	late_up
CTNNAL1	0.24663054671876247	0.0	0.0	late_up
TMED9	0.24641558734698044	0.0	0.0	late_up
ARPC5L	0.24630124077952667	0.0	0.0	late_up
PLPP5	0.24604119497588578	0.0	0.0	late_up
SNRPF	0.24592387437254937	0.0	0.0	late_up
TBCB	0.24586538895254637	0.0	0.0	late_up
CHMP4B	0.24579183241362348	0.0	0.0	late_up
UBE2D1	0.24574241886029993	0.0	0.0	late_up
GPX4	0.2456028416439336	0.0	0.0	late_up
HNRNPF	0.24555104457415863	0.0	0.0	late_up
POLR2K	0.2453520721666563	0.0	0.0	late_up
SELENOM	0.2453278218388256	0.0	0.0	late_up
FNDC4	0.24490923079391339	0.0	0.0	late_up
HSPA9	0.24468404240749744	0.0	0.0	late_up
UBE2B	0.24455083946869763	0.0	0.0	late_up
MEG3	0.2445430560475349	0.0	0.0	late_up
EIF1	0.2443299764661767	0.0	0.0	late_up
NPC2	0.24425965524086146	0.0	0.0	late_up
GSTP1	0.2435744203197189	0.0	0.0	late_up
CYCS	0.2434930193028226	0.0	0.0	late_up
RPS7	0.24348524943100497	0.0	0.0	late_up
ORMDL1	0.2434009119419361	0.0	0.0	late_up
CHI3L2	-0.2429088996602455	0.0	0.0	late_down
ATP6V1F	0.2424043987240984	0.0	0.0	late_up
KRT8	0.2423726824470354	0.0	0.0	late_up
CSRP2	0.24226278677925953	0.0	0.0	late_up
CHCHD2	0.2420027826619255	0.0	0.0	late_up
POLR1D	0.24198837982625743	0.0	0.0	late_up
TIFA	0.24195530547834035	0.0	0.0	late_up
LAYN	0.24178200220145613	0.0	0.0	late_up
CNN3	0.24176283473899016	0.0	0.0	late_up
SFN	0.24138228752076263	0.0	0.0	late_up
PNRC2	0.24123344774779057	0.0	0.0	late_up
CCNC	0.2411027004356483	0.0	0.0	late_up
KIF9	0.24107888566607655	0.0	0.0	late_up
SPHK1	0.24107313150932344	0.0	0.0	late_up
PRG4	-0.2410231349290228	0.0	0.0	late_down
MRPS6	0.2403879668776457	0.0	0.0	late_up
RCN3	0.24017885328516686	0.0	0.0	late_up
GNPDA1	0.2401711425745541	0.0	0.0	late_up
CPVL	0.24010419436523744	0.0	0.0	late_up
HIGD1A	0.23995069473885314	0.0	0.0	late_up
TXNRD1	0.23990966011836112	0.0	0.0	late_up
NPM1	0.239591808143561	0.0	0.0	late_up
ZNF326	0.23952364272484697	0.0	0.0	late_up
SF3B5	0.2394276183136305	0.0	0.0	late_up
WBP2	0.2393870443583167	0.0	0.0	late_up
ANKRD37	0.23936974587399723	0.0	0.0	late_up
TXNL1	0.23903818231060472	0.0	0.0	late_up
SCAND1	0.23889125491311938	0.0	0.0	late_up
OCIAD1	0.2387745955087283	0.0	0.0	late_up
RAB21	0.23865890525508973	0.0	0.0	late_up
MMADHC	0.23865137021318183	0.0	0.0	late_up
CLTA	0.23862415037064336	0.0	0.0	late_up
STRAP	0.238452124251133	0.0	0.0	late_up
HNRNPH1	-0.23840099566177583	0.0	0.0	late_down
NEU1	0.23807695836185425	0.0	0.0	late_up
BUD23	0.23793949873623046	0.0	0.0	late_up
BEX5	0.23768454353842322	0.0	0.0	late_up
CLTB	0.23759012261813875	0.0	0.0	late_up
TERF2IP	0.23724844446942844	0.0	0.0	late_up
ATF7IP2	0.2372181097779829	0.0	0.0	late_up
TCEAL6	0.23715736162626344	0.0	0.0	late_up
UBALD2	0.23705935816865067	0.0	0.0	late_up
MAFF	0.23686006830331013	0.0	0.0	late_up
LUC7L3	0.2368303700498375	0.0	0.0	late_up
SRI	0.23680618885564683	0.0	0.0	late_up
PDLIM4	0.2367374829091606	0.0	0.0	late_up
MXD4	0.23652403761562524	0.0	0.0	late_up
RPL22L1	0.2358927091047086	0.0	0.0	late_up
