compartment	embedding	test	rho	pvalue	n	statistic	n_healthy	n_degen	median_healthy	median_degen
AF	scVI_mesenchymal	pseudotime_vs_condition_ordinal	0.3413531938121175	0.0	50000.0					
AF	scVI_mesenchymal	pseudotime_healthy_vs_degenerated		0.0		184217504.0	29338.0	20662.0	0.5076349973678589	0.7968350052833557
AF	scVI_mesenchymal	pseudotime_vs_condition_AF_outer	0.001988616883127276	0.7328873793086363	29456.0					
AF	scVI_mesenchymal	pseudotime_vs_condition_AF_inner	0.26338326212757407	0.0	20544.0					
