gene	rho	pvalue	padj_x	program	cell_type	comparison	log2FC	padj_y
ALCAM	0.3406805982950472	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	2.108792298950416	0.0003488045103165
RGS16	-0.3387762288056552	0.0	0.0	late_down	NP_mature_chondrocyte	mild_vs_severe	1.2818729396100534	0.0246710484319966
CDH19	-0.3377428499780838	0.0	0.0	late_down	NP_fibrocartilaginous	mild_vs_severe	-1.7954682713593355	0.0202742528986271
GREM1	0.33750411717827616	0.0	0.0	late_up	AF_inner	healthy_vs_degenerated_all	-2.8904864349387256	0.0385252414482419
GREM1	0.33750411717827616	0.0	0.0	late_up	AF_inner	healthy_vs_degenerated_severe	-2.873178047156053	0.04472461793823
CRTAC1	-0.33502407870813966	0.0	0.0	late_down	T_cell	mild_vs_severe	4.069300337971953	0.0186875696872154
PLAU	0.33475338302499535	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	2.1867145333303704	0.0322798667592118
PLAU	0.33475338302499535	0.0	0.0	late_up	AF_outer	healthy_vs_degenerated_severe	-1.0125575561857565	0.0475947012864822
EGR3	-0.33455041063676244	0.0	0.0	late_down	AF_inner	healthy_vs_degenerated_all	6.896057093652903	0.0340025578153029
EGR3	-0.33455041063676244	0.0	0.0	late_down	AF_inner	healthy_vs_degenerated_severe	6.913365430881547	0.0337513549454272
NFATC1	-0.3243889796314383	0.0	0.0	late_down	T_cell	mild_vs_severe	1.046080656938632	0.0151214434127779
SRPX	0.32227946007028757	0.0	0.0	late_up	NP_mature_chondrocyte	mild_vs_severe	1.3836315242854331	0.0323736910247459
DPP4	0.3145058654166174	0.0	0.0	late_up	NP_mature_chondrocyte	healthy_vs_degenerated_severe	2.865926325709185	0.0031360201588696
DPP4	0.3145058654166174	0.0	0.0	late_up	AF_outer	healthy_vs_degenerated_all	1.534389560226746	0.0337487553863477
DPP4	0.3145058654166174	0.0	0.0	late_up	AF_outer	healthy_vs_degenerated_severe	1.7503062226645236	0.0003561620876771
ACKR3	-0.3132072792193839	0.0	0.0	late_down	T_cell	mild_vs_severe	2.0283669793566195	0.0496666085234608
IDI1	-0.31167187867721924	0.0	0.0	late_down	NP_fibrocartilaginous	mild_vs_severe	-1.0710212181560217	0.019714779322607
FBLN1	0.3081529857946769	0.0	0.0	late_up	NP_fibrocartilaginous	mild_vs_severe	2.417014487217567	0.0010732817340225
