object	tier	n_cells_metrics	iLISI	batch_ASW	condition_ASW
NP	mesenchymal	30000	2.0164097278331967	-0.0243659857660532	-0.0016965236281976104
NP	non_mesenchymal	30000	1.443705576340344	0.011382944881916046	-0.03613320365548134
AF	mesenchymal	30000	1.0819678736650735	0.0066705308854579926	0.04194522276520729
AF	non_mesenchymal	383	1.0054735868591378	0.2277788370847702	0.2277788370847702
CEP	mesenchymal	30000	1.1295820403075238	0.07852234691381454	0.03707761690020561
CEP	non_mesenchymal	334	1.2612521428161136	0.14436525106430054	0.14436525106430054
all_cells	all_cells	30000	1.230781498335891	0.0753653421998024	-0.010392227210104465
