cell_type,H,p_kruskal,sig
AF fibroblast,8.447634408602156,0.03761201353106717,*
Monocyte/Neutrophil,5.457633414877233,0.1411946822149102,ns
NP: canonical,5.008602150537641,0.17116833517128988,ns
Macrophage,4.004516129032254,0.26097688236329974,ns
T/NK cell,3.809677419354827,0.28276248945336313,ns
NP: MT-high,3.3686021505376402,0.33820806568124223,ns
Pericyte/SMC,2.7378494623655882,0.43383344785018063,ns
NP: degenerative,2.378817204301072,0.49758997385374737,ns
NP: HAPLN1+,2.1927956989247264,0.5333687875652586,ns
NP: stress,1.779032258064504,0.6195083463621132,ns
Erythrocyte,0.733548387096775,0.8652860798292861,ns
Endothelial,0.7249462365591341,0.8673212431561329,ns
