comparison	reason
NK cells | healthy_vs_degenerated_all	Underpowered: 2 ref, 1 test (need >= 3)
Tcm/Naive helper T cells | healthy_vs_degenerated_all	Underpowered: 0 ref, 8 test (need >= 3)
Tem/Trm cytotoxic T cells | healthy_vs_degenerated_all	Underpowered: 1 ref, 7 test (need >= 3)
Tem/Temra cytotoxic T cells | healthy_vs_degenerated_all	Underpowered: 0 ref, 2 test (need >= 3)
Plasma cells | healthy_vs_degenerated_all	Underpowered: 1 ref, 1 test (need >= 3)
Memory B cells | healthy_vs_degenerated_all	No valid samples with >= 50 cells
Mast cells | healthy_vs_degenerated_all	No valid samples with >= 50 cells
DC | healthy_vs_degenerated_all	Underpowered: 0 ref, 1 test (need >= 3)
Macrophages | healthy_vs_degenerated_all	Underpowered: 0 ref, 4 test (need >= 3)
CD16+ NK cells | healthy_vs_degenerated_all	Underpowered: 0 ref, 5 test (need >= 3)
Classical monocytes | healthy_vs_degenerated_all	Underpowered: 0 ref, 1 test (need >= 3)
Small pre-B cells | healthy_vs_degenerated_all	Underpowered: 1 ref, 0 test (need >= 3)
Pericyte_SMC | healthy_vs_degenerated_all	No valid samples with >= 50 cells
Tem/Effector helper T cells | healthy_vs_degenerated_all	Underpowered: 1 ref, 2 test (need >= 3)
Naive B cells | healthy_vs_degenerated_all	Underpowered: 1 ref, 1 test (need >= 3)
Pro-B cells | healthy_vs_degenerated_all	Underpowered: 1 ref, 0 test (need >= 3)
B_cell | healthy_vs_degenerated_all	Underpowered: 1 ref, 0 test (need >= 3)
Neutrophil-myeloid progenitor | healthy_vs_degenerated_all	No valid samples with >= 50 cells
Endothelial cells | healthy_vs_degenerated_mild	Underpowered: 3 ref, 1 test (need >= 3)
NK cells | healthy_vs_degenerated_mild	Underpowered: 2 ref, 0 test (need >= 3)
Tcm/Naive helper T cells | healthy_vs_degenerated_mild	Underpowered: 0 ref, 3 test (need >= 3)
Tem/Trm cytotoxic T cells | healthy_vs_degenerated_mild	Underpowered: 1 ref, 4 test (need >= 3)
Tem/Temra cytotoxic T cells | healthy_vs_degenerated_mild	Underpowered: 0 ref, 1 test (need >= 3)
Plasma cells | healthy_vs_degenerated_mild	Underpowered: 1 ref, 1 test (need >= 3)
Memory B cells | healthy_vs_degenerated_mild	No valid samples with >= 50 cells
Mast cells | healthy_vs_degenerated_mild	No valid samples with >= 50 cells
DC | healthy_vs_degenerated_mild	Underpowered: 0 ref, 1 test (need >= 3)
Macrophages | healthy_vs_degenerated_mild	Underpowered: 0 ref, 1 test (need >= 3)
CD16+ NK cells | healthy_vs_degenerated_mild	Underpowered: 0 ref, 2 test (need >= 3)
Classical monocytes | healthy_vs_degenerated_mild	No valid samples with >= 50 cells
Small pre-B cells | healthy_vs_degenerated_mild	Underpowered: 1 ref, 0 test (need >= 3)
Pericyte_SMC | healthy_vs_degenerated_mild	No valid samples with >= 50 cells
Tem/Effector helper T cells | healthy_vs_degenerated_mild	Underpowered: 1 ref, 1 test (need >= 3)
Naive B cells | healthy_vs_degenerated_mild	Underpowered: 1 ref, 0 test (need >= 3)
Pro-B cells | healthy_vs_degenerated_mild	Underpowered: 1 ref, 0 test (need >= 3)
B_cell | healthy_vs_degenerated_mild	Underpowered: 1 ref, 0 test (need >= 3)
Neutrophil-myeloid progenitor | healthy_vs_degenerated_mild	No valid samples with >= 50 cells
NK cells | healthy_vs_degenerated_severe	Underpowered: 2 ref, 1 test (need >= 3)
Tcm/Naive helper T cells | healthy_vs_degenerated_severe	Underpowered: 0 ref, 4 test (need >= 3)
Tem/Trm cytotoxic T cells | healthy_vs_degenerated_severe	Underpowered: 1 ref, 3 test (need >= 3)
Tem/Temra cytotoxic T cells | healthy_vs_degenerated_severe	Underpowered: 0 ref, 1 test (need >= 3)
Plasma cells | healthy_vs_degenerated_severe	Underpowered: 1 ref, 0 test (need >= 3)
Memory B cells | healthy_vs_degenerated_severe	No valid samples with >= 50 cells
Mast cells | healthy_vs_degenerated_severe	No valid samples with >= 50 cells
DC | healthy_vs_degenerated_severe	No valid samples with >= 50 cells
Macrophages | healthy_vs_degenerated_severe	Underpowered: 0 ref, 3 test (need >= 3)
