source	target	ligand_complex	receptor_complex	lr_means	cellphone_pvals	expr_prod	scaled_weight	lr_logfc	spec_weight	lrscore	specificity_rank	magnitude_rank	condition	is_pain_relevant	pain_categories
unassigned	AF_inner	CXCL8	SDC2	2.2435994	0.0	4.4600983	1.4235536190420917	2.4326223568718324	0.04586712	0.88336295	0.0005601752838328025	0.00035212047559136407	degenerated	True	pain_ligand:CXCL8
unassigned	NP_mature_chondrocyte	CXCL8	SDC2	2.168553	0.0	4.009672	1.3458196048912456	2.507039120115955	0.041234992	0.8777656	0.001095100597530844	0.0006898439765166099	degenerated	True	pain_ligand:CXCL8
unassigned	Fibrochondrocyte_fibroid	PTGS2	CAV1	2.0922072	0.0	4.3527017	0.9585189581258932	1.7258734643790161	0.031629805	0.8821014	0.00555063093526689	0.000754786216855688	degenerated	True	pain_ligand:PTGS2
unassigned	Macrophage_M2	CXCL8	SDC2	2.160797	0.0	3.963122	1.3377869915564762	2.364900481560033	0.04075627	0.8771377	0.0012002302768768659	0.0007592189277995523	degenerated	True	pain_ligand:CXCL8
unassigned	NP_stressed	CXCL8	SDC2	2.1575637	0.0	3.9437144	1.3344378858022068	2.340464666869206	0.04055669	0.8768729	0.0012413052042345124	0.0007906088266663476	degenerated	True	pain_ligand:CXCL8
Fibrochondrocyte_stressed	AF_inner	CXCL8	SDC2	2.0762713	0.0	3.9627292	1.2732356433326582	1.2730963122143395	0.040752232	0.87713236	0.001204749237717103	0.0008694709894995207	degenerated	True	pain_ligand:CXCL8
Fibrochondrocyte_stressed	NP_mature_chondrocyte	CXCL8	SDC2	2.001225	0.0	3.5625327	1.1955016291818121	1.3475130754584626	0.03663666	0.8712795	0.002351089515155823	0.0015634216814488845	degenerated	True	pain_ligand:CXCL8
Fibrochondrocyte_stressed	Macrophage_M2	CXCL8	SDC2	1.9934691	0.0	3.521173	1.1874690158470427	1.20537443690254	0.036211323	0.8706233	0.002501680369649593	0.0017262395322289932	degenerated	True	pain_ligand:CXCL8
Fibrochondrocyte_stressed	NP_stressed	CXCL8	SDC2	1.9902356	0.0	3.5039299	1.1841199100927733	1.180938622211713	0.036034	0.8703466	0.0025792932710811665	0.0018004093542776066	degenerated	True	pain_ligand:CXCL8
AF_outer	AF_outer	TNFSF9	HLA-DPA1	0.12106444	1.0	0.01424729	-0.04585706079889641	-0.17246417593203178	0.0018211603	0.29974547	1.0	0.0024309211678121795	degenerated	True	pain_ligand:TNF
AF_inner	AF_outer	TNFSF9	HLA-DPA1	0.12187876	0.98	0.01441151	-0.044136389721844374	-0.1421920951538059	0.0018421517	0.3009496	1.0	0.002916947816383077	degenerated	True	pain_ligand:TNF
NP_stressed	Fibroblast_like	VEGFA	ITGB1	1.8999046	0.0	3.580664	0.7514514957301148	0.660460007552778	0.020300008	0.871564	0.015267623538825359	0.003269346242329077	degenerated	True	pain_ligand:VEGFA
AF_inner	Fibroblast_like	VEGFA	ITGB1	1.8982459	0.0	3.5737965	0.7498319100483268	0.6923927919444729	0.020261075	0.87145644	0.015267623538825359	0.003315253276654102	degenerated	True	pain_ligand:VEGFA
NP_stressed	Fibrochondrocyte_stressed	VEGFA	CD44	1.8831186	0.0	3.5225947	0.8702779178399964	0.9471669548932198	0.020629808	0.870646	0.015267623538825359	0.0035973226153817152	degenerated	True	pain_ligand:VEGFA
AF_inner	Fibrochondrocyte_stressed	VEGFA	CD44	1.88146	0.0	3.5158389	0.8686583321582084	0.9790997392849147	0.020590242	0.8705378	0.015267623538825359	0.0036454376321964225	degenerated	True	pain_ligand:VEGFA
unassigned	Fibroblast_like	PTGS2	CAV1	1.8720176	0.0	3.500449	0.7513313256567563	1.3483892438844773	0.025436735	0.87029046	0.015267623538825359	0.0038708270503567564	degenerated	True	pain_ligand:PTGS2
NP_stressed	NP_stressed	VEGFA	CD44	1.8479202	0.0	3.40083	0.8357580694624978	0.8349008485562666	0.019916704	0.86865216	0.015267623538825359	0.00456532300699885	degenerated	True	pain_ligand:VEGFA
AF_inner	NP_stressed	VEGFA	CD44	1.8462615	0.0	3.3943076	0.8341384837807098	0.8668336329479615	0.019878505	0.8685426	0.015267623538825359	0.004608568851384694	degenerated	True	pain_ligand:VEGFA
unassigned	NP_fibrocartilaginous	CXCL8	SDC2	1.9956908	0.0	2.9721568	1.1667686478831834	2.1590603805393256	0.030565307	0.8607733	0.006968191474675593	0.004728528576768427	degenerated	True	pain_ligand:CXCL8
