gene	rho	pvalue	padj	program
HSP90AB1	0.3312455806851567	0.0	0.0	late_up
DPP4	-0.33123440765399975	0.0	0.0	late_down
PSMA2	-0.3304434593724956	0.0	0.0	late_down
SPOCK1	-0.329217260302458	0.0	0.0	late_down
COL14A1	-0.32556320485951673	0.0	0.0	late_down
CLGN	-0.32550442281581043	0.0	0.0	late_down
CDKN2A	-0.32516494820205666	0.0	0.0	late_down
ARL4C	-0.3247443820307601	0.0	0.0	late_down
TPM4	-0.3236184680818012	0.0	0.0	late_down
C11orf96	0.3226020555183798	0.0	0.0	late_up
GYPC	-0.32109412878641813	0.0	0.0	late_down
RPS17	-0.3204241465318479	0.0	0.0	late_down
BASP1	-0.3197990981574091	0.0	0.0	late_down
HINT1	-0.31965088781595774	0.0	0.0	late_down
FLNA	-0.3194764413083953	0.0	0.0	late_down
AKR1C1	-0.3194688703560991	0.0	0.0	late_down
PLPP3	-0.3188862307193576	0.0	0.0	late_down
NDUFA4	-0.3187110209169643	0.0	0.0	late_down
MCL1	0.318657262402487	0.0	0.0	late_up
ITM2A	0.31859090803164475	0.0	0.0	late_up
GADD45B	0.3178922900516818	0.0	0.0	late_up
BAX	-0.31716014828507855	0.0	0.0	late_down
CTSA	-0.3162424776199973	0.0	0.0	late_down
KRTCAP2	-0.3161285027550647	0.0	0.0	late_down
BTG1	0.31606791475970974	0.0	0.0	late_up
VAMP5	-0.3153481314282883	0.0	0.0	late_down
CAV1	-0.31513305235884576	0.0	0.0	late_down
NR4A2	0.31481241092494605	0.0	0.0	late_up
PFN1	-0.31454463282176764	0.0	0.0	late_down
EGR1	0.313983860257295	0.0	0.0	late_up
COX16	-0.31327282892287117	0.0	0.0	late_down
TRAPPC1	-0.3132701722508738	0.0	0.0	late_down
MGAT4B	-0.31317268701987444	0.0	0.0	late_down
DRAP1	-0.312088834976726	0.0	0.0	late_down
HNRNPA2B1	0.31149893106376014	0.0	0.0	late_up
KLF2	0.310655820636715	0.0	0.0	late_up
TAF10	-0.309886868609396	0.0	0.0	late_down
LOX	-0.30783820002521495	0.0	0.0	late_down
RTN4	-0.30669489543653644	0.0	0.0	late_down
FMOD	0.3062745362276224	0.0	0.0	late_up
EIF1	0.3061119357555181	0.0	0.0	late_up
IVNS1ABP	0.30610564601024204	0.0	0.0	late_up
EIF5	0.30588763567799443	0.0	0.0	late_up
SULF1	-0.3058424316963478	0.0	0.0	late_down
ADAM12	-0.3056076718822561	0.0	0.0	late_down
ABI3BP	0.3055293231801856	0.0	0.0	late_up
PAM16	-0.30551075623941554	0.0	0.0	late_down
RPL36A	-0.30486323730599535	0.0	0.0	late_down
BAG2	-0.3044965930041643	0.0	0.0	late_down
AKR1C3	-0.3041084021110946	0.0	0.0	late_down
UCHL1	-0.30408425159199326	0.0	0.0	late_down
PDE5A	-0.30396804942019107	0.0	0.0	late_down
CDH11	-0.3024809161270606	0.0	0.0	late_down
NDUFV2	-0.3006658020005318	0.0	0.0	late_down
RHOB	0.2999363967179988	0.0	0.0	late_up
TXN	-0.29964612156376746	0.0	0.0	late_down
PPP1R15A	0.2991287204152998	0.0	0.0	late_up
SRSF5	0.29890650151443104	0.0	0.0	late_up
MGP	0.29812684349670265	0.0	0.0	late_up
RAB13	-0.29790220713087834	0.0	0.0	late_down
PPIA	-0.29762270022875187	0.0	0.0	late_down
CCND1	-0.2972678978070072	0.0	0.0	late_down
FBXO32	-0.2971239884460185	0.0	0.0	late_down
NR4A3	0.29696976041552187	0.0	0.0	late_up
SRP14	-0.29672952156009336	0.0	0.0	late_down
RPS19	-0.29651441193113176	0.0	0.0	late_down
FBXO2	0.29637758777039547	0.0	0.0	late_up
MT1G	0.2960746624001647	0.0	0.0	late_up
ANTXR1	-0.2958550731711614	0.0	0.0	late_down
MYL6	-0.295555786868691	0.0	0.0	late_down
JUNB	0.2954923661580559	0.0	0.0	late_up
APOD	0.29455771404266995	0.0	0.0	late_up
BICC1	-0.29410702100255987	0.0	0.0	late_down
GUK1	-0.292990205457821	0.0	0.0	late_down
RAD50	-0.292547160088059	0.0	0.0	late_down
FXYD6	0.29215162442009607	0.0	0.0	late_up
EFEMP2	-0.2916555972998474	0.0	0.0	late_down
RNH1	-0.29125325396760654	0.0	0.0	late_down
VEGFB	-0.2906627223820807	0.0	0.0	late_down
CP	0.2906594169546961	0.0	0.0	late_up
BLOC1S1	-0.2903906852055696	0.0	0.0	late_down
FBLN1	-0.29029215006346754	0.0	0.0	late_down
ZMAT3	-0.29021581788460193	0.0	0.0	late_down
CD44	-0.28955396496000524	0.0	0.0	late_down
WWP2	0.28924848427895034	0.0	0.0	late_up
PERP	-0.2889409262621749	0.0	0.0	late_down
LAMA4	-0.2879494941955737	0.0	0.0	late_down
TIPARP	0.2879337119826158	0.0	0.0	late_up
OST4	-0.28787655649965754	0.0	0.0	late_down
RPS2	-0.2878400442789503	0.0	0.0	late_down
CAMK2D	-0.28781051260068463	0.0	0.0	late_down
ATP6V0E1	-0.2877201798558866	0.0	0.0	late_down
HSPA1B	0.28669748011907786	0.0	0.0	late_up
HNRNPA1	0.2866620988143044	0.0	0.0	late_up
UQCR11	-0.2866447116296749	0.0	0.0	late_down
CLTA	-0.2861432171024048	0.0	0.0	late_down
GPRC5A	0.2850121741224718	0.0	0.0	late_up
PELI1	0.28485882750956465	0.0	0.0	late_up
NDUFA7	-0.28472012299829097	0.0	0.0	late_down
