Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	cell_type	comparison	library
prerank	Fatty Acid Beta-Oxidation (GO:0006635)	-0.6026286532531305	-1.8240348690298018	0.0	0.03072767169803081	0.585	12/42	11.22%	ECHDC1;DECR1;HADHA;ECHS1;IVD;ETFB;CRAT;HSD17B10;ACAT1;ACAA2;ACADS;ACAA1	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand (GO:0097192)	0.7457936998564125	1.8237626418752964	0.0	0.02713417053512211	0.913	2/12	5.61%	ITGAV;MCL1	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Regulation Of Phosphorylation (GO:0042325)	0.5245117765955385	1.8226706354658535	0.0	0.027354109034457386	0.916	21/64	10.89%	INHBA;THBS1;CDKN1A;FNIP2;EMP2;CCL5;KCTD20;CDKN1B;PTK2;SRPX2;EREG;ANKLE2;CORO1C;CDKN2A;IKBKB;SDCBP;FZD7;FLCN;CDKN1C;SESN2;ILK	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Cellular Response To Growth Factor Stimulus (GO:0071363)	0.4881435316116218	1.8222245085301185	0.0	0.027319377864920925	0.917	42/112	17.68%	CCL2;ERN1;FLT1;CCL5;VEGFA;SLC4A7;SPRY2;LGMN;CD44;ACVR2A;CTNNB1;SOX9;CRKL;SFRP1;APLP2;ZFP36L1;TGFBR1;TMEM100;RAPGEF2;SMAD3;SOX5;GAREM1;KLF4;BMPR2;BMP6;SPHK1;PTPN11;HAS2;ZFP36;CXCL8;EGR3;DUSP3;EGFR;BCAR1;SMAD7;MEF2C;ADAMTS7;SNAI2;LIMS1;ANXA1;SMAD9;PDPK1	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Proton Motive Force-Driven ATP Synthesis (GO:0015986)	-0.5895967912260167	-1.8222206191744583	0.0	0.03027124863435789	0.599	10/42	8.58%	NDUFA11;NDUFS7;NDUFB11;NDUFV1;NDUFS3;NDUFB10;NDUFS6;NDUFS8;NDUFA10;NDUFA7	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Negative Regulation Of Neurogenesis (GO:0050768)	0.7209293655952597	1.8215452692628147	0.0024691358024691358	0.02738215069493041	0.918	4/17	7.48%	TNF;REST;RAPGEF2;DYNLT1	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Negative Regulation Of Neuron Apoptotic Process (GO:0043524)	0.5776032723981359	1.8207592304582219	0.0	0.027476450658626046	0.918	20/43	20.06%	CCL2;PRKCI;LGMN;CLCF1;NTRK2;SIX1;SEMA3E;RASA1;IL6ST;CPEB4;RETREG1;CRLF1;NGF;BCL2;MEF2C;KDM2B;NFATC4;SOD1;SOD2;IL27RA	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776)	-0.5906386227273216	-1.8193095881885881	0.0	0.03057984287416096	0.617	10/41	8.58%	NDUFA11;NDUFS7;NDUFB11;NDUFV1;NDUFS3;NDUFB10;NDUFS6;NDUFS8;NDUFA10;NDUFA7	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Negative Regulation Of Apoptotic Signaling Pathway (GO:2001234)	0.532466176319192	1.8187805223026137	0.0	0.02795410094521109	0.921	22/63	15.08%	TNF;THBS1;ITGAV;SRC;RB1;SLC25A4;CFLAR;SIAH2;NR4A2;PPIF;LGALS3;TGFBR1;DDX3X;HERPUD1;TMBIM6;AKR1B1;TMBIM1;TCF7L2;RIPK1;BCL2;BAK1;HSPA1A	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
prerank	Positive Regulation Of Interleukin-6 Production (GO:0032755)	0.5931821034269603	1.818510884365211	0.004962779156327543	0.027900987523039364	0.922	11/41	5.97%	TNF;ARHGEF2;PLCG2;IL6R;RAB7B;TLR3;SETD4;CD74;EREG;TMEM106A;MAPK13	NP_stressed_degenerative	mild_vs_severe	GO_Biological_Process_2023
