Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	cell_type	comparison	library
prerank	Cellular Response To Hypoxia (GO:0071456)	0.7270904349006629	2.271751475709755	0.0	0.0012524849404968784	0.001	22/67	7.90%	PTGS2;VEGFA;EGLN3;MT3;PMAIP1;NDRG1;PLK3;HILPDA;RORA;TWIST1;MDM2;EGLN1;NDNF;NKX3-1;CPEB2;PGK1;FAM162A;AK4;UBQLN1;SIRT1;HMOX1;HIF1A	AF_inner	healthy_vs_degenerated_all	GO_Biological_Process_2023
prerank	Cellular Response To Decreased Oxygen Levels (GO:0036294)	0.7221454334099344	2.2610604517133517	0.0	0.0018787274107453177	0.002	22/68	7.90%	PTGS2;VEGFA;EGLN3;MT3;PMAIP1;NDRG1;HILPDA;RORA;TWIST1;MDM2;EGLN1;NDNF;NKX3-1;CPEB2;PGK1;FAM162A;CPEB4;AK4;UBQLN1;SIRT1;HMOX1;HIF1A	AF_inner	healthy_vs_degenerated_all	GO_Biological_Process_2023
prerank	Positive Regulation Of Myeloid Leukocyte Differentiation (GO:0002763)	0.7457795321607809	2.0374337591456166	0.0019047619047619048	0.09435386551743152	0.165	5/31	0.43%	TNFSF11;LEF1;LIF;PPP3CA;HLA-DRB1	AF_inner	healthy_vs_degenerated_all	GO_Biological_Process_2023
prerank	Cellular Response To Vascular Endothelial Growth Factor Stimulus (GO:0035924)	0.7608297129987928	2.0255972521065977	0.0	0.08986579448065103	0.203	10/26	11.26%	VEGFA;SPRY2;EGR3;SPHK1;FLT1;MT1G;PGF;ERN1;RELA;MAP2K3	AF_inner	healthy_vs_degenerated_all	GO_Biological_Process_2023
prerank	Regulation Of Transferase Activity (GO:0051338)	-0.8325786460257772	-1.9874993148868967	0.0	1.0	0.558	1/15	0.01%	SPTSSB	AF_inner	healthy_vs_degenerated_all	GO_Biological_Process_2023
prerank	Regulation Of Vascular Endothelial Growth Factor Production (GO:0010574)	0.8184055917140173	1.9804782524945772	0.0	0.13986081835548478	0.377	3/17	1.66%	PTGS2;RORA;CYP1B1	AF_inner	healthy_vs_degenerated_all	GO_Biological_Process_2023
prerank	Positive Regulation Of Vascular Endothelial Growth Factor Production (GO:0010575)	0.8184055917140173	1.9804782524945772	0.0	0.13986081835548478	0.377	3/17	1.66%	PTGS2;RORA;CYP1B1	AF_inner	healthy_vs_degenerated_all	GO_Biological_Process_2023
prerank	Collagen Fibril Organization (GO:0030199)	-0.648953104107748	-1.9693477237843695	0.0	0.7486551285606505	0.619	10/39	5.86%	GREM1;COL14A1;LOXL1;LOXL4;CRTAP;ADAMTS3;SCX;SERPINH1;P3H4;PXDN	AF_inner	healthy_vs_degenerated_all	GO_Biological_Process_2023
prerank	Regulation Of Neuroinflammatory Response (GO:0150077)	0.8647956071754038	1.9687853855276816	0.0	0.14510932667756693	0.436	4/15	2.61%	PTGS2;SPHK1;PLCG2;TNFRSF1B	AF_inner	healthy_vs_degenerated_all	GO_Biological_Process_2023
prerank	Positive Regulation Of Glial Cell Differentiation (GO:0045687)	0.8156248401807693	1.9584123974771663	0.0	0.15217692027037075	0.49	7/17	7.03%	BMP2;MDK;EGR2;SERPINE2;TNFRSF1B;CXCR4;CLCF1	AF_inner	healthy_vs_degenerated_all	GO_Biological_Process_2023
prerank	Ceramide Metabolic Process (GO:0006672)	-0.628078837211343	-1.955562812352524	0.0022935779816513763	0.566719385027755	0.658	6/48	5.61%	SPTSSB;PLPP1;FUT6;ORMDL3;SPTLC3;FUT3	AF_inner	healthy_vs_degenerated_all	GO_Biological_Process_2023
prerank	Regulation Of p38MAPK Cascade (GO:1900744)	0.701592795443673	1.9396817802692914	0.0	0.1803578314315505	0.585	14/36	13.30%	BMP2;VEGFA;DUSP10;SPHK1;PTPN22;RELL1;ZC3H12A;PJA2;SASH1;PER1;SPI1;GADD45G;MAP3K4;CYLD	AF_inner	healthy_vs_degenerated_all	GO_Biological_Process_2023
prerank	Osteoclast Differentiation (GO:0030316)	0.764199783315776	1.9335391638793233	0.0019305019305019305	0.17810335853865614	0.621	4/21	2.22%	TNFSF11;BMP2;OSTM1;TYROBP	AF_inner	healthy_vs_degenerated_all	GO_Biological_Process_2023
prerank	Regulation Of MAP Kinase Activity (GO:0043405)	0.5868086173985414	1.9323361772568937	0.0	0.1654418744129059	0.627	13/98	2.41%	TNFSF11;BMP2;VEGFA;SPRY2;TGFA;FGF1;SPRY4;PDGFA;NTF3;NOD2;FGF18;CD300A;FLT1	AF_inner	healthy_vs_degenerated_all	GO_Biological_Process_2023
