source	target	ligand_complex	receptor_complex	lr_means	cellphone_pvals	expr_prod	scaled_weight	lr_logfc	spec_weight	lrscore	specificity_rank	magnitude_rank	condition	is_pain_relevant	pain_categories
Plasma cells	Tem/Effector helper T cells	VEGFA	CD44	0.9417076	0.59	0.4722842	-0.01910916871541571	-0.197035380659226	0.0016355925	0.7195826	1.0	0.5711308473230323	degenerated	True	pain_ligand:VEGFA
Naive B cells	NP_mature_chondrocyte	VEGFA	CD44	0.6389319	0.99	0.30802366	-0.31758140430045445	-0.6332060257371472	0.001066733	0.6745178	1.0	0.5713554489866285	degenerated	True	pain_ligand:VEGFA
AF_outer	Fibroblasts	ANGPT1	ITGB1	1.037679	0.11	0.3035449	0.31122832422240293	0.3329397292155455	0.010500848	0.6729078	0.33308060275297247	0.5715239832738468	degenerated	True	pain_ligand:ANGPT1
Fibroblasts	DC	VEGFA	ITGB1	0.63885593	1.0	0.39527598	-0.4516202316959753	-1.0860041560693081	0.0018057063	0.70127857	1.0	0.5715239832738468	degenerated	True	pain_ligand:VEGFA
CD16+ NK cells	Endothelial cells	TNF	TRADD	0.26485726	0.0	0.068936706	0.5492474955729203	0.694873575121078	0.004913181	0.49504915	0.125990526970398	0.5721455861528953	degenerated	True	pain_ligand:TNF
DC	AF_mechanical_stress	PTGS2	CAV1	1.0458179	0.4	1.014512	0.02299712029658929	-0.3978983086756158	0.006074189	0.7899598	1.0	0.5725146770286659	degenerated	True	pain_ligand:PTGS2
Fibroblasts	AF_mechanical_stress	ANGPT2	ITGA5_ITGB1	0.7207785	0.0	0.4729567	2.7323463704402102	0.768012531119213	0.02712392	0.7197262	0.005963467576966869	0.572592255336385	degenerated	True	pain_ligand:ANGPT2
AF_inner	Endothelial cells	FGF2	FGFR1	0.72431576	0.81	0.47296226	-0.03469092087947223	-0.04426997572370106	0.015039247	0.71972734	1.0	0.572648451505817	degenerated	True	pain_ligand:FGF2
Endothelial cells	Plasma cells	ADAM10	IL6R	0.6383705	0.0	0.3940968	0.5875778215865053	0.8103191165836983	0.0073516164	0.7009656	0.10350413227990742	0.5727046513519856	degenerated	True	pain_receptor:IL6R
Endothelial cells	Tcm/Naive helper T cells	CXCL2	DPP4	0.26335096	0.02	0.0689646	0.17273636623034766	0.22160311669963578	0.006848918	0.49509978	0.22082595054261828	0.5727350280079192	degenerated	True	pain_ligand:CXCL2
DC	NP_mature_chondrocyte	TNFSF13B	TFRC	0.6381327	0.0	0.36741945	0.7141036708892776	0.5305655108819831	0.012459271	0.69356805	0.02487839400740465	0.5733800483078647	degenerated	True	pain_ligand:TNF
Tem/Trm cytotoxic T cells	Fibroblasts	TNF	VSIR	0.64833456	0.01	0.30284572	0.9492078109023161	0.7671342635611692	0.0060455385	0.67265403	0.22110095169305907	0.5736616797024767	degenerated	True	pain_ligand:TNF
AF_mechanical_stress	Macrophages	SEMA3E	NRP2	0.6378584	0.01	0.3139772	0.2502482107100064	0.28523289929644524	0.0314296	0.67661566	0.14651383406915183	0.5740559760572019	degenerated	True	pain_receptor:NRP2
AF_outer	Memory B cells	CXCL8	CD79A	1.2082338	0.0	0.47375977	7.811859236318007	0.7729060560584231	0.0035167732	0.7198973	0.013257493028846528	0.5741124460987832	degenerated	True	pain_ligand:CXCL8
NK cells	AF_mechanical_stress	VEGFB	ADRB2	0.63748807	0.0	0.40285572	0.4241608405606484	0.5486184060299036	0.01560947	0.70326436	0.02330046475078638	0.5750708633750198	degenerated	True	pain_ligand:VEGFB
Mast cells	Classical monocytes	VEGFA	CD44	0.6374837	0.95	0.40438232	-0.3203756388140265	0.19151768603104147	0.0014004378	0.7036588	1.0	0.5751273999524072	degenerated	True	pain_ligand:VEGFA
Fibroblasts	Memory B cells	ANGPT2	ITGA5_ITGB1	0.6372988	0.0	0.31658784	2.6166126661942353	0.9168895340048107	0.018156216	0.67752093	0.005963467576966869	0.57552236756938	degenerated	True	pain_ligand:ANGPT2
Tem/Trm cytotoxic T cells	NP_mature_chondrocyte	ADAM10	IL6R	0.26974428	0.4	0.06919089	0.026261971920013904	0.06716096149213358	0.0012907104	0.4955092	1.0	0.5756806899045569	degenerated	True	pain_receptor:IL6R
NP_notochordal	NK cells	VEGFA	ITGAV	0.6372589	0.65	0.40050587	0.00899607850965245	0.10873600203959055	0.0060133506	0.7026535	1.0	0.5756917202418107	degenerated	True	pain_ligand:VEGFA
NP_mature_chondrocyte	NP_stressed_degenerative	GRN	TNFRSF1A	0.6887056	0.92	0.47428212	-0.013536205102990195	0.3711130316893906	0.005419497	0.7200084	1.0	0.5757481190201583	degenerated	True	pain_receptor:TNFRSF1A
DC	NK cells	VEGFA	EGFR	0.637211	0.11	0.32589942	0.25981322302969134	0.17070099254256166	0.023470307	0.68067944	0.33308060275297247	0.5758046999765141	degenerated	True	pain_ligand:VEGFA
Mast cells	AF_outer	VEGFA	NRP2	0.63715273	0.84	0.4039899	-0.09282678152475189	0.2854494025778541	0.005408172	0.70355755	1.0	0.5761435493032595	degenerated	True	pain_ligand:VEGFA; pain_receptor:NRP2
AF_mechanical_stress	AF_inner	FGF2	SDC2	1.0442166	0.0	1.0024226	0.2308063985714831	0.182989957445176	0.026082966	0.78896356	0.277950531561909	0.576416011130932	degenerated	True	pain_ligand:FGF2
Small pre-B cells	Fibroblasts	RTN4	NGFR	0.72180444	0.69	0.47456303	1.481993679216279	0.30702976457286735	0.016663784	0.72006804	0.5654766016469573	0.576764999158989	degenerated	True	pain_receptor:NGFR
AF_mechanical_stress	Macrophages	VEGFA	SIRPA	1.0438313	0.0	0.9920675	0.6103232177591835	0.5917306301149488	0.019237736	0.7880978	0.015311562594632734	0.5771700235046152	degenerated	True	pain_ligand:VEGFA
NP_stressed_degenerative	Memory B cells	VEGFA	CD44	1.0437931	0.31	0.93464124	0.07970141188419981	0.7695059097078265	0.0032368056	0.78307605	1.0	0.5773071038743551	degenerated	True	pain_ligand:VEGFA
AF_inner	AF_mechanical_stress	VEGFA	GPC1	0.83600485	0.0	0.47504947	0.2946046955181204	0.34987230276042436	0.021308236	0.7201712	0.09543357686462803	0.5773870745549192	degenerated	True	pain_ligand:VEGFA
