cell_type	comparison	tf	activity	pvalue	n_targets	n_de_targets	concordant_up	concordant_down	padj
NP_notochordal	mild_vs_severe	FOXO4	0.0	1.0	21	0	0	0	1.0
NP_notochordal	mild_vs_severe	DLX5	0.10526315789473684	2.730047026473535e-05	19	2	2	0	0.006155355847971641
NP_notochordal	mild_vs_severe	ID4	0.0	1.0	9	0	0	0	1.0
NP_notochordal	mild_vs_severe	SPIB	0.0	1.0	9	0	0	0	1.0
NP_notochordal	mild_vs_severe	FOXN1	0.0	1.0	30	0	0	0	1.0
NP_notochordal	mild_vs_severe	TBX5	0.0	1.0	11	0	0	0	1.0
NP_notochordal	mild_vs_severe	TLX1	0.0	1.0	6	0	0	0	1.0
NP_notochordal	mild_vs_severe	HIVEP1	0.0	1.0	8	0	0	0	1.0
NP_notochordal	mild_vs_severe	SMAD2	0.017857142857142856	0.02480826197422642	56	1	1	0	0.22254470300408993
NP_notochordal	mild_vs_severe	NKX3-1	0.0	1.0	51	0	0	0	1.0
NP_notochordal	mild_vs_severe	HAND2	0.05555555555555555	0.008028504502775065	18	1	1	0	0.13236183099169704
NP_notochordal	mild_vs_severe	PAX7	0.0	1.0	9	0	0	0	1.0
NP_notochordal	mild_vs_severe	SFPQ	0.0	1.0	19	0	0	0	1.0
NP_notochordal	mild_vs_severe	BMAL1	0.0	1.0	45	0	0	0	1.0
NP_notochordal	mild_vs_severe	SKIL	0.0	1.0	14	0	0	0	1.0
NP_notochordal	mild_vs_severe	TBXT	0.0	1.0	6	0	0	0	1.0
NP_notochordal	mild_vs_severe	MSX2	0.0	3.3514883231543083e-05	21	2	1	1	0.006155355847971641
NP_notochordal	mild_vs_severe	MZF1	0.0	1.0	14	0	0	0	1.0
NP_notochordal	mild_vs_severe	HOXA5	0.0	1.0	9	0	0	0	1.0
NP_notochordal	mild_vs_severe	HOXB4	0.0	1.0	5	0	0	0	1.0
NP_notochordal	mild_vs_severe	CREB3	0.0	1.0	8	0	0	0	1.0
NP_notochordal	mild_vs_severe	NFE2	0.0	1.0	11	0	0	0	1.0
NP_notochordal	mild_vs_severe	ZNF76	0.0	1.0	6	0	0	0	1.0
NP_notochordal	mild_vs_severe	FOXQ1	0.0	1.0	9	0	0	0	1.0
NP_notochordal	mild_vs_severe	ZGLP1	0.0	1.0	9	0	0	0	1.0
