gene	cell_type	comparison	log2FC	padj	baseMean	direction	pain_categories	significant
ANGPT1	NP_mature_chondrocyte	healthy_vs_degenerated_all	0.5551073378105945	0.9998927233406906	101.97525135234254	UP	Neovascularization	False
ANGPT2	NP_mature_chondrocyte	healthy_vs_degenerated_all	0.2542635093383203	0.9998927233406906	28.674803475195468	UP	Neovascularization	False
BDKRB2	NP_mature_chondrocyte	healthy_vs_degenerated_all	0.6621592290382211	0.9998927233406906	39.0510220895433	UP	Inflammatory_pain	False
CCL2	NP_mature_chondrocyte	healthy_vs_degenerated_all	1.238819766980944	0.9998927233406906	327.4932350438713	UP	Inflammatory_pain	False
CXCL8	NP_mature_chondrocyte	healthy_vs_degenerated_all	-0.1083541412883035	0.9998927233406906	5084.004381952683	DOWN	Inflammatory_pain	False
FGF2	NP_mature_chondrocyte	healthy_vs_degenerated_all	-0.0129672729303191	0.9998927233406906	3738.642699467716	DOWN	Neovascularization	False
FLT1	NP_mature_chondrocyte	healthy_vs_degenerated_all	0.5234305383714516	0.9998927233406906	830.0771701827526	UP	Neovascularization	False
GAL	NP_mature_chondrocyte	healthy_vs_degenerated_all	-0.1234532742605881	0.9998927233406906	16.18443229316149	DOWN	Neuropeptides	False
NGF	NP_mature_chondrocyte	healthy_vs_degenerated_all	1.832185625311801	0.9998927233406906	690.5127270718265	UP	Neuropeptides; Neurotrophin_signaling	False
NGFR	NP_mature_chondrocyte	healthy_vs_degenerated_all	0.3277473748349269	0.9998927233406906	27.292805429432097	UP	Neurotrophin_receptors; Neurotrophin_signaling	False
NRP2	NP_mature_chondrocyte	healthy_vs_degenerated_all	1.146605067467162	0.9998927233406906	2005.118349813587	UP	Nerve_guidance	False
NTN1	NP_mature_chondrocyte	healthy_vs_degenerated_all	0.7132752655972228	0.9998927233406906	83.73133553580871	UP	Nerve_guidance	False
NTN4	NP_mature_chondrocyte	healthy_vs_degenerated_all	0.647897057355542	0.9998927233406906	139.20526629987313	UP	Nerve_guidance	False
NTRK2	NP_mature_chondrocyte	healthy_vs_degenerated_all	-0.7643609660012487	0.9998927233406906	622.9014949305549	DOWN	Neurotrophin_receptors; Neurotrophin_signaling	False
P2RX4	NP_mature_chondrocyte	healthy_vs_degenerated_all	-0.0432273810321509	0.9998927233406906	94.87053449237888	DOWN	Nociception_ion_channels	False
P2RX7	NP_mature_chondrocyte	healthy_vs_degenerated_all	-0.3340749160731927	0.9998927233406906	14.404988628475362	DOWN	Nociception_ion_channels	False
PDGFA	NP_mature_chondrocyte	healthy_vs_degenerated_all	1.645019672404647	0.9998927233406906	357.2929699148334	UP	Neovascularization	False
PDGFB	NP_mature_chondrocyte	healthy_vs_degenerated_all	0.532632547724045	0.9998927233406906	7.282525496402769	UP	Neovascularization	False
PLA2G2A	NP_mature_chondrocyte	healthy_vs_degenerated_all	0.6371300739334778	0.9998927233406906	11544.724923464602	UP	Inflammatory_pain	False
PTGES	NP_mature_chondrocyte	healthy_vs_degenerated_all	3.170955026717855	0.9998927233406906	553.6608811764218	UP	Inflammatory_pain	False
PTGS2	NP_mature_chondrocyte	healthy_vs_degenerated_all	1.782282400733039	0.9998927233406906	6391.148370041071	UP	Inflammatory_pain	False
ROBO1	NP_mature_chondrocyte	healthy_vs_degenerated_all	0.7654683553591056	0.9998927233406906	148.98398503587634	UP	Nerve_guidance	False
ROBO2	NP_mature_chondrocyte	healthy_vs_degenerated_all	-0.96442255284975	0.9998927233406906	41.17159217298709	DOWN	Nerve_guidance	False
SEMA3A	NP_mature_chondrocyte	healthy_vs_degenerated_all	0.7381562151017826	0.9998927233406906	1203.9334235621725	UP	Nerve_guidance	False
SEMA3E	NP_mature_chondrocyte	healthy_vs_degenerated_all	-1.0990794253460432	0.9998927233406906	755.2296067264954	DOWN	Nerve_guidance	False
SLIT3	NP_mature_chondrocyte	healthy_vs_degenerated_all	1.0742354263569316	0.9998927233406906	45.258216625413496	UP	Nerve_guidance	False
TNF	NP_mature_chondrocyte	healthy_vs_degenerated_all	0.5721693561570447	0.9998927233406906	37.627261056699005	UP	Inflammatory_pain	False
TRPV1	NP_mature_chondrocyte	healthy_vs_degenerated_all	0.3924893389350616	0.9998927233406906	30.25924720039332	UP	Nociception_ion_channels	False
TRPV4	NP_mature_chondrocyte	healthy_vs_degenerated_all	0.4543627076737507	0.9998927233406906	756.5444461942117	UP	Nociception_ion_channels	False
UNC5B	NP_mature_chondrocyte	healthy_vs_degenerated_all	0.2478464717366437	0.9998927233406906	401.3260820732731	UP	Nerve_guidance	False
