gene	rho	pvalue	padj	program
GNG10	0.6409898780387554	0.0	0.0	late_up
CHAD	-0.6407770433951103	0.0	0.0	late_down
ANXA11	0.6401856036357468	0.0	0.0	late_up
APPL2	0.6396313394997515	0.0	0.0	late_up
UBE2V1	0.6390358338654564	0.0	0.0	late_up
SRGAP1	0.6385875955644676	0.0	0.0	late_up
CD151	0.6381255834861506	0.0	0.0	late_up
SCFD2	0.6374578265099264	0.0	0.0	late_up
SFRP1	0.6370423455428437	0.0	0.0	late_up
FRMD5	0.6368186959955489	0.0	0.0	late_up
MT-CYB	0.636608129453719	0.0	0.0	late_up
AP2M1	0.6343519595211191	0.0	0.0	late_up
EXOC4	0.6341418931451671	0.0	0.0	late_up
DPYD	0.6330901829193358	0.0	0.0	late_up
NT5E	0.6329443476998355	0.0	0.0	late_up
COL6A2	0.6327596608586135	0.0	0.0	late_up
LHFPL6	0.6321913248307707	0.0	0.0	late_up
AK5	0.6321829494009154	0.0	0.0	late_up
BRI3	0.6320193552415521	0.0	0.0	late_up
ADAM12	0.6318896918023413	0.0	0.0	late_up
VAT1	0.6315766574537617	0.0	0.0	late_up
EIF4A1	0.6315186629584629	0.0	0.0	late_up
VEGFB	0.6312473418240468	0.0	0.0	late_up
PDLIM2	0.630980877030581	0.0	0.0	late_up
CSTB	0.6305885401875558	0.0	0.0	late_up
PDE5A	0.6301835436293064	0.0	0.0	late_up
TRAPPC1	0.6299885889428535	0.0	0.0	late_up
SQSTM1	0.6292020259492958	0.0	0.0	late_up
ANTXR1	0.6289666330301557	0.0	0.0	late_up
TSPAN4	0.6278033002949485	0.0	0.0	late_up
RGCC	-0.6277454408304974	0.0	0.0	late_down
TCF12	0.6276749307173187	0.0	0.0	late_up
PSMA6	0.6275268906510301	0.0	0.0	late_up
P3H2	0.6273541720991449	0.0	0.0	late_up
AKAP12	0.6271500810428601	0.0	0.0	late_up
PVT1	0.6269169976160032	0.0	0.0	late_up
H3F3B	-0.626533915672403	0.0	0.0	late_down
CAPG	0.6262318498479603	0.0	0.0	late_up
SRPK2	0.6255864729991996	0.0	0.0	late_up
COL6A1	0.6252292140435916	0.0	0.0	late_up
RAB32	0.6249255450361076	0.0	0.0	late_up
EFEMP2	0.6231262141468251	0.0	0.0	late_up
EHD2	0.6223776327985704	0.0	0.0	late_up
MAGI2	0.6220545781453998	0.0	0.0	late_up
HSPA1B	-0.62132714705274	0.0	0.0	late_down
MYO10	0.6208786063404756	0.0	0.0	late_up
DCBLD2	0.6205453712228399	0.0	0.0	late_up
CTSK	0.6205056151263573	0.0	0.0	late_up
METRN	0.6193469569383784	0.0	0.0	late_up
PTMA	-0.6188891170253585	0.0	0.0	late_down
CD44	0.6187910303483777	0.0	0.0	late_up
LSAMP	0.6185917138742145	0.0	0.0	late_up
ANXA2	0.6182258958393659	0.0	0.0	late_up
C4orf48	0.6181706748624144	0.0	0.0	late_up
SVIL	0.6177400810596951	0.0	0.0	late_up
PFN1	0.6169849333180771	0.0	0.0	late_up
MACF1	0.6167042259972091	0.0	0.0	late_up
CAMK2N1	0.6165929475176694	0.0	0.0	late_up
TBC1D5	0.616288178649815	0.0	0.0	late_up
MAP4	0.6158960856615955	0.0	0.0	late_up
GDF5	0.6157631381789036	0.0	0.0	late_up
RAD50	0.6139857100575798	0.0	0.0	late_up
ASPH	0.6139843325672989	0.0	0.0	late_up
FHIT	0.613361845072143	0.0	0.0	late_up
CYTL1	-0.61293326200021	0.0	0.0	late_down
S100B	-0.6111337106325906	0.0	0.0	late_down
CDH13	0.6103744857793924	0.0	0.0	late_up
BACE2	0.6103122032908693	0.0	0.0	late_up
CD59	0.6102829575155917	0.0	0.0	late_up
LOXL1	0.6100695766595828	0.0	0.0	late_up
KIF13A	0.6095688417816698	0.0	0.0	late_up
CCDC85B	0.609561397987811	0.0	0.0	late_up
PARD3B	0.6087625119421712	0.0	0.0	late_up
PTK2	0.6079166497835294	0.0	0.0	late_up
GPX4	0.60771941443902	0.0	0.0	late_up
MAP1A	0.6076648333858685	0.0	0.0	late_up
BLOC1S1	0.6060666505579503	0.0	0.0	late_up
HERC4	0.605933853270464	0.0	0.0	late_up
PTPN14	0.6057204680036918	0.0	0.0	late_up
IMMP2L	0.6049081978232744	0.0	0.0	late_up
NDUFS8	0.604123862221795	0.0	0.0	late_up
DRAP1	0.6038658122460719	0.0	0.0	late_up
RPL34	-0.6032177909819724	0.0	0.0	late_down
GTF2I	0.6026129057142724	0.0	0.0	late_up
UROS	0.6021310912422181	0.0	0.0	late_up
CAV1	0.6015339498754713	0.0	0.0	late_up
FAF1	0.6012368791612002	0.0	0.0	late_up
CALD1	0.6011405969356067	0.0	0.0	late_up
MYL9	0.600752989528469	0.0	0.0	late_up
MPG	0.6006671409375743	0.0	0.0	late_up
MRPL14	0.6002220622177532	0.0	0.0	late_up
