comparison	cell_type	mean_prop_ref	mean_prop_test	log2FC_proportion	n_samples_ref	n_samples_test	pvalue	padj
healthy_vs_degenerated_all	NP_mature_chondrocyte	0.5047941104093595	0.3739350846190124	-0.43290623886611834	9	28	0.5125367111795068	0.9867009867009868
healthy_vs_degenerated_all	NP_stressed_degen	0.018002978547837743	0.07763673631390416	2.1084423031246637	7	25	0.10167695825371019	0.9867009867009868
healthy_vs_degenerated_all	AF_outer	0.6014168404901501	0.7868988052567671	0.38781228655607214	5	10	0.5801852548736461	0.9867009867009868
healthy_vs_degenerated_all	AF_mechanical_stress	0.16765686175150327	0.022181308389358605	-2.9180387233823835	6	8	0.22843822843822847	0.9867009867009868
healthy_vs_degenerated_all	EP_hyaline	0.6310116670134995	0.6693159556194154	0.0850205958486132	3	3	0.7	0.9867009867009868
healthy_vs_degenerated_all	Macrophage	0.02553577797185557	0.011478031581234558	-1.1535755732994166	4	16	0.4941176470588236	0.9867009867009868
healthy_vs_degenerated_all	B_cell	0.02107874056775375	0.006790098685973865	-1.6341402092225155	3	12	0.6329670329670329	0.9867009867009868
healthy_vs_degenerated_all	EP_ossification	0.3689883329865005	0.3306840443805846	-0.15812131097791238	3	3	0.7	0.9867009867009868
healthy_vs_degenerated_all	T_cell	0.06088174970834487	0.06658864926635492	0.12926442318326098	3	14	0.6764705882352942	0.9867009867009868
healthy_vs_degenerated_all	unassigned	0.05045588962814476	0.19575561414437295	1.9559378730649262	3	12	0.13626373626373628	0.9867009867009868
healthy_vs_degenerated_mild	NP_fibrocartilaginous	0.37379210799194773	0.35691294678617114	-0.06666369156804351	10	14	0.5386755507626598	0.9867009867009868
healthy_vs_degenerated_all	Pericyte_SMC	0.025994310673419844	0.003733249191296955	-2.79936128836051	3	6	0.38095238095238093	0.9867009867009868
healthy_vs_degenerated_mild	AF_outer	0.6014168404901501	0.9713137285729184	0.6915711734306917	5	4	0.7301587301587302	0.9867009867009868
healthy_vs_degenerated_mild	AF_mechanical_stress	0.16765686175150327	0.0347017845162471	-2.2723968021011336	6	3	0.5476190476190476	0.9867009867009868
healthy_vs_degenerated_mild	NP_stressed_degen	0.018002978547837743	0.04176351779688325	1.2139620302954661	7	12	0.2614114471699611	0.9867009867009868
healthy_vs_degenerated_mild	NP_notochordal	0.10155358929410108	0.02077873673708242	-2.2890061554364705	10	12	0.7168594361961285	0.9867009867009868
healthy_vs_degenerated_severe	NP_stressed_degen	0.018002978547837743	0.11886055410716727	2.722894493384464	7	12	0.0831150273874732	0.9867009867009868
healthy_vs_degenerated_severe	AF_mechanical_stress	0.16765686175150327	0.014669022713225507	-3.5145771252352977	6	5	0.24675324675324672	0.9867009867009868
healthy_vs_degenerated_severe	NP_fibrocartilaginous	0.37379210799194773	0.3736026243885574	-0.0007315179447659277	10	13	0.6418381810738645	0.9867009867009868
healthy_vs_degenerated_severe	NP_mature_chondrocyte	0.5047941104093595	0.2646974900345929	-0.9313479709872122	9	13	0.25628023724432436	0.9867009867009868
healthy_vs_degenerated_mild	Pericyte_SMC	0.025994310673419844	0.00018378685585766845	-7.136245447409642	3	4	0.22857142857142856	0.9867009867009868
healthy_vs_degenerated_mild	Macrophage	0.02553577797185557	0.005211472926089056	-2.2925366184620533	4	7	0.6484848484848484	0.9867009867009868
healthy_vs_degenerated_mild	unassigned	0.05045588962814476	0.2508889375043063	2.313931428968231	3	6	0.16666666666666666	0.9867009867009868
healthy_vs_degenerated_mild	T_cell	0.06088174970834487	0.081516546201475	0.42107710671817394	3	7	0.6666666666666666	0.9867009867009868
mild_vs_severe	NP_notochordal	0.02077873673708242	0.1445706510301157	2.7985354011419874	12	13	0.3411606266705748	0.9867009867009868
mild_vs_severe	NP_stressed_degen	0.04176351779688325	0.11886055410716727	1.5089324630889982	12	12	0.28547630885188247	0.9867009867009868
mild_vs_severe	NP_fibrocartilaginous	0.35691294678617114	0.3736026243885574	0.06593217362327766	14	13	0.4233159874752107	0.9867009867009868
mild_vs_severe	NP_mature_chondrocyte	0.43494623499449486	0.2646974900345929	-0.7164904280367939	14	13	0.4233159874752107	0.9867009867009868
healthy_vs_degenerated_severe	unassigned	0.05045588962814476	0.16754410312052176	1.7314263407123724	3	5	0.25	0.9867009867009868
healthy_vs_degenerated_severe	Macrophage	0.02553577797185557	0.018370969230874404	-0.47507023623564926	4	8	0.3676767676767677	0.9867009867009868
healthy_vs_degenerated_severe	B_cell	0.02107874056775375	0.006116073400082474	-1.7849436190700518	3	5	0.5714285714285714	0.9867009867009868
healthy_vs_degenerated_severe	AF_outer	0.6014168404901501	0.6639555230459995	0.14272110991768355	5	6	0.647328684583698	0.9867009867009868
mild_vs_severe	Pericyte_SMC	0.00018378685585766845	0.010832173862175528	5.873450030441335	4	2	0.13333333333333333	0.9867009867009868
mild_vs_severe	unassigned	0.2508889375043063	0.16754410312052176	-0.5825050882558583	6	5	0.6623376623376623	0.9867009867009868
mild_vs_severe	B_cell	0.008383249053478523	0.006116073400082474	-0.45483998526966524	6	5	0.5367965367965368	0.9867009867009868
mild_vs_severe	Macrophage	0.005211472926089056	0.018370969230874404	1.817466382226404	7	8	0.151981351981352	0.9867009867009868
mild_vs_severe	AF_inner	0.003546577386528334	0.5885843496315751	7.374273667199477	3	5	0.39285714285714285	0.9867009867009868
healthy_vs_degenerated_all	NP_notochordal	0.10155358929410108	0.08189863950564986	-0.31032643035563223	10	26	0.901620124730634	1.0
healthy_vs_degenerated_all	NP_fibrocartilaginous	0.37379210799194773	0.3532391768404461	-0.08159052727086273	10	28	0.9339515744247538	1.0
healthy_vs_degenerated_mild	NP_mature_chondrocyte	0.5047941104093595	0.43494623499449486	-0.2148575429504184	9	14	0.9247190374867695	1.0
healthy_vs_degenerated_severe	AF_inner	0.3311624378400384	0.5885843496315751	0.8297082322520841	6	5	0.9307359307359306	1.0
healthy_vs_degenerated_severe	NP_notochordal	0.10155358929410108	0.1445706510301157	0.5095292457055174	10	13	0.7801848488260388	1.0
healthy_vs_degenerated_mild	AF_inner	0.3311624378400384	0.003546577386528334	-6.544565434947392	6	3	1.0	1.0
healthy_vs_degenerated_mild	B_cell	0.02107874056775375	0.008383249053478523	-1.3301036338003864	3	6	0.9047619047619047	1.0
healthy_vs_degenerated_all	AF_inner	0.3311624378400384	0.36919518503968257	0.1568442448541884	6	8	0.9497169497169498	1.0
healthy_vs_degenerated_severe	Pericyte_SMC	0.025994310673419844	0.010832173862175528	-1.2627954169683075	3	2	1.0	1.0
healthy_vs_degenerated_severe	T_cell	0.06088174970834487	0.05990340260786112	-0.02337148199984816	3	6	0.9047619047619047	1.0
mild_vs_severe	T_cell	0.081516546201475	0.05990340260786112	-0.4444485887180222	7	6	0.9452214452214451	1.0
mild_vs_severe	AF_mechanical_stress	0.0347017845162471	0.014669022713225507	-1.2421803231341642	3	5	1.0	1.0
mild_vs_severe	AF_outer	0.9713137285729184	0.6639555230459995	-0.5488500635130082	4	6	0.9140619587353949	1.0
