source	target	ligand_complex	receptor_complex	lr_means	cellphone_pvals	expr_prod	scaled_weight	lr_logfc	spec_weight	lrscore	specificity_rank	magnitude_rank	condition
Fibroblast_like	NP_fibrocartilaginous	ARPC5	LDLR	0.8432837	0.0	0.39500713	0.0576685946293925	-0.26167578315438034	0.0064965407	0.6926757	1.0	0.628005783303155	degenerated
Macrophage_M2	Fibrochondrocyte_stressed	PLAU	ITGA5	0.7039936	0.01	0.39504093	0.5096065856775924	0.3939927006438163	0.019153923	0.69268477	0.18953406833547534	0.6280914612051808	degenerated
NP_fibrocartilaginous	AF_outer	COL5A1	ITGA10_ITGB1	0.5657097	0.27	0.24477127	-0.008934503830393348	0.01023576804382137	0.0073416485	0.6395401	0.6490693550847351	0.6280914612051808	degenerated
AF_inner	NP_mature_chondrocyte	ANGPTL4	SDC2	0.9243901	0.0	0.6849781	0.1970549466489825	0.3412681485568264	0.015297409	0.7479861	0.0613414122365919	0.6280952112581966	degenerated
Fibroblast_like	Fibrochondrocyte_fibroid	RSPO3	LRP6	0.24153274	0.0	0.055263378	0.3260325903467838	0.2920405898654105	0.05469175	0.45741877	0.042424440766323	0.628141568160582	degenerated
Fibrochondrocyte_stressed	NP_fibrocartilaginous	NAMPT	INSR	1.1396915	0.0	0.39504686	0.5122949483896638	0.42431109014235047	0.008131897	0.6926864	0.19989623255458613	0.6281771468994585	degenerated
NP_mature_chondrocyte	AF_outer	APP	GPC1	0.6646716	0.0	0.3951051	0.12659810299726879	0.18605763554237426	0.011202522	0.69270205	0.15301409473590574	0.6282630295638083	degenerated
EP_hyaline	NP_fibrocartilaginous	CD99	CD99L2	0.68259233	1.0	0.22758333	-0.16473290054733974	-0.1041249803789352	0.008579766	0.631106	1.0	0.6282630295638083	degenerated
AF_inner	Fibrochondrocyte_chondroid	COL6A1	CD44	0.924299	1.0	0.8536965	-0.32078908977612	-0.25896916138145853	0.004158642	0.7681678	1.0	0.6282973752697218	degenerated
NP_stressed	EP_hyaline	CLEC11A	ITGA11	0.5656867	1.0	0.29132578	-0.09708234736430572	-0.08885387466283423	0.00798504	0.65935636	1.0	0.6283487308608567	degenerated
NP_mature_chondrocyte	AF_outer	TGFB1	ITGB1	1.0456834	0.0	0.39512315	0.14648465588947285	0.1449612333344566	0.0062868646	0.69270694	0.8340019523838168	0.6283487308608567	degenerated
AF_outer	AF_inner	ANGPT1	ITGA5	0.23624316	0.92	0.055276316	0.011759241648353139	-0.09838286167986113	0.010882266	0.45744786	1.0	0.6283494545598736	degenerated
Fibroblast_like	NP_notochordal	LRPAP1	SORL1	0.9241568	0.0	0.8472283	0.6019174361443446	0.6541496691453694	0.029524827	0.76748985	0.015267623538825359	0.6283985211246798	degenerated
Fibroblast_like	Fibrochondrocyte_chondroid	EFEMP2	PLSCR4	0.8706063	0.0	0.39519918	0.4189609536115098	0.4381677149824361	0.020183457	0.6927274	0.015267623538825359	0.6284344399512211	degenerated
Fibrochondrocyte_stressed	NP_stressed	LAMB3	CD151	0.6318561	0.0	0.2275348	0.1756851156317501	0.13665101392317178	0.016133761	0.6310812	0.17633813129147136	0.6284344399512211	degenerated
Macrophage_M2	Fibroblast_like	ADAM9	ITGB5	0.9241475	0.0	0.84734	0.6525643085267816	0.5738729001712892	0.02890592	0.76750165	0.015267623538825359	0.6284995608516166	degenerated
AF_outer	Fibroblast_like	SLPI	PLSCR4	0.57811487	0.03	0.2275081	0.01950064788428651	-0.0835848976708885	0.0071450775	0.6310676	0.7398380544666162	0.6285201568352554	degenerated
Macrophage_M2	EP_hyaline	VEGFA	NRP2	0.6426791	0.61	0.39519998	-0.08454859405458338	0.017566668607379543	0.0048521087	0.6927276	1.0	0.6285201568352554	degenerated
NP_stressed	NP_mature_chondrocyte	LRPAP1	LDLR	0.56567013	0.84	0.3199823	0.008631747190348565	0.10150397328019367	0.009141295	0.669813	1.0	0.6285201568352554	degenerated
NP_fibrocartilaginous	NP_mature_chondrocyte	COL18A1	GPC1	0.2353243	0.0	0.055279076	0.05827063866991858	0.05366301582360225	0.008113808	0.457454	0.38904939917857434	0.628557386138854	degenerated
EP_hyaline	Fibrochondrocyte_fibroid	COL11A2	ITGA10_ITGB1	0.5656645	0.01	0.30749682	0.0963305425909804	0.20488987711971884	0.01112447	0.6653969	0.2656303402238959	0.6286060707596366	degenerated
Fibrochondrocyte_chondroid	AF_outer	COL1A1	ITGA11_ITGB1	0.7142609	0.75	0.3952132	0.05291312211544655	0.24101358117638283	0.00899669	0.6927312	1.0	0.6286060707596366	degenerated
Fibrochondrocyte_stressed	AF_outer	GNAI2	EGFR	0.76448303	0.0	0.3952458	0.25036447195533684	0.3349905382648679	0.016620021	0.69273996	0.028430980531519764	0.628691803249281	degenerated
AF_inner	NP_fibrocartilaginous	COL6A2	ITGA1_ITGB1	0.65569943	1.0	0.22750579	-0.057750074574124524	-0.17565708220689602	0.008752268	0.6310664	1.0	0.628691803249281	degenerated
AF_inner	Fibrochondrocyte_fibroid	CALM1	INSR	0.9240153	1.0	0.75526303	-0.03469943166663603	0.04429824722549558	0.00811912	0.7570805	1.0	0.6287017679982018	degenerated
AF_outer	AF_outer	BMP1	BMPR2	0.25595167	0.0	0.055283226	0.057995484081176656	0.042013163440830004	0.008529313	0.45746332	0.3585209324755013	0.6287652482402675	degenerated
Macrophage_M2	Macrophage_M2	PLAU	LRP1	0.70427394	0.5	0.39525783	0.021612194188370293	-0.06157407358867617	0.009634901	0.6927432	0.8803076715103642	0.6287775435336593	degenerated
Fibrochondrocyte_stressed	Macrophage_M2	TGFB1	ITGB5	0.9239899	0.02	0.6785379	0.5873412887921146	0.7416674899222226	0.025813535	0.7470946	0.01849038708660459	0.6288029354283236	degenerated
Macrophage_M2	NP_notochordal	GNAI2	IGF1R	0.9812072	0.01	0.3953162	0.4040534714306702	0.5760243716314033	0.011477067	0.6927589	0.2656303402238959	0.6288634809111079	degenerated
NP_stressed	NP_stressed	TGM2	SDC4	0.9239831	0.0	0.8313241	0.5284583839982666	0.5891706128308368	0.031378426	0.76579475	0.015267623538825359	0.6289039967037992	degenerated
NP_stressed	AF_inner	ADAM17	ITGB1	0.6138781	1.0	0.22744982	-0.1944386267309781	-0.38556179869416823	0.0041950047	0.6310377	1.0	0.6289492368032261	degenerated
Fibrochondrocyte_stressed	EP_hyaline	ADAM9	ITGB5	0.56556463	0.0	0.295446	0.17114198228307606	0.2905839705537992	0.010078762	0.66093177	0.16728503692343677	0.6289492368032261	degenerated
AF_inner	NP_notochordal	CALM1	INSR	0.7786417	1.0	0.39533904	-0.29519968391932516	-0.22982123957869777	0.004249917	0.69276506	1.0	0.6289492368032261	degenerated
NP_fibrocartilaginous	Fibroblast_like	COL8A2	ITGA1_ITGB1	0.23748225	0.0	0.055285733	0.06907017099769193	0.048825689609557354	0.01671712	0.457469	0.34216753344465534	0.6289730981949491	degenerated
Fibrochondrocyte_fibroid	Macrophage_M2	ADAM10	CD44	0.9239435	0.18	0.6597698	0.2735409406127808	0.3276727843705603	0.00986121	0.74443555	0.554541636202436	0.6290051749172415	degenerated
NP_stressed	AF_outer	CXCL8	SDC2	0.65444654	0.91	0.39535928	-0.04874638134759121	-0.6193963175013452	0.004065828	0.69277054	1.0	0.6290350004911422	degenerated
Fibrochondrocyte_fibroid	NP_fibrocartilaginous	LAMA4	ITGAV_ITGB8	0.67184013	0.0	0.22744119	0.8007166859744677	0.9365942010722463	0.042330947	0.63103324	0.001465749521097634	0.6290350004911422	degenerated
Fibrochondrocyte_stressed	AF_outer	ADAM10	NOTCH2	0.56553775	0.0	0.3004294	0.3030006994809927	0.21671007054748653	0.010900783	0.66280353	0.11654670503965604	0.6290350004911422	degenerated
Fibrochondrocyte_chondroid	EP_hyaline	COL6A3	ITGA11_ITGB1	0.69694227	1.0	0.3953715	-0.14273855286566953	0.13486420880540595	0.008228169	0.6927738	1.0	0.6291207719752102	degenerated
NP_stressed	Fibrochondrocyte_chondroid	ITGB3BP	ITGB5	0.56553245	0.0	0.31966847	0.2756368401196777	0.5737170409255745	0.017410066	0.66970444	0.01958623877725254	0.6291207719752102	degenerated
AF_inner	AF_inner	FBN1	ITGA5	0.23628429	1.0	0.05529765	-0.33201862194693527	-0.6685718728855783	0.0017288409	0.45749572	1.0	0.6291809360032539	degenerated
unassigned	AF_inner	HSPA8	ADRB2	0.9355408	1.0	0.3955372	-0.05336982128438219	0.2654329749477615	0.008280989	0.6928184	1.0	0.6292067406226446	degenerated
Macrophage_M2	Macrophage_M2	COL11A1	ITGA10_ITGB1	0.56551766	0.77	0.31926224	-0.21038859534766452	-0.012274168041846445	0.0054123285	0.6695638	1.0	0.6292067406226446	degenerated
Macrophage_M2	AF_outer	GNAI2	UNC5B	0.9328012	0.01	0.22739573	0.36674567958788745	0.39238718845742004	0.009470847	0.63101006	0.2656303402238959	0.629292527717292	degenerated
Macrophage_M2	Fibrochondrocyte_fibroid	ANGPTL2	TIE1	0.6493055	0.0	0.39557698	3.3883837196455993	0.9346071869607313	0.08599074	0.6928291	0.001200303430018123	0.629292527717292	degenerated
NP_fibrocartilaginous	AF_outer	FGF2	CD44	0.92380625	0.34	0.7232023	-0.0034042334011618602	-0.14261865428082232	0.007595665	0.7530696	0.9868992120315795	0.6293086303427206	degenerated
Macrophage_M2	Fibrochondrocyte_stressed	ARPC5	ADRB2	0.59007865	0.71	0.22736093	-0.07472696777854285	-0.11699057897630188	0.006727713	0.63099223	1.0	0.6293783226091552	degenerated
AF_inner	AF_outer	SLPI	PLSCR4	1.0099925	0.0	0.39560202	0.4078269905937852	0.5020477433367256	0.0124242045	0.6928358	0.0631314509317898	0.6293783226091552	degenerated
Macrophage_M2	EP_hyaline	EFEMP2	PLSCR4	0.23565343	0.96	0.055297684	-0.30959256190875234	-0.31926729583080576	0.0028241414	0.4574958	1.0	0.6293887616655369	degenerated
Macrophage_M2	AF_inner	ACTR2	LDLR	1.1021035	0.01	0.5730897	0.40500346927445197	0.6076661730905826	0.009990622	0.7308083	0.2656303402238959	0.6294097185408758	degenerated
Fibrochondrocyte_chondroid	NP_fibrocartilaginous	VEGFA	SIRPA	0.7750995	0.0	0.3956378	0.21777144303132215	0.4447919671310227	0.008236192	0.69284546	0.36911654502812463	0.6294643147171248	degenerated
AF_inner	Fibrochondrocyte_fibroid	COL9A2	ITGA9_ITGB1	0.627959	0.0	0.2273609	0.9902257804553383	0.7709457408972418	0.09763225	0.6309922	0.006540636280924224	0.6294643147171248	degenerated
Fibroblast_like	Fibrochondrocyte_stressed	SPON2	ITGA5	0.9235419	0.0	0.84340906	0.6847843687951787	0.7541728890878276	0.036356166	0.7670865	0.0075937588805159535	0.6295109237031622	degenerated
NP_fibrocartilaginous	NP_fibrocartilaginous	COL6A1	ITGA1_ITGB1	1.0642765	0.0	0.39565206	0.28412419660540517	0.39375423652436947	0.015390995	0.6928493	0.018466815985258685	0.6295501252216971	degenerated
NP_notochordal	AF_outer	CD55	ADGRE5	0.92467046	0.0	0.2273541	0.14572592406123983	0.07670672207014903	0.0052460954	0.63098866	1.0	0.6295501252216971	degenerated
