source	target	ligand_complex	receptor_complex	lr_means	cellphone_pvals	expr_prod	scaled_weight	lr_logfc	spec_weight	lrscore	specificity_rank	magnitude_rank	condition	is_pain_relevant	pain_categories
NP_mature_chondrocyte	NP_mature_chondrocyte	PIGF	FLT1	0.23748377	0.0	0.04912141	0.06631116148263928	0.13626712558312026	0.013109535	0.44153953	0.3675994447485514	0.48264696005063473	degenerated	True	pain_receptor:FLT1
AF_outer	Macrophage	VEGFA	CD44	0.5977305	1.0	0.2937262	-0.3943588929804188	-0.6750947378184242	0.0033188353	0.65909415	1.0	0.4833636675748191	degenerated	True	pain_ligand:VEGFA
AF_inner	AF_inner	FGF2	CD44	0.97221303	0.03	0.87112975	0.0520448893567888	-0.011584956629162146	0.01602716	0.7690281	0.5479800664105262	0.4851285693268228	degenerated	True	pain_ligand:FGF2
NP_mature_chondrocyte	AF_outer	FGF2	FGFR1	0.9720644	0.0	0.9443315	0.242297424259435	0.5270119275496281	0.030161403	0.77611613	0.03196557939997098	0.48538172495751286	degenerated	True	pain_ligand:FGF2
unassigned	T_cell	GRN	TNFRSF1A	0.5967041	1.0	0.31527045	-0.15931668206388577	0.2092211280785251	0.0052379873	0.6670009	1.0	0.48642857223385805	degenerated	True	pain_receptor:TNFRSF1A
EP_hyaline	EP_hyaline	VEGFA	ITGAV	0.59620196	1.0	0.30820784	-0.08794393583000802	-0.14677667356896967	0.0098074395	0.66448003	1.0	0.4875688417716987	degenerated	True	pain_ligand:VEGFA
B_cell	EP_ossification	VEGFA	EGFR	0.5955436	0.06	0.32167983	0.3908100932325801	0.22265026623135198	0.020653492	0.6692322	0.5527870740140701	0.4892078867552192	degenerated	True	pain_ligand:VEGFA
NP_mature_chondrocyte	EP_hyaline	VEGFA	NRP2	0.96945417	0.0	0.8479606	0.21872869653909896	0.4543755643812267	0.025263267	0.7666254	0.04595109233175317	0.4894379693501895	degenerated	True	pain_ligand:VEGFA; pain_receptor:NRP2
NP_mature_chondrocyte	EP_hyaline	NGF	SORCS2	0.22840998	0.0	0.0494395	0.289873343718598	0.4151926500540936	0.03872908	0.4423355	0.022358887538781447	0.4897544938227939	degenerated	True	pain_ligand:NGF
Pericyte_SMC	AF_outer	PDGFA	PDGFRB	0.66725296	0.0	0.33089927	1.0918607282265207	1.0337381744560816	0.07608052	0.6723522	0.0008058796166102456	0.4929968681927446	degenerated	True	pain_ligand:PDGFA
Macrophage	unassigned	GRN	TNFRSF1A	0.9674013	0.0	0.79751873	0.2466286025918331	0.8814867862790196	0.013250187	0.76109433	0.2527135784882513	0.49312456228829604	degenerated	True	pain_receptor:TNFRSF1A
EP_hyaline	AF_outer	FGF2	FGFRL1	0.5945933	0.92	0.33107167	-0.027025468155697785	-0.1361205507087001	0.019502375	0.6724096	1.0	0.49319678601313477	degenerated	True	pain_ligand:FGF2
Pericyte_SMC	unassigned	ADAM10	IL6R	0.6395669	0.0	0.2529394	0.5511295600707894	1.2278279662164477	0.018851	0.64210474	0.040458485341883704	0.4939971589199931	degenerated	True	pain_receptor:IL6R
AF_inner	Pericyte_SMC	ADAM17	IL6R	0.22420597	0.63	0.04972274	-0.02360649200041902	-0.2398231108229399	0.0047752424	0.44304016	1.0	0.4941899015348816	degenerated	True	pain_receptor:IL6R
EP_hyaline	EP_ossification	FGF2	FGFR1	0.96644914	0.01	0.8847588	0.23612875107187778	0.28872754345492757	0.028258685	0.7704039	0.38818642579131674	0.494780432626159	degenerated	True	pain_ligand:FGF2
EP_hyaline	EP_ossification	TNFSF12	TNFRSF12A	0.59983736	0.93	0.2525846	-0.08204128877965436	-0.10979092864405748	0.010829827	0.64194345	1.0	0.4950991857433482	degenerated	True	pain_ligand:TNF
NP_mature_chondrocyte	Macrophage	SEMA3A	NRP2	0.59280664	0.01	0.32368264	0.13002990276607765	0.3125212873164193	0.02015453	0.6699188	0.38818642579131674	0.4957008052790247	degenerated	True	pain_ligand:SEMA3A; pain_receptor:NRP2
Macrophage	NP_mature_chondrocyte	TNFSF10	TNFRSF11B	0.96550494	0.0	0.8232964	0.5940372177425077	0.9333783631492878	0.081665464	0.7639744	0.01047565358614191	0.49822608003890434	degenerated	True	pain_ligand:TNF
AF_inner	EP_hyaline	TNFSF12	TNFRSF12A	0.8105529	0.0	0.25155798	0.07638058831951285	0.07764340512107021	0.010785809	0.64147526	0.5712850503663344	0.49861615304653406	degenerated	True	pain_ligand:TNF
Macrophage	AF_inner	TNFSF10	TNFRSF11B	0.96496177	0.0	0.822606	0.5935276091070835	0.6384360109571698	0.081596985	0.7638988	0.022358887538781447	0.4995043899466812	degenerated	True	pain_ligand:TNF
EP_hyaline	NP_fibrocartilaginous	VEGFA	SIRPA	0.5908817	0.06	0.29955098	0.0418646038569932	-0.004091345077313957	0.014917359	0.6612968	0.5527870740140701	0.4999267686395966	degenerated	True	pain_ligand:VEGFA
EP_ossification	Macrophage	SEMA3E	NRP2	0.5908797	0.01	0.32075614	0.22066393360437372	0.3700068233323985	0.0418749	0.66891384	0.38818642579131674	0.5000276552467131	degenerated	True	pain_receptor:NRP2
AF_outer	NP_mature_chondrocyte	ANGPT1	ITGB1	0.72812474	1.0	0.250967	0.02425068207759329	-0.16546341091420236	0.009938087	0.6412047	1.0	0.5001285554257147	degenerated	True	pain_ligand:ANGPT1
EP_hyaline	AF_outer	VEGFA	SIRPA	0.59035724	0.06	0.29869762	0.0410128230811046	-0.02013988188112459	0.014874863	0.6609772	0.5777805906519144	0.5015429090853522	degenerated	True	pain_ligand:VEGFA
EP_ossification	AF_inner	VEGFA	SIRPA	0.22771189	1.0	0.05014975	-0.3433613311939708	-0.8010257559838327	0.0024974109	0.44409546	1.0	0.5021604635357214	degenerated	True	pain_ligand:VEGFA
EP_ossification	AF_outer	FGF2	CD44	0.9631319	0.33	0.8228514	0.0389423643672349	-0.001976508898257623	0.015138928	0.7639257	0.8854306336536782	0.5023210196212174	degenerated	True	pain_ligand:FGF2
NP_fibrocartilaginous	EP_ossification	VEGFA	EGFR	0.58994603	0.05	0.31297913	0.3853719249956556	0.06336168318113777	0.020094862	0.6661903	0.5347861461252998	0.5023522838152131	degenerated	True	pain_ligand:VEGFA
EP_ossification	NP_fibrocartilaginous	VEGFA	CD44	0.76383126	0.98	0.25006333	-0.22915950534613358	-0.6701116325988365	0.002825485	0.6407897	1.0	0.5029599267439768	degenerated	True	pain_ligand:VEGFA
Macrophage	EP_ossification	VEGFA	CD44	0.9948788	0.59	0.61471915	-0.002620332190268443	-0.20423257536043915	0.0069457586	0.73662865	1.0	0.5029619258721936	degenerated	True	pain_ligand:VEGFA
NP_mature_chondrocyte	EP_hyaline	FGF2	FGFR1	0.96256137	0.0	0.9253996	0.2316079126383561	0.49400895610063444	0.02955673	0.7743518	0.03782374634840922	0.5030901220081813	degenerated	True	pain_ligand:FGF2
Pericyte_SMC	AF_inner	ADAM17	IL6R	0.2244044	0.61	0.050231464	-0.029534247481554563	-0.21937643174961952	0.004824099	0.44429642	1.0	0.5033398480926687	degenerated	True	pain_receptor:IL6R
EP_hyaline	AF_outer	ANGPT1	ITGB1	0.99507713	0.0	0.24992314	0.2314324051970148	0.272384411809273	0.0098967515	0.64072514	0.4402870420949327	0.503365185336633	degenerated	True	pain_ligand:ANGPT1
EP_hyaline	NP_mature_chondrocyte	VEGFA	CD44	0.96228445	1.0	0.90387535	-0.03815370122232921	-0.1246167517350738	0.010212958	0.77228904	1.0	0.5038597538612284	degenerated	True	pain_ligand:VEGFA
unassigned	EP_hyaline	ADAM10	IL6R	0.23016217	1.0	0.050285213	-0.04541899915769068	0.04144694681593203	0.0037476432	0.44442847	1.0	0.5042241428424039	degenerated	True	pain_receptor:IL6R
unassigned	NP_fibrocartilaginous	VEGFA	CD44	0.9620759	0.99	0.78184164	-0.03656130234132349	0.2598177277519045	0.008834089	0.7592848	1.0	0.5042447295273079	degenerated	True	pain_ligand:VEGFA
T_cell	T_cell	GRN	TNFRSF1A	0.58926666	1.0	0.3093986	-0.1671184540894416	-0.041344010127470354	0.0051404303	0.6649097	1.0	0.5042779763655263	degenerated	True	pain_receptor:TNFRSF1A
EP_hyaline	Pericyte_SMC	NGF	MAGED1	0.23651797	1.0	0.050321158	-0.18245533986713625	-0.31184088179152414	0.009942813	0.44451663	1.0	0.5048135566568923	degenerated	True	pain_ligand:NGF
NP_fibrocartilaginous	NP_mature_chondrocyte	FGF2	SDC2	0.96161413	0.0	0.75663215	0.13518382847675414	0.2842269121807577	0.023562547	0.75627685	0.15185864326413281	0.5060425166415039	degenerated	True	pain_ligand:FGF2
T_cell	EP_hyaline	CXCL8	SDC2	0.9602747	0.0	0.8618951	0.20948429197197155	0.13942407550405778	0.018007077	0.76808023	0.17435704820640616	0.5075853619921373	degenerated	True	pain_ligand:CXCL8
T_cell	Macrophage	CXCL8	SDC3	0.70605564	0.0	0.24887234	0.5308370043188855	0.5666725880513689	0.04086066	0.6402401	0.022358887538781447	0.5076343718380215	degenerated	True	pain_ligand:CXCL8
NP_fibrocartilaginous	AF_inner	TNFSF12	TNFRSF12A	0.63889706	1.0	0.33643976	0.0016203682016280307	0.01699863505583088	0.014425203	0.6741786	1.0	0.5094715288761873	degenerated	True	pain_ligand:TNF
EP_hyaline	Macrophage	PDGFC	FLT1	0.6443531	0.0	0.33652288	0.7527111582274066	0.8715098095117555	0.078080915	0.6742057	0.0031136704517479917	0.509675875770238	degenerated	True	pain_receptor:FLT1
B_cell	Macrophage	VEGFA	NRP2	0.58662844	1.0	0.31429976	-0.14405499287778786	-0.24362952077743127	0.009363924	0.66665834	1.0	0.5101869820472067	degenerated	True	pain_ligand:VEGFA; pain_receptor:NRP2
Macrophage	Macrophage	CXCL8	SDC3	0.70377815	0.0	0.24793214	0.5288056829576213	0.5730188274537741	0.04070629	0.639804	0.022358887538781447	0.5104939744928322	degenerated	True	pain_ligand:CXCL8
NP_mature_chondrocyte	NP_fibrocartilaginous	VEGFA	NRP2	0.9586185	0.0	0.8203824	0.2060724278228469	0.37548705838122487	0.024441632	0.76365465	0.05506046008817424	0.5105472454031112	degenerated	True	pain_ligand:VEGFA; pain_receptor:NRP2
EP_ossification	EP_hyaline	VEGFA	CD44	0.7579539	1.0	0.24787173	-0.23496165504994643	-0.6826785884244939	0.0028007217	0.63977593	1.0	0.5109032695308602	degenerated	True	pain_ligand:VEGFA
Pericyte_SMC	NP_fibrocartilaginous	GRN	TNFRSF1A	0.5863035	0.99	0.32793692	-0.14319993213741833	-0.3571038099385142	0.005448431	0.6713609	1.0	0.511108163924306	degenerated	True	pain_receptor:TNFRSF1A
Macrophage	EP_hyaline	CXCL8	SDC2	0.9579972	0.0	0.85863894	0.2074529706107075	0.14577031490646297	0.017939048	0.767743	0.16483887906768935	0.5118369989182989	degenerated	True	pain_ligand:CXCL8
EP_hyaline	NP_fibrocartilaginous	SEMA3C	NRP2_PLXNA3	0.27210265	0.93	0.050632104	-0.019471843091041555	-0.1169895199140025	0.011849036	0.4452773	1.0	0.5118792856205789	degenerated	True	pain_receptor:NRP2
AF_inner	AF_outer	TNFSF12	TNFRSF12A	0.7985342	0.0	0.24737997	0.06473354206562913	0.08142302426055631	0.010606674	0.6395471	0.604892598738337	0.5122353194010388	degenerated	True	pain_ligand:TNF
