source	target	ligand_complex	receptor_complex	lr_means	cellphone_pvals	expr_prod	scaled_weight	lr_logfc	spec_weight	lrscore	specificity_rank	magnitude_rank	condition
Pericyte_SMC	AF_outer	VCAN	EGFR	0.36040375	1.0	0.12953995	-0.07693306356070373	-0.5398183313136339	0.008033727	0.56935656	1.0	1.0	healthy
Pericyte_SMC	AF_outer	TXLNA	STX4	0.36591202	0.0	0.1313255	0.1858656665792971	0.13403932270958951	0.012391612	0.5710341	0.24847982751135853	1.0	healthy
Pericyte_SMC	AF_outer	TNC	ITGA2	0.38326618	0.0	0.085652396	0.4459585193069587	0.43827854292074553	0.036252894	0.5180872	0.042329237591318555	1.0	healthy
Macrophage	NP_mature_chondrocyte	BMP2	GPC1	0.45605725	0.0	0.18755132	0.17443653400022313	0.27697875575356584	0.027317218	0.6140238	0.2030897131173705	1.0	healthy
Macrophage	NP_mature_chondrocyte	BMP2	ACVR1	0.29686916	0.01	0.08786787	0.0901602796879419	0.09624112342645164	0.018491177	0.5212743	0.7101799359645236	1.0	healthy
Macrophage	NP_mature_chondrocyte	BMP2	ACTR2	0.45072162	0.97	0.18421015	-0.027553925578709428	-0.1696228105750336	0.0066603473	0.61189157	1.0	1.0	healthy
Macrophage	NP_mature_chondrocyte	ADM	ADRB2	0.287677	1.0	0.0825805	-0.20796889262456064	-0.4647461377685751	0.008333516	0.5135263	1.0	1.0	healthy
Macrophage	NP_mature_chondrocyte	ADM	ACKR3	0.36311513	1.0	0.12397377	-0.12190248527420114	-0.2503162294558614	0.008924945	0.56396425	1.0	1.0	healthy
Macrophage	NP_mature_chondrocyte	ADAM9	ITGB5	0.39998454	0.05	0.13129549	0.02598638063335694	0.12800416260273467	0.008846636	0.57100606	0.8513685106237788	1.0	healthy
Macrophage	NP_mature_chondrocyte	ADAM9	ITGAV	0.37533638	0.0	0.119927905	0.05589781755521942	0.15461593162529857	0.008118208	0.5598805	0.8260144762836072	1.0	healthy
