source_healthy	target_healthy	ligand_complex_healthy	receptor_complex_healthy	lr_means_healthy	cellphone_pvals_healthy	expr_prod_healthy	scaled_weight_healthy	lr_logfc_healthy	spec_weight_healthy	lrscore_healthy	specificity_rank_healthy	magnitude_rank_healthy	condition_healthy	is_pain_relevant_healthy	pain_categories_healthy	interaction_key	source_degen	target_degen	ligand_complex_degen	receptor_complex_degen	lr_means_degen	cellphone_pvals_degen	expr_prod_degen	scaled_weight_degen	lr_logfc_degen	spec_weight_degen	lrscore_degen	specificity_rank_degen	magnitude_rank_degen	condition_degen	is_pain_relevant_degen	pain_categories_degen	rank_diff
Pericyte_SMC	NP_mature_chondrocyte	TIMP1	CD63	2.2683306	0.65	5.144773	-0.09596418667494454	-0.2288584947936838	0.007345545	0.89268416	1.0	8.684318363231874e-05	healthy	False		Pericyte_SMC|NP_mature_chondrocyte|TIMP1|CD63																	-0.9999131568163677
Pericyte_SMC	Fibrochondrocyte_stressed	VIM	CD44	2.286322	0.0	4.961471	0.39776765538957576	0.35227791345294324	0.010980226	0.890934	0.12284079001161838	8.971078353402494e-05	healthy	False		Pericyte_SMC|Fibrochondrocyte_stressed|VIM|CD44																	-0.999910289216466
AF_outer	Pericyte_SMC	LGALS1	ITGB1	2.2629962	0.0	4.9590564	0.574122477645341	0.6403948027654878	0.011328908	0.8909103	0.10738456312322543	9.11620199140734e-05	healthy	False		AF_outer|Pericyte_SMC|LGALS1|ITGB1																	-0.9999088379800859
AF_inner	Pericyte_SMC	MFGE8	PDGFRB	2.249436	0.0	4.873276	2.5535444812136956	1.9839626047547472	0.088162705	0.8900595	1.0343578301739558e-05	0.00010789228118287012	healthy	False		AF_inner|Pericyte_SMC|MFGE8|PDGFRB																	-0.9998921077188171
Pericyte_SMC	NP_stressed	LGALS1	ITGB1	2.246758	0.0	4.8134255	0.5577748601037229	0.34155907404696495	0.010996216	0.8894534	0.1223330144092331	0.00011761016265824761	healthy	False		Pericyte_SMC|NP_stressed|LGALS1|ITGB1																	-0.9998823898373418
Pericyte_SMC	Pericyte_SMC	TIMP1	CD63	2.221972	0.69	4.936635	-0.15039204202101775	-0.23417940789718195	0.0070483717	0.8906899	1.0	0.00012094233421066912	healthy	False		Pericyte_SMC|Pericyte_SMC|TIMP1|CD63																	-0.9998790576657893
Pericyte_SMC	Fibrochondrocyte_fibroid	LGALS1	ITGB1	2.2423067	0.0	4.7891126	0.5536619693903498	0.3731959445116626	0.010940673	0.8892042	0.12482714989117367	0.00012094233421066912	healthy	False		Pericyte_SMC|Fibrochondrocyte_fibroid|LGALS1|ITGB1																	-0.9998790576657893
NP_stressed	Pericyte_SMC	TIMP1	CD63	2.2217345	0.79	4.935591	-0.15064575050865273	-0.37412255414710827	0.007046881	0.89067966	1.0	0.0001226258395941116	healthy	False		NP_stressed|Pericyte_SMC|TIMP1|CD63																	-0.9998773741604059
Fibroblast_like	Pericyte_SMC	LGALS1	ITGB1	2.195766	0.0	4.708908	0.5147693886510046	0.5576154678058134	0.010757446	0.88836956	0.13406546845235245	0.00015873251665069545	healthy	False		Fibroblast_like|Pericyte_SMC|LGALS1|ITGB1																	-0.9998412674833493
Pericyte_SMC	Fibrochondrocyte_stressed	TIMP3	CD44	2.1994925	0.0	4.653961	1.2924040131663748	1.3469670988790772	0.03259374	0.8877862	0.007256172860097615	0.0001684840599812575	healthy	False		Pericyte_SMC|Fibrochondrocyte_stressed|TIMP3|CD44																	-0.9998315159400187
Pericyte_SMC	Fibrochondrocyte_chondroid	TIMP1	CD63	2.187597	0.81	4.7823	-0.1907494741665617	-0.08390839968709574	0.006828017	0.8891341	1.0	0.00017046914038511122	healthy	False		Pericyte_SMC|Fibrochondrocyte_chondroid|TIMP1|CD63																	-0.9998295308596149
Fibroblast_like	Pericyte_SMC	TIMP1	CD63	2.187499	0.83	4.7850184	-0.1872482003254999	-0.2988586420901078	0.0068318984	0.8891621	1.0	0.0001724658489022642	healthy	False		Fibroblast_like|Pericyte_SMC|TIMP1|CD63																	-0.9998275341510977
NP_stressed	Pericyte_SMC	PDAP1	PDGFRB	2.2039633	0.0	4.6294074	2.952966154688466	2.132663654936951	0.1210817	0.88752246	1.1861666574360727e-06	0.00017447411197884241	healthy	False		NP_stressed|Pericyte_SMC|PDAP1|PDGFRB																	-0.9998255258880212
Pericyte_SMC	Fibrochondrocyte_fibroid	TIMP1	CD63	2.18355	0.81	4.7641296	-0.19550063302778295	-0.3632207701557977	0.006802074	0.88894635	1.0	0.00018885652610885635	healthy	False		Pericyte_SMC|Fibrochondrocyte_fibroid|TIMP1|CD63																	-0.9998111434738911
NP_mature_chondrocyte	Pericyte_SMC	TIMP1	CD63	2.1654096	0.85	4.6878657	-0.210864744695879	-0.3567892185993191	0.006693187	0.8881473	1.0	0.00021038762130979965	healthy	False		NP_mature_chondrocyte|Pericyte_SMC|TIMP1|CD63																	-0.9997896123786902
Pericyte_SMC	Fibroblast_like	VIM	CD44	2.1992507	0.0	4.473544	0.31174238392322706	0.22801862188688737	0.009900396	0.8858017	0.18842165723864698	0.00021260442029736698	healthy	False		Pericyte_SMC|Fibroblast_like|VIM|CD44																	-0.9997873955797026
Pericyte_SMC	NP_stressed	VIM	CD44	2.1863685	0.04	4.4013543	0.2990152998012157	0.145859445387581	0.009740632	0.8849762	0.36791126138072044	0.0002448553678825673	healthy	False		Pericyte_SMC|NP_stressed|VIM|CD44																	-0.9997551446321175
EP_hyaline	Pericyte_SMC	MFGE8	PDGFRB	2.1412127	0.0	4.2928743	2.451328684921282	1.887567745977072	0.077662624	0.88369995	2.7254611950493185e-05	0.00029225180754153824	healthy	False		EP_hyaline|Pericyte_SMC|MFGE8|PDGFRB																	-0.9997077481924584
NP_stressed	Pericyte_SMC	LUM	ITGB1	2.1242735	0.19	4.442901	0.18317624293960805	0.08224808293105101	0.010193472	0.8854535	0.6846265998324024	0.0003054183091876807	healthy	False		NP_stressed|Pericyte_SMC|LUM|ITGB1																	-0.9996945816908123
Pericyte_SMC	AF_outer	VIM	CD44	2.1639771	0.0	4.2758784	0.2768924714727764	0.15144895363584077	0.009462942	0.8834959	0.22457613474049104	0.0003054183091876807	healthy	False		Pericyte_SMC|AF_outer|VIM|CD44																	-0.9996945816908123
Fibrochondrocyte_chondroid	Pericyte_SMC	TIMP1	CD63	2.1233954	0.91	4.5030813	-0.25578440918428735	-0.1892827603073235	0.006429358	0.8861341	1.0	0.0003080862732511212	healthy	False		Fibrochondrocyte_chondroid|Pericyte_SMC|TIMP1|CD63																	-0.9996919137267489
AF_outer	Pericyte_SMC	LUM	ITGB1	2.1115856	0.21	4.395692	0.16961300231799642	0.09664355969005811	0.010085159	0.8849107	0.72127580262689	0.000332618066707572	healthy	False		AF_outer|Pericyte_SMC|LUM|ITGB1																	-0.9996673819332924
Pericyte_SMC	Fibroblast_like	TIMP3	CD44	2.112421	0.0	4.1962757	1.206378741700026	1.2227078073130213	0.029388366	0.8825253	0.013531147129037456	0.0003438214241705728	healthy	False		Pericyte_SMC|Fibroblast_like|TIMP3|CD44																	-0.9996561785758294
Fibroblast_like	Pericyte_SMC	LUM	ITGB1	2.0880141	0.22	4.3079886	0.14441742686109343	0.12645645089777968	0.009883938	0.88388044	0.7376297706362416	0.00038150831215356387	healthy	False		Fibroblast_like|Pericyte_SMC|LUM|ITGB1																	-0.9996184916878464
Pericyte_SMC	NP_stressed	TIMP3	CD44	2.0995388	0.0	4.12856	1.1936516575780147	1.140548630813715	0.028914124	0.88167936	0.013543634859531613	0.000387479408870958	healthy	False		Pericyte_SMC|NP_stressed|TIMP3|CD44																	-0.999612520591129
