names	scores	logfoldchanges	pvals	pvals_adj	cluster
CLU	102.63677	3.297167	0.0	0.0	0
SOD3	102.25454	3.5113459	0.0	0.0	0
MSMP	95.14489	6.732662	0.0	0.0	0
MGP	93.22859	3.6835754	0.0	0.0	0
CHI3L1	75.40146	3.6470196	0.0	0.0	0
CPE	73.983345	2.0708575	0.0	0.0	0
CST3	73.519226	1.6153038	0.0	0.0	0
F13A1	73.44449	2.4258513	0.0	0.0	0
GPX3	67.85654	1.9608752	0.0	0.0	0
S100A13	66.086685	1.4751734	0.0	0.0	0
CYTL1	66.036285	4.846184	0.0	0.0	0
MT1X	64.801476	2.0226042	0.0	0.0	0
SCARA3	64.31377	2.1612983	0.0	0.0	0
ISLR	63.98838	1.6965446	0.0	0.0	0
APOD	58.059425	2.8038385	0.0	0.0	0
AKR1C2	56.70393	2.083514	0.0	0.0	0
MIR22HG	56.586224	1.7326769	0.0	0.0	0
TOB1	55.86322	1.498622	0.0	0.0	0
PLAC9	54.516796	1.3529041	0.0	0.0	0
LTBP3	53.72118	1.3751767	0.0	0.0	0
PAX1	52.63467	1.4239087	0.0	0.0	0
RPS27A	51.60369	0.79681396	0.0	0.0	0
SERPING1	51.27671	1.318747	0.0	0.0	0
ECRG4	50.03932	1.8190702	0.0	0.0	0
CD14	49.334553	1.8917885	0.0	0.0	0
TIMP2	49.26685	1.0781578	0.0	0.0	0
EVA1B	48.557014	1.2924305	0.0	0.0	0
UACA	48.541016	1.5423115	0.0	0.0	0
DANCR	47.52436	1.1767399	0.0	0.0	0
ADIRF	46.594166	1.3382899	0.0	0.0	0
CEBPD	46.10466	1.2382226	0.0	0.0	0
TGFBR3	46.078094	1.5029938	0.0	0.0	0
CHAD	45.779568	1.2848948	0.0	0.0	0
RASD1	45.770065	1.4114664	0.0	0.0	0
ITGA10	45.645336	1.1839283	0.0	0.0	0
YBX3	45.533733	0.90960526	0.0	0.0	0
DUSP6	45.513954	1.7435423	0.0	0.0	0
C12orf57	45.38833	0.8973514	0.0	0.0	0
ATRNL1	45.343884	1.8095108	0.0	0.0	0
SNED1	45.1667	2.5986464	0.0	0.0	0
