names	scores	logfoldchanges	pvals	pvals_adj	cluster
ABI3BP	87.2413	4.367986	0.0	0.0	0
PRELP	84.30555	2.5389543	0.0	0.0	0
FOS	62.0642	1.99776	0.0	0.0	0
COMP	61.852104	1.8737358	0.0	0.0	0
COL2A1	61.287235	2.856772	0.0	0.0	0
WWP2	61.043003	2.432846	0.0	0.0	0
CILP	59.674545	2.7521544	0.0	0.0	0
VCAN	56.732372	2.6605043	0.0	0.0	0
FMOD	52.60471	1.6494622	0.0	0.0	0
ANGPTL5	52.404675	2.5587509	0.0	0.0	0
TXNIP	51.98721	2.3064144	0.0	0.0	0
CYR61	50.625763	2.063033	0.0	0.0	0
COL11A1	49.777996	1.8952616	0.0	0.0	0
COL1A2	49.767715	2.3771102	0.0	0.0	0
FOSB	49.643223	1.7292615	0.0	0.0	0
DDX17	46.88246	1.8237953	0.0	0.0	0
SLC14A1	46.71948	2.0035973	0.0	0.0	0
GPX3	45.18565	1.6598839	0.0	0.0	0
COL6A1	44.346817	1.64961	0.0	0.0	0
IGFBP7	44.342804	1.7586873	0.0	0.0	0
CP	44.299675	1.7737849	0.0	0.0	0
OGN	43.653885	2.1395705	0.0	0.0	0
COL6A2	42.830017	1.5116717	0.0	0.0	0
BCAT1	42.492523	2.1175666	0.0	0.0	0
LPP	42.229874	2.0438628	0.0	0.0	0
INHBA	42.074543	2.2004933	0.0	0.0	0
HBB	42.055103	2.8997605	0.0	0.0	0
LTBP2	41.993427	3.3553092	0.0	0.0	0
CAPS	41.625027	1.6734264	0.0	0.0	0
NNMT	41.500053	1.5607338	0.0	0.0	0
PAX1	41.204754	2.0216198	0.0	0.0	0
TGFBR2	41.048717	1.9861906	0.0	0.0	0
LRP1	40.982697	1.5855237	0.0	0.0	0
COL5A2	40.816624	1.900073	0.0	0.0	0
TPM1	40.17783	1.8271267	0.0	0.0	0
NDUFA4L2	39.63815	1.3833069	0.0	0.0	0
TRPS1	38.654507	1.6628785	0.0	0.0	0
MRC2	38.288784	1.752604	0.0	0.0	0
ENHO	38.24171	1.9882754	0.0	0.0	0
JUN	38.066875	1.2773918	0.0	0.0	0
FHL1	37.935425	1.6631885	0.0	0.0	0
TCF4	37.82271	1.6449676	0.0	0.0	0
DST	37.653294	1.3892269	2.88967802948197e-310	1.2311892713999312e-307	0
DUSP1	37.642155	1.3640994	4.39694778497763e-310	1.8436471855233175e-307	0
TENT5A	37.450443	1.748034	5.907255859593893e-307	2.4382198560473795e-304	0
IER2	36.640965	1.4772016	6.37352979657405e-294	2.5509570167621226e-291	0
IVNS1ABP	36.312763	1.5661654	1.0175816837951948e-288	3.9530055528138037e-286	0
PCOLCE2	35.390236	1.1822561	2.412912893188359e-274	8.977395350206153e-272	0
NKX3-2	35.378006	2.8509698	3.720952520493098e-274	1.3651761358520232e-271	0
RPL13A	35.196205	0.75089574	2.2856787050641127e-271	8.271025845612823e-269	0
SERPINF1	68.467514	7.733772	0.0	0.0	1
FBLN1	68.372444	7.765225	0.0	0.0	1
C1R	65.61222	5.0947156	0.0	0.0	1
SERPING1	65.22976	3.1711633	0.0	0.0	1
GSN	60.384476	3.6750267	0.0	0.0	1
C1S	59.82786	3.4492292	0.0	0.0	1
MMP2	54.709312	6.832709	0.0	0.0	1
MT-ND3	54.22553	2.5316799	0.0	0.0	1
TMSB4X	53.08978	3.0903797	0.0	0.0	1
COL1A2	52.65913	3.3278675	0.0	0.0	1
COL12A1	52.553654	5.892569	0.0	0.0	1
LRP1	52.271297	2.7917867	0.0	0.0	1
COL14A1	51.65146	5.078078	0.0	0.0	1
PDGFRA	50.97475	4.287333	0.0	0.0	1
IGFBP6	50.775486	4.152261	0.0	0.0	1
LTBP4	49.19859	4.6494308	0.0	0.0	1
CFD	48.668694	4.893758	0.0	0.0	1
PLA2G2A	47.73208	5.3301773	0.0	0.0	1
TCF4	47.598335	2.8552945	0.0	0.0	1
GPX3	47.527786	2.543954	0.0	0.0	1
CALD1	47.276093	2.5922072	0.0	0.0	1
COL1A1	47.172913	3.9678123	0.0	0.0	1
CD9	46.76359	2.0281153	0.0	0.0	1
THBS2	45.888645	4.362205	0.0	0.0	1
MXRA8	45.76243	2.9277031	0.0	0.0	1
LHFPL6	45.685326	4.064008	0.0	0.0	1
WISP2	45.631123	7.852779	0.0	0.0	1
ASPN	44.878696	4.469518	0.0	0.0	1
TIMP2	44.865654	1.7814819	0.0	0.0	1
MT-CYB	44.862453	1.7910848	0.0	0.0	1
IGFBP7	44.844723	2.542008	0.0	0.0	1
CYBRD1	44.713646	2.689553	0.0	0.0	1
MT-CO3	44.654667	1.8420758	0.0	0.0	1
GPNMB	44.02183	6.0014677	0.0	0.0	1
PDGFRL	44.019897	3.7373607	0.0	0.0	1
IGFBP5	43.45968	3.8663476	0.0	0.0	1
MT-ND2	43.34003	1.7094873	0.0	0.0	1
MT-CO2	43.170574	1.7323382	0.0	0.0	1
NFIB	42.45509	3.5623372	0.0	0.0	1
COL6A3	42.39269	3.1067266	0.0	0.0	1
PRRX1	42.294746	3.2820013	0.0	0.0	1
MT-ATP6	41.94216	1.6768274	0.0	0.0	1
TXNIP	41.88416	2.5836365	0.0	0.0	1
ITM2B	41.841286	1.1999705	0.0	0.0	1
VIM	41.71982	1.0028111	0.0	0.0	1
DCN	41.450497	1.3491023	0.0	0.0	1
METTL7A	40.993927	4.05784	0.0	0.0	1
EBF1	40.612583	4.548379	0.0	0.0	1
LIMA1	40.36842	3.935473	0.0	0.0	1
ABI3BP	40.353996	2.298141	0.0	0.0	1
CLU	120.80496	1.9897062	0.0	0.0	2
RPS27	79.10331	0.6566145	0.0	0.0	2
MGP	78.88216	1.363943	0.0	0.0	2
RPL39	77.11089	0.7362555	0.0	0.0	2
C2orf40	74.99915	1.6807388	0.0	0.0	2
DSTN	72.738235	0.8865145	0.0	0.0	2
RPL41	66.597466	0.4300283	0.0	0.0	2
EGR1	66.26213	1.4597716	0.0	0.0	2
DCN	65.0719	0.9785838	0.0	0.0	2
MIA	64.56705	1.179045	0.0	0.0	2
FOS	61.85325	1.1667144	0.0	0.0	2
RPS29	61.23999	0.52307665	0.0	0.0	2
RPS26	60.90198	0.6936919	0.0	0.0	2
RPS21	60.69467	0.64027184	0.0	0.0	2
AL078639.1	59.608738	1.1215845	0.0	0.0	2
HNRNPH1	57.460953	1.188739	0.0	0.0	2
SNORC	53.38684	1.0381919	0.0	0.0	2
CHAD	52.86266	1.3196583	0.0	0.0	2
LUM	52.847122	0.9721248	0.0	0.0	2
PLAC9	52.156906	1.0153362	0.0	0.0	2
APOD	49.78021	1.4797307	0.0	0.0	2
SOD3	49.40208	1.1552131	0.0	0.0	2
ACAN	48.173336	1.0222074	0.0	0.0	2
RPL34	47.215137	0.28113663	0.0	0.0	2
SCRG1	46.753345	0.9000702	0.0	0.0	2
RPS28	45.717503	0.33609918	0.0	0.0	2
CTGF	45.567326	1.0200268	0.0	0.0	2
ATP5F1E	44.52768	0.6788007	0.0	0.0	2
RPL37	38.66422	0.26193404	0.0	0.0	2
FOSB	38.483597	0.70672286	0.0	0.0	2
CTNNB1	38.226578	1.1239841	0.0	0.0	2
RPL38	38.127594	0.31962124	0.0	0.0	2
SERPING1	38.103184	0.7699707	0.0	0.0	2
SERPINA1	37.020245	0.7451146	5.409996528939266e-300	4.701002246988805e-298	2
GPX3	36.01203	0.82654667	5.4226851908312e-284	4.2759896119700594e-282	2
RBP4	35.736042	0.8114004	1.089942048454266e-279	8.297380159068556e-278	2
RPL36	33.87585	0.2016304	1.5111562053362626e-251	9.197857677456845e-250	2
S100A1	33.501606	0.5011003	4.5671627555783553e-246	2.7111499180080414e-244	2
