names	scores	logfoldchanges	pvals	pvals_adj	cluster
COL1A2	33.574028	2.274793	4.01633753160042e-247	2.5679123397875885e-243	0
CRTAC1	25.596416	1.4542106	1.6723581438538617e-144	2.916136505205538e-141	0
COL6A1	24.226055	1.5074838	1.1825814880968666e-129	1.8902579602654997e-126	0
S100A4	23.408342	1.2568399	3.5142993260768355e-121	4.212985960842486e-118	0
ACTG1	22.339956	0.7677544	1.5119144998086804e-110	1.526317474780542e-107	0
COL3A1	21.632696	1.7786491	8.845738676102012e-104	8.079529216491081e-101	0
COL6A2	21.14434	1.1583349	3.1110884381661002e-99	2.594512492715825e-96	0
COL1A1	20.04602	3.0859785	2.186525243887367e-89	1.6775896281201433e-86	0
ID2	19.985434	0.92629254	7.374293876462437e-89	5.440243494016385e-86	0
S100A10	19.111282	0.75434273	2.0340922611093475e-81	1.345376677942703e-78	0
LGALS1	17.747746	0.84708506	1.7941358012325777e-70	9.832376800983448e-68	0
DNAJA1	17.188194	0.6435114	3.2551468770682467e-66	1.734360340251279e-63	0
DYNLL1	17.004433	0.61707026	7.613842743547416e-65	3.8431873069469203e-62	0
TMSB4X	17.001556	1.1289835	7.99683597646345e-65	3.9330079708857806e-62	0
CHI3L2	16.560972	1.1242352	1.3342221079232287e-61	5.816298693653511e-59	0
ACTB	16.519817	0.44774428	2.642002281801819e-61	1.126138794827571e-58	0
GAPDH	16.434828	0.55849594	1.0772969657650587e-60	4.492094152247738e-58	0
TNC	15.821776	1.9498506	2.201930164314582e-56	8.4470444963436e-54	0
HSP90AA1	15.495032	0.44278803	3.7477449742667544e-54	1.3312128953964929e-51	0
BRD2	15.283403	0.87261045	9.865184332477222e-53	3.379001797879386e-50	0
RPLP1	14.980922	0.25052503	9.785098696528964e-51	3.128132968302034e-48	0
GADD45B	14.949434	0.66217136	1.5707897413379038e-50	4.9392324637053e-48	0
VIM	14.836727	0.31670284	8.479303367811846e-50	2.623250288677404e-47	0
PTMA	14.558489	0.3068891	5.1585609086004476e-48	1.455093482174488e-45	0
CALM1	14.547503	0.4928597	6.057330945155776e-48	1.6597952122718993e-45	0
TGFBI	14.262909	1.44495	3.72593359327358e-46	9.52895096701074e-44	0
DNAJB1	13.938101	0.5374627	3.717020535385463e-44	9.140534729388278e-42	0
COL6A3	13.830558	1.1122957	1.6672206808111057e-43	4.047969604890863e-41	0
SOX4	13.5963125	1.1771532	4.21137642317345e-42	9.972643354677772e-40	0
H3F3B	13.547996	0.33622873	8.142375626106477e-42	1.8816735769198593e-39	0
OGN	13.433778	0.72019476	3.8334498007483546e-41	8.650517720959317e-39	0
RND3	13.341598	0.84589493	1.3258658438056796e-40	2.8899355397769023e-38	0
MAFB	12.978854	1.4137397	1.612761450416593e-38	3.3624323239609425e-36	0
TPI1	12.909247	0.5410056	3.9918519144242974e-38	8.233087265652951e-36	0
ABL2	12.794643	0.931729	1.7565633944405606e-37	3.584323666889829e-35	0
CRIP1	12.345545	1.3931453	5.148439773021041e-35	9.974972049122888e-33	0
SH3BGRL3	12.048189	0.50301003	1.9825768444716015e-33	3.5875289107367727e-31	0
SGK1	11.987405	0.7157353	4.136611283117825e-33	7.415358973970374e-31	0
SPARC	11.903483	0.66345346	1.1350829309363785e-32	1.9792750634809706e-30	0
PABPC1	11.789763	0.38701394	4.407788095085548e-32	7.616737247913144e-30	0
COL5A2	11.765206	0.942934	5.89819763733149e-32	1.0101190078719224e-29	0
TUBB4B	11.74675	0.44052902	7.338731313374684e-32	1.2457009320516797e-29	0
DSTN	11.619468	0.2575336	3.2817467063372363e-31	5.52168276967145e-29	0
ATP5F1E	11.538886	0.3582535	8.400637325880718e-31	1.4011532569366788e-28	0
SAP18	11.492002	0.50463784	1.4471892514571789e-30	2.3929773303620816e-28	0
ID1	11.467589	0.6432961	1.919306529727709e-30	3.146514405701469e-28	0
HSP90AB1	11.455181	0.3210151	2.2149990433884818e-30	3.570243416070123e-28	0
HSPA8	11.445538	0.47840035	2.475642063971707e-30	3.9571075357534425e-28	0
HSPA1A	11.208488	0.41864693	3.7046714584622444e-29	5.639627241647961e-27	0
TMSB10	10.990373	0.41878808	4.25168020523203e-28	6.421376221776029e-26	0
IGFBP7	6.377364	4.93281	1.801615202334699e-10	3.455678119598186e-06	1
HMGB1	6.0648303	2.5729468	1.320931216897556e-09	1.1908566335332483e-05	1
SPARCL1	6.0093613	11.549719	1.8625566449088917e-09	1.1908566335332483e-05	1
MT-CO2	5.0799956	2.5507143	3.774431490454869e-07	0.000402207613435638	1
B2M	4.9689016	2.3383288	6.733324300285632e-07	0.0006018044425438755	1
MT-ATP6	4.9554515	2.8366275	7.216256805437223e-07	0.0006018044425438755	1
CD9	4.915935	3.383731	8.835972832989462e-07	0.000706178312123212	1
