names	scores	logfoldchanges	pvals	pvals_adj	cluster
PAM	61.930355	1.461129	0.0	0.0	0
CCDC102B	61.210213	1.8254411	0.0	0.0	0
FOS	60.652805	1.8629351	0.0	0.0	0
COL6A3	60.08543	1.1846749	0.0	0.0	0
HSP90B1	57.657173	1.1509858	0.0	0.0	0
VCL	54.924408	1.3326911	0.0	0.0	0
SOD3	54.828953	1.5415385	0.0	0.0	0
ITGB1	49.64414	0.6858754	0.0	0.0	0
MT-ND5	49.084938	0.8580548	0.0	0.0	0
SLC4A7	48.336296	1.154682	0.0	0.0	0
CP	48.004105	1.8590409	0.0	0.0	0
BICC1	47.199665	1.3226674	0.0	0.0	0
MACF1	46.94147	1.0110782	0.0	0.0	0
VCAN	46.864536	1.3979406	0.0	0.0	0
MALAT1	46.83785	1.1679453	0.0	0.0	0
HLA-B	46.790005	1.0938464	0.0	0.0	0
PDIA3	46.51285	0.8516894	0.0	0.0	0
GBE1	46.39061	1.2376852	0.0	0.0	0
MT-ND4L	46.21709	1.0671617	0.0	0.0	0
P4HA1	45.951996	1.1229752	0.0	0.0	0
NEK10	44.950294	1.2771204	0.0	0.0	0
ROBO2	44.790737	2.1298196	0.0	0.0	0
APLP2	44.3791	0.94349074	0.0	0.0	0
TPM4	44.331215	0.7739901	0.0	0.0	0
LAMA4	43.40958	1.0794399	0.0	0.0	0
AHNAK2	42.938885	0.81254816	0.0	0.0	0
FNDC3B	42.909622	0.9465584	0.0	0.0	0
AF279873.3	42.032825	1.3572549	0.0	0.0	0
PSD3	41.968624	1.1553963	0.0	0.0	0
PLOD2	41.906353	1.0502411	0.0	0.0	0
HIF1A	41.705433	0.901627	0.0	0.0	0
LINC00578	41.311073	1.6769351	0.0	0.0	0
HES1	40.81912	1.2828901	0.0	0.0	0
LMAN1	40.618637	0.84383196	0.0	0.0	0
FAP	40.22287	0.9939224	0.0	0.0	0
GLIS3	39.715157	1.145188	0.0	0.0	0
TMEM165	39.671074	0.8035841	0.0	0.0	0
NDRG1	39.414314	1.1034687	0.0	0.0	0
GLS	39.05253	0.90101033	0.0	0.0	0
SIPA1L2	38.811882	1.4947149	0.0	0.0	0
TMX3	38.728317	0.9752813	0.0	0.0	0
TIPARP	38.70348	1.3712558	0.0	0.0	0
TLN1	38.66942	0.67739445	0.0	0.0	0
MYO1E	38.611195	1.1886573	0.0	0.0	0
MIR99AHG	38.580315	1.0266268	0.0	0.0	0
MYLK	38.410446	0.8415555	0.0	0.0	0
FBN1	38.320786	0.857407	0.0	0.0	0
PTK2	38.246647	0.8991707	0.0	0.0	0
SBF2	38.176964	0.8983828	0.0	0.0	0
NEAT1	37.89792	0.7327345	0.0	0.0	0
CD63	45.287643	0.688604	0.0	0.0	1
HLA-C	43.27514	1.2482549	0.0	0.0	1
SOD3	41.662163	1.8653125	0.0	0.0	1
CD59	41.48778	0.9063215	0.0	0.0	1
GAPDH	41.049187	0.7946542	0.0	0.0	1
HLA-A	40.815994	1.1681595	0.0	0.0	1
HLA-B	39.410706	1.3996599	0.0	0.0	1
SERF2	38.857647	0.5698527	0.0	0.0	1
CTSD	38.834446	0.9690403	0.0	0.0	1
MIF	37.011734	0.7994952	7.414999800877713e-300	2.0079819460776846e-296	1
TIMP1	36.705254	1.0665674	6.021309950162943e-295	1.4823370313673864e-291	1
TPT1	36.460453	0.5049666	4.6983198840635765e-291	1.060254187170347e-287	1
B2M	36.312977	0.6815653	1.0096572585232629e-288	2.10319373544692e-285	1
NPC2	35.727776	0.8251366	1.4647707731829129e-279	2.8332851812709486e-276	1
S100A11	35.70633	0.69827276	3.1528482749630867e-279	5.6919420857333584e-276	1
PRDX2	35.18576	0.9073621	3.301798418120217e-271	5.588293822668467e-268	1
PKM	34.80408	0.6883746	2.1098552775002126e-265	3.360875347923868e-262	1
COL6A2	33.998642	0.66271585	2.333090608075445e-253	3.5100052037046136e-250	1
ACTG1	33.96554	0.63117474	7.192626317746857e-253	1.0251385299188679e-249	1
LUM	33.598557	1.0171757	1.761029181104884e-247	2.384433511216013e-244	1
TPI1	33.033966	0.8848354	2.643439149855508e-239	3.4087777227660553e-236	1
MYL6	32.43374	0.59964454	9.184734087592241e-231	1.1305572685999905e-227	1
VKORC1	31.498068	0.7512368	9.2318537032466e-218	1.0869504273213824e-214	1
S100A10	31.223999	0.74599373	5.033579394627903e-214	5.4523732002609445e-211	1
MGST3	31.141466	0.620413	6.618052996077308e-213	6.892956735914365e-210	1
LDHA	31.054464	0.9290197	9.93036277018107e-212	9.959786067277902e-209	1
CST3	30.843868	0.6543192	6.769161262542105e-209	6.546745963915721e-206	1
LGALS1	30.465702	0.52952707	7.421504342981872e-204	6.699144586931636e-201	1
SELENOM	30.432753	0.6471251	2.0262121784453898e-203	1.7699943803968113e-200	1
CD151	30.405844	0.6632453	4.5978434988628374e-203	3.8909250609126764e-200	1
MYL9	29.7602	1.2108309	1.2797430111912982e-194	1.050164871001829e-191	1
S100A6	29.73897	0.44524112	2.4083903719804027e-194	1.9182120962714502e-191	1
UBC	29.619429	0.5052839	8.400395892939454e-193	6.499506308022869e-190	1
PRDX4	29.5991	0.7411777	1.5346709223258535e-192	1.154413571571781e-189	1
RABAC1	29.473362	0.6191934	6.320604727275725e-191	4.6259993517466656e-188	1
HSPB1	29.442917	0.8258311	1.5513181243666788e-190	1.1055182844170964e-187	1
EFEMP2	29.286285	0.7761128	1.5506708359756826e-188	1.0767222112364482e-185	1
CSTB	29.072853	0.6710719	7.914084615163129e-186	5.357835284465438e-183	1
PPIA	28.92853	0.5254469	5.227423765805988e-184	3.4526496482445403e-181	1
EMP3	28.518599	0.6084919	6.889152243839133e-179	4.4418629229324695e-176	1
S100A4	28.45194	0.6825119	4.6109581807422205e-178	2.903831338011612e-175	1
C4orf3	28.281073	0.7501553	5.907558041540265e-176	3.635833449202509e-173	1
GRN	28.274643	0.70210016	7.087071337630256e-176	4.2648420405117184e-173	1
RPS27L	28.21832	0.6023349	3.485359835396146e-175	2.0518161813592963e-172	1
CLIC1	28.142952	0.6411723	2.922931196975845e-174	1.6841058896618273e-171	1
RNASEK	27.930609	0.52555096	1.134042955771599e-171	6.397892342144771e-169	1
CD81	27.7142	0.51139545	4.7088053397904684e-169	2.602335685745426e-166	1
CTSB	27.353516	0.8645437	9.80753477573007e-165	5.011095126920193e-162	1
LGALS3	27.239927	0.62382543	2.1874603869124302e-163	1.0770259505016112e-160	1
CUTA	27.231842	0.64046675	2.7270745336892577e-163	1.3187353280768768e-160	1
H2AFZ	36.889652	2.9652176	6.77148770659695e-298	1.833718870946454e-293	2
CENPF	36.253498	5.825913	8.752217814184517e-288	1.1850502920405837e-283	2
ANLN	35.986626	5.648159	1.354250099382892e-283	1.2224364230429572e-279	2
TUBA1B	35.703987	2.3778155	3.428210052597636e-279	2.3208982056085998e-275	2
TPX2	34.89091	4.9865375	1.0212069176298358e-266	5.53085666588319e-263	2
