names	scores	logfoldchanges	pvals	pvals_adj	cluster
ISLR	34.42439	2.2085865	1.0885839056244112e-259	1.7310661267239387e-255	0
COL1A2	33.49875	2.827989	5.026418099027743e-246	3.996505030536958e-242	0
ITIH5	32.92588	3.008039	9.370187971863476e-238	4.966824304285766e-234	0
COL6A1	32.853165	2.3941057	1.0264679446050153e-236	4.080723313777238e-233	0
COL6A2	32.788498	2.0439854	8.588636518477361e-236	2.73152995833654e-232	0
POSTN	32.575912	5.1683617	8.998138935690977e-233	2.3848067559226316e-229	0
COL3A1	32.133247	3.0621898	1.5140928055089596e-226	3.439586256171925e-223	0
ITGB5	32.059555	2.3978605	1.6156280291009536e-225	3.2114646148454205e-222	0
DKK3	32.03748	2.8742478	3.2803027871209076e-225	5.795930546755185e-222	0
DPT	31.833408	3.1203332	2.233639987216157e-222	3.551934307671133e-219	0
COL5A2	31.699669	2.671044	1.5701059623127953e-220	2.2698022738816424e-217	0
ITGA11	30.791698	2.6690407	3.3846023571221545e-208	4.485162223579708e-205	0
CST3	30.59347	1.6515965	1.4949510229785697e-205	1.8286700898004013e-202	0
COL6A3	30.216106	2.568603	1.455287934843799e-200	1.6529991957061492e-197	0
MT-ND5	30.059856	1.9609	1.6230344774365486e-198	1.720632950679733e-195	0
TIMP2	29.85908	1.56605	6.692502096145572e-196	6.65151052080668e-193	0
ABI3BP	29.57801	2.833579	2.866244171226741e-192	2.681118518285155e-189	0
CLU	29.568796	1.5930814	3.765379518716353e-192	3.326503617034858e-189	0
TM4SF1	28.98781	2.4229612	9.37310680013649e-185	7.452557216788524e-182	0
LOXL2	28.399477	2.4421933	2.0523756453816284e-177	1.4189946744721153e-174	0
FAP	28.122889	2.2893555	5.143450889015167e-174	3.2716462414847675e-171	0
CDH13	27.955471	3.3338928	5.656336985496334e-172	3.331372990494915e-169	0
GAS1	27.826921	2.554951	2.0495526095425873e-170	1.1639994856052222e-167	0
SPARC	27.782476	2.2757487	7.063831465510455e-170	3.8734154470533535e-167	0
MXRA5	27.33639	2.4714518	1.5675652826008649e-164	7.553764583005744e-162	0
IGFBP7	27.254818	2.177048	1.4571081476732677e-163	6.814980518911854e-161	0
MT-CYB	27.215618	1.6262594	4.244012171359161e-163	1.9282366156843824e-160	0
NT5E	27.16622	2.3427436	1.628915872833765e-162	7.195283391611814e-160	0
DSP	26.984037	2.248469	2.2752547673308994e-160	9.778676029755665e-158	0
PTPN14	26.909302	2.189265	1.709339010005954e-159	6.969720240285815e-157	0
COLEC12	26.795341	2.6019905	3.6615083132546015e-158	1.455632629934367e-155	0
MT-ND6	26.763805	1.8865184	8.529872735126104e-158	3.3083423471701296e-155	0
COL5A1	26.76178	1.9297646	9.005838812076177e-158	3.4097821140389373e-155	0
LTBP2	26.65475	2.2289329	1.5765862414634616e-156	5.830435909709759e-154	0
COL11A1	26.120052	2.1160038	2.1581718434959834e-150	7.301967798994283e-148	0
PSD3	25.9192	2.1063638	4.0465767323150034e-148	1.3405971499431912e-145	0
SSC5D	25.538198	2.6804996	7.425967517436945e-144	2.361754709245646e-141	0
MT-ND4	25.458342	1.3694713	5.707213694321367e-143	1.7453098493672766e-140	0
NREP	24.917646	2.0846162	4.790584434874647e-137	1.4107384015440117e-134	0
FGFBP2	24.873756	1.7068473	1.4311433144217356e-136	4.1378256338062615e-134	0
OLFML2B	24.764444	2.940099	2.1669524248908047e-135	6.153370975109567e-133	0
AOC2	24.713793	2.3444052	7.602216184263382e-135	2.1208849431957245e-132	0
COL15A1	24.579605	2.1066968	2.0875382206831465e-133	5.723453928500585e-131	0
ECM1	24.53987	1.9983901	5.548270995550336e-133	1.4954000910379906e-130	0
ABHD2	24.510473	2.0776176	1.1422623546077552e-132	3.027375993828754e-130	0
HAPLN1	24.424044	1.6551068	9.499402734825533e-132	2.4372515330154152e-129	0
FSTL1	24.42403	1.6935244	9.502552826497028e-132	2.4372515330154152e-129	0
LUM	24.408567	1.3869207	1.3870228054098777e-131	3.5010216907345835e-129	0
HTRA1	24.169146	1.3087648	4.697758543136229e-129	1.1672461930148798e-126	0
CD109	24.069674	1.6987423	5.195841856562822e-128	1.2331981672098807e-125	0
COL11A2	55.048996	3.1913078	0.0	0.0	1
VCAN	54.88111	4.0822687	0.0	0.0	1
COL2A1	52.741226	3.7485716	0.0	0.0	1
ACAN	52.388027	2.617765	0.0	0.0	1
COL9A2	51.8938	3.20469	0.0	0.0	1
COL9A3	50.46256	3.0834985	0.0	0.0	1
CNMD	49.746117	2.9978745	0.0	0.0	1
CHRDL2	48.91322	4.069109	0.0	0.0	1
CRISPLD1	48.11775	3.4859312	0.0	0.0	1
PLXDC2	46.431286	2.3458247	0.0	0.0	1
XYLT1	45.782204	2.6070824	0.0	0.0	1
BGN	45.430775	1.9193835	0.0	0.0	1
SLC26A2	44.18471	2.8048577	0.0	0.0	1
COL11A1	43.043133	2.3872159	0.0	0.0	1
CAPS	41.85446	2.262011	0.0	0.0	1
COL27A1	41.791447	2.4861863	0.0	0.0	1
HHIP	41.11909	4.0070605	0.0	0.0	1
SERPINA5	40.845425	2.1640646	0.0	0.0	1
DIO2	40.65835	2.8774652	0.0	0.0	1
ADM	40.516357	2.175972	0.0	0.0	1
DDX3Y	40.069187	2.6580467	0.0	0.0	1
COL5A2	40.05008	2.335524	0.0	0.0	1
WWP2	39.701847	1.728817	0.0	0.0	1
ECM2	39.654892	2.2304037	0.0	0.0	1
KLF4	39.6544	1.8772764	0.0	0.0	1
HS6ST3	39.60561	3.4766939	0.0	0.0	1
DUSP1	39.36326	1.9987985	0.0	0.0	1
ANGPTL5	39.351418	2.2923427	0.0	0.0	1
ABI3BP	39.34878	2.6118112	0.0	0.0	1
SLC14A1	39.3383	2.4445612	0.0	0.0	1
FHL1	39.234077	2.0548291	0.0	0.0	1
ADGRG6	39.051826	3.4671702	0.0	0.0	1
INHBA	38.956505	2.2382753	0.0	0.0	1
SOX9	38.427456	1.9126511	0.0	0.0	1
CLEC3A	38.4202	2.5938265	0.0	0.0	1
FMOD	38.35405	1.1720161	0.0	0.0	1
MYLK	38.338345	2.31396	0.0	0.0	1
CREB3L2	38.134846	2.0709505	0.0	0.0	1
SPARC	38.041977	2.1061952	0.0	0.0	1
COL6A1	37.9275	1.8774208	0.0	0.0	1
ITM2C	37.500263	1.9088613	9.120652732549495e-308	3.223035994511157e-305	1
ELN	37.152966	2.9261434	3.926184706758996e-302	1.3572649827582947e-299	1
MAPRE2	36.91539	1.9704976	2.6174445132924693e-298	8.8558729043355e-296	1
ITM2A	36.866978	2.167312	1.563519828678992e-297	5.179810899094444e-295	1
CD109	36.59846	1.8096474	3.025707397116276e-293	9.819346740600616e-291	1
FOSB	36.398357	1.2958612	4.5197909425089695e-290	1.4374743113555525e-287	1
RPS4Y1	36.397182	2.194858	4.7173459477655655e-290	1.470886965909177e-287	1
FRZB	36.282063	2.613514	3.1035598833431482e-288	9.40932384274907e-286	1
GALNT1	36.281776	1.7290962	3.1360468096195493e-288	9.40932384274907e-286	1
NKX3-2	36.279446	2.3365393	3.41298784922803e-288	1.0050617181189654e-285	1
CLEC3A	40.59545	2.8623013	0.0	0.0	2
COL2A1	39.487186	2.5017087	0.0	0.0	2
OGN	38.629887	2.0431998	0.0	0.0	2
BGN	38.471157	1.5627179	0.0	0.0	2
ABI3BP	34.87159	2.0863602	2.004692933198231e-266	1.875213354336369e-263	2
CHRDL2	33.792763	2.45832	2.5191226927574698e-250	2.1083731084331203e-247	2
CNMD	33.555206	1.8913711	7.559207235082627e-247	6.010325672614196e-244	2
SPARC	33.373043	1.6921136	3.374677521790393e-244	2.4392782705232196e-241	2
