names	scores	logfoldchanges	pvals	pvals_adj	cluster
COL9A2	50.21125	2.668255	0.0	0.0	2
SCRG1	50.026703	2.2261736	0.0	0.0	2
SERPINA5	48.56363	2.4485369	0.0	0.0	2
NDUFA4L2	48.393368	1.5717809	0.0	0.0	2
P4HA2	47.280952	2.1068375	0.0	0.0	2
COL11A2	47.03394	2.3744695	0.0	0.0	2
MTND2P28	46.954727	3.1316383	0.0	0.0	2
GAPDH	46.673313	1.2503281	0.0	0.0	2
BNIP3	45.57685	2.2091646	0.0	0.0	2
AL450405.1	45.366768	2.446094	0.0	0.0	2
PGK1	44.868153	1.6115701	0.0	0.0	2
WIF1	44.33627	4.977002	0.0	0.0	2
CA9	43.049717	2.2257285	0.0	0.0	2
COL11A1	42.54534	1.9068131	0.0	0.0	2
S100A1	41.915276	1.7362026	0.0	0.0	2
ADM	41.80605	2.045769	0.0	0.0	2
EIF4A2	41.17648	1.4811245	0.0	0.0	2
ENO1	40.51488	1.3938195	0.0	0.0	2
HAPLN1	40.07292	1.6704774	0.0	0.0	2
BGN	39.64688	1.2857181	0.0	0.0	2
FTL	39.119453	0.7804422	0.0	0.0	2
CD81	38.991005	2.1544003	0.0	0.0	2
CRISPLD1	38.912807	3.47784	0.0	0.0	2
CLEC3A	37.08657	2.0611866	4.6248004109265585e-301	3.2213386576535954e-298	2
CAPS	36.639076	1.7714578	6.830468504546999e-294	4.593607836006211e-291	2
SNAI1	36.51033	1.7782906	7.6032085479085635e-292	4.942845876995358e-289	2
MDFI	36.343376	1.6619637	3.3434692276347087e-289	2.103473559566443e-286	2
ITM2A	36.214718	1.7613652	3.5717445374577554e-287	2.1768666785637064e-284	2
RPS28	35.820263	1.0941739	5.342793455620583e-281	3.157590932271764e-278	2
HSPB6	35.525692	2.3653564	1.972486038987016e-276	1.0685943116212159e-273	2
P4HB	35.430695	1.3263702	5.752609965026669e-275	2.9524513723135562e-272	2
PAPSS2	35.38089	1.562134	3.359645026780915e-274	1.680080947623287e-271	2
WWP2	35.230045	1.5887282	6.935424104947784e-272	3.3815394079699165e-269	2
JUN	35.162903	1.4076391	7.382847681816111e-271	3.5118945936209663e-268	2
P4HA1	34.824947	1.3825783	1.0198787464398554e-265	4.735879807575357e-263	2
FAM162A	34.78251	1.5745965	4.4721354367730363e-265	2.0283734284508028e-262	2
HHIPL2	34.699516	2.4087443	8.01150291401356e-264	3.5510986666365106e-261	2
TOMM7	34.585052	1.2718085	4.238714226963949e-262	1.8370587459661756e-259	2
RPL9P9	34.582565	1.304686	4.6200480175508424e-262	1.9587999236150887e-259	2
VEGFA	34.421074	1.7671986	1.2202753481288884e-259	5.0636234286293004e-257	2
FXYD6	34.054092	1.3032482	3.530293674599088e-254	1.434402448660542e-251	2
FMOD	33.996464	1.5886178	2.512535602533657e-253	1.0000404460451817e-250	2
RPS29	33.518356	0.9270084	2.6040522877228886e-246	1.01573663534919e-243	2
VCAN	33.225224	1.7524029	4.654858132916887e-242	1.7800725130642755e-239	2
ID2	33.11808	1.3554313	1.632403411348693e-240	6.1224545637564536e-238	2
FBXO2	32.62495	1.5109509	1.8163942806511117e-233	6.683988236894082e-231	2
AEBP1	42.904884	1.7171627	0.0	0.0	3
CRTAC1	37.948833	2.3456702	0.0	0.0	3
MFGE8	37.408577	1.4502974	2.8344151044117445e-306	1.8426532593780751e-302	3
