names	scores	logfoldchanges	pvals	pvals_adj	cluster
KLF10	44.52653	1.5069011	0.0	0.0	4
RPLP2	44.237053	0.56656986	0.0	0.0	4
HSPB1	44.0558	1.2722694	0.0	0.0	4
RPS15A	42.812984	0.91232675	0.0	0.0	4
NR4A2	42.776043	1.6243491	0.0	0.0	4
MRPL33	42.349052	1.4836684	0.0	0.0	4
RASD1	41.968605	2.9893303	0.0	0.0	4
RPL31	41.772312	0.5211864	0.0	0.0	4
SNHG5	41.725777	0.95831805	0.0	0.0	4
NDUFC1	41.68421	1.3951256	0.0	0.0	4
BAMBI	40.970753	1.5483325	0.0	0.0	4
RPL39	40.79734	0.72701186	0.0	0.0	4
EGR1	40.727974	1.3330021	0.0	0.0	4
C12orf57	38.551334	1.2376808	0.0	0.0	4
APOD	102.525475	5.410425	0.0	0.0	5
CNMD	83.546646	3.0921605	0.0	0.0	5
ACAN	82.96592	2.2422247	0.0	0.0	5
COL2A1	74.42047	2.821776	0.0	0.0	5
SRSF5	72.07864	1.5159272	0.0	0.0	5
PRELP	71.37336	2.1591537	0.0	0.0	5
DDX5	71.22355	0.80077827	0.0	0.0	5
ITM2C	70.76502	1.8345369	0.0	0.0	5
EIF5	69.14255	1.0985794	0.0	0.0	5
COL11A1	68.98527	1.8912114	0.0	0.0	5
RBP4	68.84583	2.1738534	0.0	0.0	5
ITM2A	68.828896	2.166316	0.0	0.0	5
TIPARP	66.01344	2.0207348	0.0	0.0	5
THBS1	65.7613	2.4534101	0.0	0.0	5
PABPC1	63.805622	0.8138242	0.0	0.0	5
RPL11	63.68372	0.71404785	0.0	0.0	5
S100B	62.801865	1.9237678	0.0	0.0	5
RPL15	62.223045	0.5790245	0.0	0.0	5
EEF1A1	57.478207	0.5118526	0.0	0.0	5
GOLGB1	57.455357	1.3145974	0.0	0.0	5
HNRNPA2B1	56.31455	0.81084085	0.0	0.0	5
FTL	55.889194	0.7353346	0.0	0.0	5
RPS6	55.85411	0.55518353	0.0	0.0	5
RPL7	55.722042	0.5903934	0.0	0.0	5
CHAD	55.715168	1.7857672	0.0	0.0	5
EIF3H	54.960297	1.1061691	0.0	0.0	5
RPS27A	54.574196	0.5512569	0.0	0.0	5
COL11A2	54.508583	2.0893261	0.0	0.0	5
NPM1	54.431637	0.6678477	0.0	0.0	5
CLEC3A	53.78219	2.0495236	0.0	0.0	5
FOSB	53.497948	1.3172331	0.0	0.0	5
RPL21	53.107876	0.46637836	0.0	0.0	5
RPS13	52.776203	0.530044	0.0	0.0	5
RPL24	52.028988	0.5679024	0.0	0.0	5
HNRNPA1	51.64674	0.7107643	0.0	0.0	5
RPL13A	51.612896	0.49494892	0.0	0.0	5
FRZB	51.604015	2.8228674	0.0	0.0	5
SRSF3	50.93167	0.87388676	0.0	0.0	5
FGFBP2	50.657383	1.6505666	0.0	0.0	5
FMOD	50.40847	1.387061	0.0	0.0	5
WSB1	50.384514	1.1794732	0.0	0.0	5
HSP90AB1	50.171013	0.5761775	0.0	0.0	5
PTMA	49.42637	0.5662275	0.0	0.0	5
SLC14A1	48.92381	2.1684246	0.0	0.0	5
RPL6	48.769833	0.53994983	0.0	0.0	5
DCN	48.487827	0.8490575	0.0	0.0	5
