names	scores	logfoldchanges	pvals	pvals_adj	cluster
RPS20	72.54652	1.0060709	0.0	0.0	0
EEF1A1	67.32629	0.81643474	0.0	0.0	0
RPS11	66.08334	0.9924131	0.0	0.0	0
RPS8	62.999798	0.6592591	0.0	0.0	0
SPTSSB	61.923653	3.9304802	0.0	0.0	0
RPL23A	61.821953	0.5453243	0.0	0.0	0
CLEC3A	61.197006	2.7054045	0.0	0.0	0
EIF3H	61.059895	1.1418962	0.0	0.0	0
FRZB	60.32153	3.2041705	0.0	0.0	0
RPLP0	59.57172	0.6780204	0.0	0.0	0
RPS3A	59.46664	0.5276506	0.0	0.0	0
RPS16	59.057877	0.5632824	0.0	0.0	0
RPL18	57.861435	0.5882467	0.0	0.0	0
RPL34	57.650032	0.53430986	0.0	0.0	0
RPL19	56.941357	0.45801428	0.0	0.0	0
RPS27A	56.69448	0.5100427	0.0	0.0	0
RPL7	56.655563	0.61135113	0.0	0.0	0
RPL10A	56.471222	0.67014396	0.0	0.0	0
RPL30	54.449738	0.5327809	0.0	0.0	0
RPL9	54.448883	0.5060014	0.0	0.0	0
CCNI	54.269638	0.8140016	0.0	0.0	0
RPL13A	53.511745	0.42528132	0.0	0.0	0
OGN	53.412342	1.9268076	0.0	0.0	0
TPT1	52.46107	0.5491257	0.0	0.0	0
RPL4	52.043716	0.69437104	0.0	0.0	0
RPS13	51.377464	0.502162	0.0	0.0	0
RPLP2	48.629375	0.42285812	0.0	0.0	0
B2M	48.624676	0.8952997	0.0	0.0	0
RPL10	48.21095	0.38790938	0.0	0.0	0
C2orf82	47.966976	1.6501887	0.0	0.0	0
MGP	47.31603	1.4644909	0.0	0.0	0
RPS23	47.27449	0.40186724	0.0	0.0	0
PAX1	47.26041	1.4963049	0.0	0.0	0
RPS6	47.182762	0.374075	0.0	0.0	0
RPL13	47.14747	0.35872018	0.0	0.0	0
CAPS	47.136646	1.5586064	0.0	0.0	0
ADIRF	47.02716	1.7918257	0.0	0.0	0
RPL14	46.902462	0.43322697	0.0	0.0	0
YBX3	45.76579	1.0891519	0.0	0.0	0
CRTAP	45.03395	1.235915	0.0	0.0	0
RPS29	44.90295	0.3967188	0.0	0.0	0
