names	scores	logfoldchanges	pvals	pvals_adj	cluster
TMSB4X	15.505433	4.6579766	3.187603062555222e-54	7.309173822439124e-51	0
B2M	15.458823	2.5402052	6.578907278905772e-54	1.3925016360490095e-50	0
TMSB10	14.291891	3.0260403	2.458422955364876e-46	2.1821279367683847e-43	0
PCAT19	13.2416725	9.812243	5.041353009065558e-40	2.6173182905178848e-37	0
TM4SF1	13.090605	3.9122293	3.726296101242009e-39	1.7678062676168124e-36	0
MALAT1	13.049578	1.0189599	6.390072868022096e-39	2.882446639942557e-36	0
NEAT1	11.579381	1.6758006	5.24233199003215e-31	1.1727480246969482e-28	0
CALCRL	11.476566	9.285399	1.7301554317906167e-30	3.7783299096151276e-28	0
PALM2-AKAP2	10.588408	4.549759	3.3727634217520046e-26	5.071309197427768e-24	0
FABP4	10.411111	7.2438045	2.206327530325702e-25	3.0816907778904577e-23	0
GNG11	10.218126	4.160429	1.6448952339154539e-24	2.0387809574962898e-22	0
MYCT1	10.060258	12.594727	8.278113122191252e-24	9.49085669459227e-22	0
FABP5	9.93084	3.438981	3.0567077031748137e-23	3.2102430977312276e-21	0
ADGRL4	9.914608	12.138709	3.596650616176176e-23	3.7205052013046486e-21	0
EMCN	9.756044	10.582555	1.738016679463787e-22	1.6898680901811152e-20	0
HLA-B	9.596861	1.5203729	8.241595164603401e-22	7.58447266050927e-20	0
PPP1R15A	9.490617	1.7853794	2.296711852103445e-21	2.045188457038136e-19	0
KLF6	9.469087	2.5818381	2.8230042964706248e-21	2.458157791825497e-19	0
PTMA	9.428127	0.75668186	4.174764091823525e-21	3.57859217291639e-19	0
IGFBP7	9.295727	2.703227	1.462036106685406e-20	1.1937503119155974e-18	0
JUN	8.784503	2.0996833	1.5705781982096892e-18	1.00736665971883e-16	0
FAM241A	8.774459	5.2198033	1.7172757224675407e-18	1.0963470714481868e-16	0
PLK2	8.633009	3.094236	5.97587848532242e-18	3.59808035890879e-16	0
TCF4	8.619004	2.4358177	6.753876536418963e-18	4.0487944831395244e-16	0
HLA-C	8.503875	1.0733052	1.8336577865143045e-17	1.0555424195340502e-15	0
C2CD4B	8.341635	7.117898	7.327066131751895e-17	3.968731332308762e-15	0
ZFP36L1	8.298044	2.380974	1.0583938623908295e-16	5.611322835750687e-15	0
TSPAN14	8.212515	4.8260183	2.1660302737980134e-16	1.1140278320341333e-14	0
