source,target,ligand_complex,receptor_complex,score_h,score_s,delta_score,interaction,pair
AF_fibroblast,AF_fibroblast,ANGPTL4,SDC1,0.0,-0.0,-0.0,ANGPTL4 → SDC1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ANGPTL4,SDC2,0.20224158108296156,0.09065255657316927,-0.11158902450979229,ANGPTL4 → SDC2,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ANGPTL4,SDC4,0.10092431999748203,-0.0,-0.10092431999748203,ANGPTL4 → SDC4,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ANXA1,EGFR,0.3128560260611379,0.35391311897356903,0.04105709291243115,ANXA1 → EGFR,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,APOE,ABCA1,-0.0,0.0,0.0,APOE → ABCA1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,APOE,LDLR,-0.0,0.0,0.0,APOE → LDLR,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,APOE,LRP1,0.5737847725177924,0.0,-0.5737847725177924,APOE → LRP1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,APOE,LRP6,-0.0,0.0,0.0,APOE → LRP6,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,APOE,SDC2,0.17393357632004897,0.0,-0.17393357632004897,APOE → SDC2,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,APP,CD74,0.0,0.34378392647979483,0.34378392647979483,APP → CD74,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,APP,GPC1,0.23987491304513067,0.3792197844812485,0.13934487143611782,APP → GPC1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,APP,LRP1,0.9459086914617092,0.9680586374501517,0.022149945988442554,APP → LRP1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,APP,LRP10,0.13223540634570466,0.0840886819746456,-0.04814672437105906,APP → LRP10,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,APP,LRP6,0.3333008379053223,0.11494043142840502,-0.21836040647691726,APP → LRP6,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,APP,NCSTN,0.015658181006112496,0.20339478636750674,0.18773660536139425,APP → NCSTN,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,APP,NOTCH2,0.054828343304823036,0.03834077277079355,-0.016487570534029487,APP → NOTCH2,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,APP,PTGER2,0.0,0.27853281248459655,0.27853281248459655,APP → PTGER2,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ARF1,INSR,0.16699475233228936,0.2959232002188173,0.12892844788652794,ARF1 → INSR,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ARF6,SMAP1,-0.0,0.13450444278136822,0.13450444278136822,ARF6 → SMAP1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ARPC5,ADRB2,0.0,0.3553743066836532,0.3553743066836532,ARPC5 → ADRB2,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,ARPC5,LDLR,0.21782872750248988,0.27186079564056775,0.05403206813807787,ARPC5 → LDLR,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,BGN,LY96,0.08092526241924261,0.4006828305065368,0.31975756808729416,BGN → LY96,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,BMP1,BMPR1A,1.2208060619923145,0.12104320523607973,-1.0997628567562348,BMP1 → BMPR1A,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,BMP1,BMPR2,0.3050162146157783,-0.0,-0.3050162146157783,BMP1 → BMPR2,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,BMP2,ACTR2,0.12166349061799252,0.24095843328637867,0.11929494266838615,BMP2 → ACTR2,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,BMP2,ACVR1,-0.0,-0.0,0.0,BMP2 → ACVR1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,BMP2,BMPR1A_BMPR2,0.22939385610590501,-0.0,-0.22939385610590501,BMP2 → BMPR1A_BMPR2,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,BMP2,ENG,-0.0,-0.0,0.0,BMP2 → ENG,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,BMP2,GPC1,-0.0,-0.0,0.0,BMP2 → GPC1,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,BMP5,ACVR1_BMPR2,0.0,0.09013774958086995,0.09013774958086995,BMP5 → ACVR1_BMPR2,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,BMP5,BMPR1A_BMPR2,0.0,0.25040099075589217,0.25040099075589217,BMP5 → BMPR1A_BMPR2,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,BMP5,PTPRD,0.0,-0.0,-0.0,BMP5 → PTPRD,AF_fibroblast → AF_fibroblast
AF_fibroblast,AF_fibroblast,BSG,SLC16A1,0.24891233296169238,0.12275390621735746,-0.12615842674433492,BSG → SLC16A1,AF_fibroblast → AF_fibroblast
