Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes	cell_type	comparison	direction	library	Overlap
GO_Biological_Process_2023	Regulation Of Wound Healing (GO:0061041)	0.03459268430543973	0.06636670544525103	0.0	0.0	31.342105263157894	105.438385503686	F2R	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Collagen Fibril Organization (GO:0030199)	0.03459268430543973	0.06636670544525103	0.0	0.0	31.342105263157894	105.438385503686	GREM1	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Positive Regulation Of Biosynthetic Process (GO:0009891)	0.035464887581051936	0.06704675827366753	0.0	0.0	30.536489151873766	101.96781572220515	F2R	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Apical Junction Assembly (GO:0043297)	0.035464887581051936	0.06704675827366753	0.0	0.0	30.536489151873766	101.96781572220515	CLDN11	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Amide Biosynthetic Process (GO:0043604)	0.03633635913548377	0.06786365338386299	0.0	0.0	29.771153846153847	98.68948185025289	SPTSSB	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046425)	0.03720709953864303	0.06786365338386299	0.0	0.0	29.04315196998124	95.58843912152962	F2R	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Positive Regulation Of mRNA Catabolic Process (GO:0061014)	0.03720709953864303	0.06786365338386299	0.0	0.0	29.04315196998124	95.58843912152962	ZFP36L2	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Regulation Of Telomerase Activity (GO:0051972)	0.03720709953864303	0.06786365338386299	0.0	0.0	29.04315196998124	95.58843912152962	GREM1	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Regulation Of Calcium Ion Transport (GO:0051924)	0.03720709953864303	0.06786365338386299	0.0	0.0	29.04315196998124	95.58843912152962	F2R	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Intracellular Iron Ion Homeostasis (GO:0006879)	0.038077109345714934	0.0689648344093718	0.0	0.0	28.34981684981685	92.65122662831014	SLC40A1	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Sprouting Angiogenesis (GO:0002040)	0.03981493945475818	0.07015013142028823	0.0	0.0	27.057692307692307	87.22082490443786	GREM1	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Phospholipase C-activating G Protein-Coupled Receptor Signaling Pathway (GO:0007200)	0.03981493945475818	0.07015013142028823	0.0	0.0	27.057692307692307	87.22082490443786	F2R	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Cellular Response To Fibroblast Growth Factor Stimulus (GO:0044344)	0.03981493945475818	0.07015013142028823	0.0	0.0	27.057692307692307	87.22082490443786	ZFP36L2	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Regulation Of mRNA Catabolic Process (GO:0061013)	0.03981493945475818	0.07015013142028823	0.0	0.0	27.057692307692307	87.22082490443786	ZFP36L2	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Regulation Of Stress-Activated MAPK Cascade (GO:0032872)	0.041549853969126284	0.07222424280539401	0.0	0.0	25.877926421404684	82.31409396046394	GREM1	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Endoplasmic Reticulum Organization (GO:0007029)	0.041549853969126284	0.07222424280539401	0.0	0.0	25.877926421404684	82.31409396046394	SPTSSB	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Positive Regulation Of Interleukin-8 Production (GO:0032757)	0.042416219290174806	0.07275364765665746	0.0	0.0	25.32569558101473	80.03488262800346	F2R	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Ceramide Metabolic Process (GO:0006672)	0.042416219290174806	0.07275364765665746	0.0	0.0	25.32569558101473	80.03488262800346	SPTSSB	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Positive Regulation Of Cell Population Proliferation (GO:0008284)	0.04409198659946602	0.07424683855798436	0.0	0.0	6.7315555555555555	21.012397340701217	GREM1;F2R	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	RNA Catabolic Process (GO:0006401)	0.04414676887231502	0.07424683855798436	0.0	0.0	24.28885400313972	75.78694548246902	ZFP36L2	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Regulation Of Pathway-Restricted SMAD Protein Phosphorylation (GO:0060393)	0.04414676887231502	0.07424683855798436	0.0	0.0	24.28885400313972	75.78694548246902	GREM1	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
GO_Biological_Process_2023	Calcium Ion Transmembrane Import Into Cytosol (GO:0097553)	0.045874414114173895	0.07616329009981436	0.0	0.0	23.333333333333332	71.90978069431601	F2R	AF_inner	healthy_vs_degenerated_severe	down	GO_Biological_Process_2023	
