baseMean	log2FC	lfcSE	stat	pvalue	padj	gene	cell_type	comparison	n_ref	n_test	n_genes_tested	design
24.211487718907286	-0.922037206986682	1.097436957661372	-0.840173278792738	0.40081123831753307	0.9999298948655099	A2M	unassigned	mild_vs_severe	5	4	10877	group
1.0902290161733506	-2.4621371699719328	3.2588652927615693	-0.7555197741498276	0.44993717214002105	0.9999298948655099	A4GALT	unassigned	mild_vs_severe	5	4	10877	group
9.704247633936816	-4.285163023376955	1.3076540940525012	-3.276985131516676	0.0010492189440634383	0.31880633390189983	AAAS	unassigned	mild_vs_severe	5	4	10877	group
2.871526075190004	0.03757876082477692	0.9304319096457146	0.04038851251252333	0.9677833884647947	0.9999298948655099	AACS	unassigned	mild_vs_severe	5	4	10877	group
15.685892108386447	0.01018773218773801	0.4723204013909003	0.02156953660637342	0.9827913341424793	0.9999298948655099	AAGAB	unassigned	mild_vs_severe	5	4	10877	group
40.76995182941468	-0.4071896995172025	0.4149217410104037	-0.9813650606151119	0.32641274953791777	0.9999298948655099	AAK1	unassigned	mild_vs_severe	5	4	10877	group
8.105669040581859	-0.6822842650547007	0.8239486413909813	-0.8280664968424193	0.4076328419638503	0.9999298948655099	AAMDC	unassigned	mild_vs_severe	5	4	10877	group
21.395470621262067	0.19777132337706949	0.5553363943166691	0.35612887143912714	0.7217440564946561	0.9999298948655099	AAMP	unassigned	mild_vs_severe	5	4	10877	group
1.8368960202117073	-0.8204442237314168	1.673906697266966	-0.490137368511028	0.6240366967494502	0.9999298948655099	AAR2	unassigned	mild_vs_severe	5	4	10877	group
0.9000847460416542	-1.4879277207173172	1.5536776926618818	-0.957681073587459	0.3382236033380869	0.9999298948655099	AARS2	unassigned	mild_vs_severe	5	4	10877	group
1.2075227678427969	-3.249332779785313	3.3643056778395155	-0.9658256683358108	0.33413142203896007	0.9999298948655099	AARSD1	unassigned	mild_vs_severe	5	4	10877	group
8.631581597731675	-0.7306379011313704	0.8355187740301209	-0.8744721529202053	0.38186117890034	0.9999298948655099	AASDH	unassigned	mild_vs_severe	5	4	10877	group
12.071612941175548	-1.1661465869437164	0.8618778233206013	-1.353030041370415	0.17604603329553625	0.929890913183437	AASDHPPT	unassigned	mild_vs_severe	5	4	10877	group
1.3961147583197613	-0.5279905945538004	2.1997051796752305	-0.24002789075204803	0.8103086348389725	0.9999298948655099	AASS	unassigned	mild_vs_severe	5	4	10877	group
43.662023894526726	-0.49664914150105266	0.5046459475341416	-0.9841536307342528	0.3250399808605575	0.9999298948655099	AATF	unassigned	mild_vs_severe	5	4	10877	group
27.45346427928213	0.7463280756819152	0.480789936098238	1.5522955445752527	0.12059152350928444	0.872152728268442	ABAT	unassigned	mild_vs_severe	5	4	10877	group
145.89821691748205	1.8599448357934738	0.7215131599859584	2.577839101132501	0.009942027913078539	0.5181038908236179	ABCA1	unassigned	mild_vs_severe	5	4	10877	group
4.804924059021129	-2.9495139981541842	1.4553505107223335	-2.026669160744138	0.04269625837933247	0.7443451152928946	ABCA2	unassigned	mild_vs_severe	5	4	10877	group
22.335114195784108	-0.08322958186675662	0.3818051136221861	-0.21798969918751837	0.8274371372994951	0.9999298948655099	ABCA5	unassigned	mild_vs_severe	5	4	10877	group
59.7334994178145	-1.0213248920034133	0.8427265138299191	-1.2119292264364894	0.2255394733546724	0.967136679437295	ABCA7	unassigned	mild_vs_severe	5	4	10877	group
69.24965758229878	-3.0673249316121076	1.2224947121715315	-2.5090701015496277			ABCB10	unassigned	mild_vs_severe	5	4	10877	group
18.675185114232697	-1.9115308570335	1.0159844199499906	-1.8814568604581463	0.05990979831645274	0.8036260746437927	ABCB7	unassigned	mild_vs_severe	5	4	10877	group
