baseMean	log2FC	lfcSE	stat	pvalue	padj	gene	cell_type	comparison	n_ref	n_test	n_genes_tested	design
6974.895285248621	-1.449827215734642	1.0331356757660761	-1.4033270263942696	0.16051934252916877	0.6969320115793989	A2M	NP_mature_chondrocyte	healthy_vs_degenerated_severe	6	9	11033	group+study
314.581625929393	1.6966159659574196	0.7681089313564703	2.2088220780888697	0.02718701876504595	0.33840022663026237	A4GALT	NP_mature_chondrocyte	healthy_vs_degenerated_severe	6	9	11033	group+study
206.15150150492062	0.047840416799596254	0.291580346326184	0.1640728444230542	0.869673799098102	0.9864593740086017	AAAS	NP_mature_chondrocyte	healthy_vs_degenerated_severe	6	9	11033	group+study
436.7845676153751	-0.07503496306240982	0.27659556873556196	-0.27128042363595023	0.7861753618017142	0.9765673168072193	AACS	NP_mature_chondrocyte	healthy_vs_degenerated_severe	6	9	11033	group+study
134.61215645935874	-0.4089779994383359	0.2806647502480583	-1.4571762185200359	0.14506774341233747	0.6745489909029155	AADAT	NP_mature_chondrocyte	healthy_vs_degenerated_severe	6	9	11033	group+study
264.7400121797706	0.21428048911844164	0.2097777933881363	1.0214641199985088	0.3070345999626226	0.8296918440562833	AAGAB	NP_mature_chondrocyte	healthy_vs_degenerated_severe	6	9	11033	group+study
686.4867143679463	-0.29464499301501873	0.4174124714637441	-0.7058844983279595	0.4802599684721206	0.9172486586627452	AAK1	NP_mature_chondrocyte	healthy_vs_degenerated_severe	6	9	11033	group+study
969.3146200256384	-0.16134411693938897	0.2899282864475819	-0.5564966389319845	0.5778713914826525	0.9435542945322316	AAMDC	NP_mature_chondrocyte	healthy_vs_degenerated_severe	6	9	11033	group+study
966.8110053793024	0.18166077814498968	0.23551733268978084	0.7713265774127545	0.4405133828749638	0.9055188347643451	AAMP	NP_mature_chondrocyte	healthy_vs_degenerated_severe	6	9	11033	group+study
220.63526377263432	0.2522725566285993	0.34424604514839946	0.7328263031165639	0.46366437645463765	0.9143499841819245	AAR2	NP_mature_chondrocyte	healthy_vs_degenerated_severe	6	9	11033	group+study
47.734242817721864	-0.04044988918705666	0.4905140035615133	-0.08246429030233386	0.9342775137964251	0.9929555709644167	AARS2	NP_mature_chondrocyte	healthy_vs_degenerated_severe	6	9	11033	group+study
99.06359199392044	0.2527529141357216	0.30516402969451056	0.8282526429761201	0.40752743628216526	0.892022179731323	AARSD1	NP_mature_chondrocyte	healthy_vs_degenerated_severe	6	9	11033	group+study
