baseMean	log2FC	lfcSE	stat	pvalue	padj	gene	cell_type	comparison	n_ref	n_test	n_genes_tested	design
13183.057335795434	0.8916489684873343	0.8786306065282462	1.0148166497528783	0.31019323555945244	0.4665023766162935	A2M	NP_mature_chondrocyte	healthy_vs_herniated	6	5	11033	group
280.2394297542457	1.3111069755568243	0.5059999437313338	2.591120793193153	0.009566390661051137	0.03401279948068278	A4GALT	NP_mature_chondrocyte	healthy_vs_herniated	6	5	11033	group
440.66098411891613	1.004309559864239	0.17899831633998237	5.61072070620314	2.014857217251341e-08	6.213068910346357e-07	AAAS	NP_mature_chondrocyte	healthy_vs_herniated	6	5	11033	group
482.16198482158956	-0.20464494103369749	0.2197755050319157	-0.9311544569263032	0.35177367250430136	0.5111580067598283	AACS	NP_mature_chondrocyte	healthy_vs_herniated	6	5	11033	group
156.76620030159336	0.2732856045789896	0.26272701120919295	1.0401884576739981	0.29825235293588126	0.45516173276853694	AADAT	NP_mature_chondrocyte	healthy_vs_herniated	6	5	11033	group
324.60678859747827	0.7890658300459019	0.19989554179083924	3.9473908371180246	7.900752251850935e-05	0.0006889859007468115	AAGAB	NP_mature_chondrocyte	healthy_vs_herniated	6	5	11033	group
743.2951084172615	-1.6326977936995062	0.2566527079122229	-6.361506204165595	1.997848377534852e-10	1.0634178378480413e-08	AAK1	NP_mature_chondrocyte	healthy_vs_herniated	6	5	11033	group
1206.4032771160355	-0.39536655935130366	0.31760688026244266	-1.2448299577912392	0.2131942616195125	0.35886937038040445	AAMDC	NP_mature_chondrocyte	healthy_vs_herniated	6	5	11033	group
1005.7647896802783	0.5002454340075727	0.12472945889821925	4.010643824052657	6.055340044805623e-05	0.0005530097346643843	AAMP	NP_mature_chondrocyte	healthy_vs_herniated	6	5	11033	group
299.13974882419745	1.3261739400654895	0.24015242513017288	5.5222175638936255	3.347476243101653e-08	9.63387847916263e-07	AAR2	NP_mature_chondrocyte	healthy_vs_herniated	6	5	11033	group
113.05104647397012	0.9237171964831666	0.3580385218137177	2.579938023997774	0.009881804804242838	0.03482931201495427	AARS2	NP_mature_chondrocyte	healthy_vs_herniated	6	5	11033	group
110.45232824284311	-4.083780645654524	0.5123944488315832	-7.969993927465057	1.586821656841188e-15	2.402996627057725e-13	AARSD1	NP_mature_chondrocyte	healthy_vs_herniated	6	5	11033	group
564.0194729045543	-0.40776112679441545	0.2519313110536552	-1.6185408835806534	0.10554608346962528	0.21348695909323764	AASDH	NP_mature_chondrocyte	healthy_vs_herniated	6	5	11033	group
829.5946350200287	0.3413200830712835	0.1309004652520548	2.607477997989206	0.009121193214196546	0.032791437243824634	AASDHPPT	NP_mature_chondrocyte	healthy_vs_herniated	6	5	11033	group
